,file,context
0,0163_0164,": 5 Decembris, höltes Rådhstugu dagh uthi Brahæa, närwaran- dhe Bångmestaren Peer Bergenhemb, Rådh- man Carll Lukaßon, Clemet Hongainen och Peer Urpiain p. 1. Bleff Hans Högh Greff: N:s H:r Rijkz drotzet"
1,0229_0230,"rll Lukasson hafwer opteknadt på hans yttersta, adt framwijsas. Änckian her emot swarade, och Sahl. Mann hafwer tagit af hennes me- dell gl. Kopp.r Kitzlar och een stoor wijn Pijpa, å gambl. halff ährer, "
2,0230_0231,"Hindersedagh hållen Sath:endens yttersta, om edan hon war hooß os. Sedhan iagh med min Sahl.r Mann wigit bleff, ifrån den förste och Sölfte dagena. Fullmechtigan tillfrågadhe, om hans Sahl. Brodher "
3,0230_0231,"den adt för- höra om hans bekännellße, Och kommo igen och berättade Kyrckioheerdens Ordh. Som Sahl. man hadhe sagdt på sitt yttersta- ehnär Kyrkioheerden hafwer tillspordt honom om den skrifften som ähr "
4,0233_0234,"er ded 16 Capitel j Rådstugu Balken. För Rätta ahndrogh Hustro Hellga Röytiatars dotter huru hennes man Thomas Heikoinen håller tillhopa med een Kohna Anna Tenhuitar och henne öfwergifwer, fram- kallades"
5,0233_0234,"s wegnar, som Sahl Alholms Obligation utwijsser; her emot nekade Enckian, och sade, at hennes Sahl. Man borde bekomma så många pengr. af Michell Bengtßon för lerff, han hafwer bekommit i Caijaneborgh, Så"
6,0234_0235,"ade: Aff mine Gäldzmann i Käxholms Lähn hwilken och hans Cammerater, Pååll Urpiain och Anders Sand- man witnadhe p. Thomas Hulkoinen högeligen protesterar på den skympt och ne- a. som Heinoinen honom til"
7,0236_0237,", att han må afleggia Eden, Men Rättens omdöme ähr dett, Effter Michkali war een åldrigh och gambl. mann trooß hans ordh uthan någon Eedh, och giörs her med frij för dhe „ 80 st. Gråskinn, Och Partain sök"
8,0258_0259," granne, enähr godzet kommer, om han icke sielf will wara tillstädhes. Elliest och beklagade gemene Man, att Sara Timitra, Peer Urpian, Melentia Wa- kana och Marcus Partain boo Uthom Stadhen, och giö¬ ra"
9,0293_0295,"jhetz åhrens för- lopp, som deres förmäz pålegger godhwilligen Ehrleg- gia, och stelte till Löfftes mann för sigh Sawa Timitra Citare Melentian Påicka, Matz Hulckojnen och Semsj Nirajnen och strax afladhe"
