,parent,file,context
0,RO_1659_1699,0020_0020," medh sig; dy tychtes fuller billigt i förstånne att Ryßarnes Toback skolle blifwa i medler tijdh i arrest, och til deß een vidimerat Copia hijt blefve af Vahlen öfwerskickat och sedan skulle här uthinnan e"
1,RO_1659_1699,0028_0028,"Isach Hanßon begärade af Rätten, att Erich Hyrkas godz, som är hoos Anders Heinåinen skulle tagas i arrest, ty han sade be:t Hyrkäs honom wara skyldig för uthlagor. altså blef be:t Leinåinen sagt, att han h"
2,RO_1659_1699,0034_0034,"50 al:r lerfft eller des wärde till hans hög- Grefl. Nä:de och det öfriga som war förfullat, och är arresterat igengifwas opå hans hög Grefl. N:s behagh, och medh böterne den- ne gången förskonas /: emedan "
3,RO_1659_1699,0057_0057,"240 Ryska R:r[?]. han föregifwer H:r Bokmöllers fulmehtige emoth tagit, så skall Ryßen sielf wara i Arrest, eller skaffa sig bårgen, till des han qui- tanset framteer, at H.r Båckmöller fåår uthföra medh ho"
4,RO_1659_1699,0066_0066,"s handell, begärandes att dheras godz skulle förlustigh Confi- sceras, och sielfwa Männerne tagas i arrest till des dhe betala böterna effter Kongl. Maij:tz Placat: Hwar till wijborgz handelßmän swaradhe si"
5,RO_1659_1699,0067_0067,"z handell. Doch likwäll hans Kongl Maij:tz Placat lijkmätigdt, skall Wijborgz Männers Tobak tagas i Arrest, till deß hans hög Grefl. Nåde, Högwälborne H.r Rijkz dråtzen här om blifwer omständeligen Notifice"
6,RO_1659_1699,0081_0081,"fwen, hwilken honom wijst till Under Ståthålla- ren wälb: Udde ödla, hwilcken Klieten straxt satt i Arrest på Slottet på obligations afkortning, doch omsijder hafwer Klietens hustro honom derifrån uthlöst m"
7,RO_1659_1699,0091_0091,"Specification Upförde. Leutenampten i Pielis Lars Peerßon Biörn berättade och, att då han welat slå arrest opå Anders Määttä i Nurmes, och han i Brahea skulle för Rätta stå til Swars be:t Ikoinen för samma "
8,RO_1659_1699,0092_0092,"ra om Tobaket: Altså Hans Kongl. Maij:tz Nådige Placat lijkmätigt skall Anders Määtas toback wara i Arrest, och effter högbe:te Kongl Placat 12 punct borde bötha för hwar skålpundh 20 öre S:M:t Nembl. 44 D:"
9,RO_1659_1699,0104_0104,"hi Sahl. Curnovj tidh fordrat den resterande betalningen för Tobaket, och hans häst blifwit derföre arresterat; hade Michel burit samma Tobak til Bårgmestaren, hwilken warit aldeles oduge- lit och rutidt i "
10,RO_1659_1699,0108_0108,"sittia i Arrest Cammaren, doch effter en stundh blef han löös- gifwen, emedan han bekände sin brott, och badh om fö"
11,RO_1659_1699,0114_0114,"tadh, dhet Johan i går skall hafwer olagligen tagit från honom 2 ½ Tunna spanmåhl och En häst under arrest; hwar til Johan Nilßon swaradhe dhet igenom H.r Bårg- Mestarens obeloff hafwa giordt; præsenterande"
12,RO_1659_1699,0133_0133," Och eme- dan hwarcken Simon Määttä, eller Måns Mååttå, intz woro tilstädes; dy skall Spl. stå uthi Arrest, til deras ankompst, då man bettre beskaffenheet om saaken ehr- hållandes warder. A:o 674: d 1 Julj"
13,RO_1659_1699,0137_0137," wåras bedrifwit LandtKiöp och giordt förkiöp medh Spanmåhl, hwilken saak då blef Upskutin, och dem Arresteradhe Spanmåhl af Hopmannen sedermehra löös gifwen, altså kunde Rätten dem för Landzkiöp intet be- "
14,RO_1659_1699,0165_0165,"s Larsson Kanainen be:d hwilkens godz Tulnähren Eric Peerßon igenom wederbörandens Assistense låtit arrestera 13. lb Smör 9 lb geddor, och half lb Talgh till Näste Rådstugu dag, hwilken nu framkal- lades oc"
15,RO_1659_1699,0209_0209,"lte, hwar uppå begärtes uth- slagh at alle motwillige måtte straffade blif.a effter lagh eller medh Arresterande j slåttet. 6. Effter Bårgmäster och Rådh wore upståndne ifrån bor- det för någre otijdigheet "
16,RO_1659_1699,0219_0219,"bägge här åhrl: alle Marcknadtz tijder handlat, dy kan Man effter Ryssens anmodan Cöllingen eij här arrestera. Uthan förlegges Sabbatin att sökia Cöllingen i Uhlå dher han boande ähr, hwarest dhet Wijdare k"
17,RO_1659_1699,0227_0227," af Kyrkiones penning:r – „ 17 D:r Km:t. den nu af sigh kommen är, att han fögå mächtar betahla, dy arresteres här medh dhe peng:r som Hans Trumbell kan wara till Perßon skylldig. Anno 1686, den 26 Aprilis,"
18,RO_1659_1699,0315_0315,"n och Johan Frantßon medh Stadztienaren Johan Johanßon sådant ställa till wederbör- lig excecution. Arresterades Carin Mursutars Giäldh hoos Za- chris Kemiläinen Nijo mk:r kopp:r M:t, dhem Zacharias pålades"
