,parent,file,context
0,RO_1659_1699,0003_0003,"ll deß han sielf skulle komma heem igen, och der det icke skedde, då skulle hans fader samma Penngr betala. Sonen är nu hemma hoos sin fader, behäfftadh medh en swår siukdom, och hafwer inga medel tillgå, M"
1,RO_1659_1699,0003_0003,", och hafwer inga medel tillgå, Men så är på samme giäld alle reda af fadren medh Penngr och arbete betalt så myckit som twå D.r samma myntt, såsom Si- wonen sielf tillstodh. Och emedan håppmannen be:te Stu"
2,RO_1659_1699,0003_0003,"u så myckit af det samma i förstonne bewiliat, deraf sedan de resterande Tre D:r till Siwonen skole betalas. Per Lauckanen tilltalte på sina och Erich Jacobzsons wägna Michel Röndö om 7 mk:r Lijns betalning"
3,RO_1659_1699,0003_0003,"rtill swarade Röndö, sig hafua crediterat Christer Leinonen samma lijn, det han nu inthz skall weta betala. Så emedan hand bör händ fylla; dy skall Rön- dö betala till Lauckanen och Jacobzson samma lijn; oc"
4,RO_1659_1699,0003_0003,"nen samma lijn, det han nu inthz skall weta betala. Så emedan hand bör händ fylla; dy skall Rön- dö betala till Lauckanen och Jacobzson samma lijn; och sökia Röndö sin betalning hoos be:te Leinonen lagligen"
5,RO_1659_1699,0003_0003,"ffter 7. c. Rådstugu Effter Rådmans godtfinnande blef erkänt och afsagt, att Jören Eskilßons hustru betalar till Johan Siwonens hustru 6 mk:r för en Tröija som han af den andre förr någre åhr sedan kiöpt ha"
6,RO_1659_1699,0003_0003,"hel Bengtßons Räkning infört 1 par Glasfön- ster för 5 Dr den Erich berättar sigh medh Penngr hafwa betalt. Erich berättar och, sig nästförledne Wåhr hafwa lefwarerat Olof Wimberi Rogh twå t:r a – 5 D:r att"
7,RO_1659_1699,0003_0003,"till Michel Bengtßon, det och någre andre wittnade. Och när alt sådant afdrages, resterer Erich att betala till Michel Bengtßon, föruthan interesse, 111 D:r 16 ör, doch står detta till wijdare liquidation. "
8,RO_1659_1699,0006_0006,"e af her Thomas sin book igen, och hand bör hand fylla; Altså blef af Rätten afsagt, att her Thomas betalar be:te Keckoinen för samma book effter Kyrkie- herdens"
9,RO_1659_1699,0010_0010,"Altså skall be:te Mickoinen sitt löffte effterkommen, och betala be:te Tuickas hustru 1 t:a Spanmål eller deß wärde, efftersom nu går och gäller, hwilket af Johan G"
10,RO_1659_1699,0010_0010,":a Spanmål eller deß wärde, efftersom nu går och gäller, hwilket af Johan Gamman på Mickonens wägna betalas skall. p. Denna sen Stadz dombock wara oförfalskadh, wittn och underteknadh medh egen hand och Joh"
11,RO_1659_1699,0012_0012,"hwar sine 3 mk:r. Om rästerande Rådstugu Bräder och ståckar blef och publicerat, at de fordersamast betalas, och blef der på lefrerat Erich Peerßon burnne lengder, så och 1 på återstående Prästegårdz Stocka"
12,RO_1659_1699,0013_0013,"andes 1 lb hafwa kå- stadt 5 mk:r. Men Erich då swarat, at deras kiöp hade warit på 1 D:r. den förr betalt war, och när Måisainen /: som då hade warit drucken, såssom han nu sielf bekände :/ hade gådt uth, "
