,parent,file,context
0,RO_1659_1699,0003_0003,"a hoos sin fader, behäfftadh medh en swår siukdom, och hafwer inga medel tillgå, Men så är på samme giäld alle reda af fadren medh Penngr och arbete betalt så myckit som twå D.r samma myntt, såsom Si- wone"
1,RO_1659_1699,0005_0005,"han Matzson Skomakare, att han till- ställer h. Karin Erichzdotter fyra D:r eller deß wärde för sin giäld, effter sitt förr detta uthj fremmande gode Mäns närwaru giorde löffte, och det innan näste Rådstug"
2,RO_1659_1699,0016_0016," M:t för Stem- ningz försittiande emoot Frans Keckonen. Framstegh Lars Peerßon emoot Olof Junkar om giäldh Nembl. 10 D:r K. m:t der till b:te Olof intz nekade, uthan låfwade tilkommande Sommar arbeta wedh S"
3,RO_1659_1699,0022_0022,", lagligen citerat, att swarade sina åkåraren, Michel Madzsson Pål Pålckinen och Peer Leinåinen för gäldh, och till öfwerflödh honom budh skic- kat, sedan dhet war 3 gånger ringt till Rådstugun men kom int"
4,RO_1659_1699,0022_0022,"ro om Kiortels kiöp men nu hafwer hon intz sig comparerat, uthan mannen sade sig intz weta om denne giäldh, altså blef be:t Leinåinens hustro ålagt att betala be:t Johans hu- stro 1 D:r K.M:t. Såldat Lars K"
5,RO_1659_1699,0031_0031,"hel Bengdtßons fulmächtige Johan Siwåinen be:d Johan Jacobßons gårdh, den Michell Bengdtßon för sin giäldh af be:t Johan tagit hafwer för 30 D:r K. m:t dy begärade nu af Rätten Johan Jacobssons hustro opå s"
6,RO_1659_1699,0037_0037,icke afdrogh sitt giäldh af samma summa om han hafft något att fordra. Men Hendrich Madzson sade sig intet wilia i hoopbland
7,RO_1659_1699,0037_0037,"a om han hafft något att fordra. Men Hendrich Madzson sade sig intet wilia i hoopblanda sin proprie giäldh medh Sochnens, frågades om han hafwer fordradt sam- ma giäldh af Bårgaren förr ännu. Swarade Jag ha"
8,RO_1659_1699,0037_0037," intet wilia i hoopblanda sin proprie giäldh medh Sochnens, frågades om han hafwer fordradt sam- ma giäldh af Bårgaren förr ännu. Swarade Jag hafwer många gångor krafft honom der i Uhlå och i Limingo, och s"
9,RO_1659_1699,0046_0046,"f be:t hustron, 1 kitil om 8 mk:r i hennes frånwaro; den Leinoinen föregaf sigh hafwa tagit för sin giäldh, Nembl. 6 mk:r kop:r m:t och betalning för Smidielandz huggande, men Penning:r ähro"
10,RO_1659_1699,0049_0049,". Fältes Olof Junkar till 3 D:r för Stemningz försittiande emoth Påll Pekoinen, angifwande honom om giäldh. den förlijkning som Thomas Isachßon och Påll Pekoinen uthi Rådmans Madz Larßons och Länsmans Johan"
