,parent,file,context
0,RO_1659_1699,0029_0029,hafwa. Altså effter åf- wanskrefne skiähl ehrkände Rätten förbe:t Madz Laukainen och Lijsa Staffans dotter för sådan beskyldning frij. och Joseph Mic- konens hustru Anna Simonsdotter dömdes att bötha 60 mk:
1,RO_1659_1699,0030_0030,". Nicolaus Petrellius och Rådmän. Då framhades Stadztienarens Joseph Mickoises hustro, Anna Simons- dotter be:d hwilken nästförleden d. 1 Maij hade kommit uthi Jören Tijkajas stugu, der Sigfred Rahikaises h"
2,RO_1659_1699,0030_0030,"ugu bordet præsen- terades, och här i förwarning inlefwererades. Då tilfrågades förbe:t Anna Simons dotter, til hwadh ända hon sådant brukadt hade? R:bet[= swarade] att iag skulle igen bekomma mina bortstul"
3,RO_1659_1699,0084_0084,"it slagit eller hästen sielf sigh stödt i framkallades och Anders Kiriawaises hustro Margetha Peers dotter på hwilkens gårdh hästen hade dödh blefwit, hwil- ken bekände at om ondzdagz mårgonen hade samma hä"
4,RO_1659_1699,0170_0170,Stockholm att inhämpta kund- skap och beskedh om Lille Skomakarens Johan Jo- hanßon Margetha Johans dotters man skall wara i Lijfwe; och nu sedermehra Hopman sielf i Person warit öfwer til Stokholm och Nyys
5,RO_1659_1699,0172_0172,"kap om; Myket mindre om han warit i lifwe A:o 678. om wåhren när Tijkaja sig medh Mar- getha Johans dotter beblandat hade, eller och ännu lijfwet ähr eller eij. Således wara ransakadt och intygat. Borgmesta"
6,RO_1659_1699,0225_0225,"edh gäld och hwad han den tijden hade att fordra till 361 D: 24 öre; begierandes det bem:te Hustrus dotter Susanna Johansd:r Sifwotar, som nu Nyligen är gifft blefwen medh Christer Huofwinen skulle nu honom"
7,RO_1659_1699,0226_0226," den hoos Fadren blif:r skall honom tillställa Innan Nästkommande H:te Johannis tijdh, den Eld- ste dottren Julliana hafwer denne gl. Niels, recommenderat sin Sahl. broder Hindrich Tietäwäin effter han inga"
8,RO_1659_1699,0228_0228,"pskötz till näste Rådhstugu- dagh. Enckian Charin Jacobzdotter, kärde till Enckian Margeta Philipz- dotter, om Een brenwijns panna, som Sahl. Erich Kauppinen skulle bekommit af hennes Sahl: Man, Carl Hyfwäi"
9,RO_1659_1699,0248_0248,"en ungh drengh, Gabriel Jöranßon Kofall, Hwilken hafft lönske läger medh Een Pijga ben:d Marja Ers- dotter doch emedan han längst för detta till saaken ständigh warit, och effter Protocoll Innehåldt fälter "
10,RO_1659_1699,0248_0248,", sedan haf:r hon och widh sielfwa barna fötzlan låthit till sigh hämpta sin fahrssyster Carin Pers dotter och sin fräncka Brijta Olufzdotter hwilka medh aflagdh Eedh bekände och Intygade det barnet blijfwi"
11,RO_1659_1699,0255_0255,"Anno 1688 d 18 Febr: höltes Ord:ie Rådhstugu dagh, Nähr- Warande wederböranderne. Anna Henrichz dotter föregaf huruledes hon ingådt ett kiöph medh Erich Pijpa och Lars Airikainen om Een Stugus huggande "
12,RO_1659_1699,0261_0261,"ndes, hwij geer du sådane sköckior dricka? Airikainen sade sigh Agneta först slagit, Men Anna Påhls dotter aflade sin Eedh, det Agneta honom inthet något tillthalt Uthan han Enc- kian sedan dragit och slijt"
13,RO_1659_1699,0278_0278,"es tillfallands. Kopp: Tull Betallning Mans Petter Scharijns och dess finckias; hustro Merta Johans dotters Wegnar, föredrog Gabriel Hotander, huruledes Johan Jöranßon Ko- konen 685 för Cronones Medell blef"
14,RO_1659_1699,0280_0280,"lemela Mäti by, Jämb- Wähl och borgarens Johan Måisätes Lagh gifte hustro uhjd nampn Charin Hinrich dotter kolematur, hwilka beskyltes hafft samman lag med hwar annan deße neckade wähl först till gärningen,"
15,RO_1659_1699,0281_0281,kiedt el:r inthet effter hon och esomåfftast Drucken warit. 2: Förekom åfvan rörde Enckia Elin Pers dotter och än effter aflagdh Eed bekände att hon med deße legat i badstugun på lafwan och hört att dhe ant
16,RO_1659_1699,0281_0281,"nrich Carialaises Moder. Denn 28 Aprilis kom Karialaises Moder in på Rådhstugun wijdh, Karin Thomas dotter den i lijka måtto effter aflagdh Ed bekände, huru- Mäckats hustru om Påske Lördagen, fördt brändje "
17,RO_1659_1699,0281_0281," föllie hafwa dhe stygit på badstugu lofvan alle tree, Målsats Caisa, Högrynen, och Endan Elin Pers dotter, dher druckit detta öhl, sedan hafua hustrorne lagt sig å bredd, Väyrynen först lagt sigh Wid deßes"
18,RO_1659_1699,0282_0282,"detta uthspridt, wille hon ej alt här in loco uptäckia, framsterg altså än Enckian Charin Christers dotter Lejnotar och Edeligen bekände, det Väyrynen henne ombedit gå till sin hustro, som och nu i staden w"
19,RO_1659_1699,0282_0282,"uptalds och afflagde Eder å book, ähr intygat att förbem:te Hinrich wäij- rynen och Charin Hinrichz dotter hafft beblandel- se med hwar andre, som och karlen war åtagen, Ehuru wähl dhe necka, gärningen ej t"
20,RO_1659_1699,0283_0283,"stugan uthan och warit förkammat öfwer 10 åhrs tijdh det allom wähl witterligit, så hafwer och hans dotter Anna Erich dotter benämbde föräldrar na effter sin förmågo brede tiggieriet, Nährt och försörgt, al"
21,RO_1659_1699,0283_0283,"arit förkammat öfwer 10 åhrs tijdh det allom wähl witterligit, så hafwer och hans dotter Anna Erich dotter benämbde föräldrar na effter sin förmågo brede tiggieriet, Nährt och försörgt, aldenstund Sonen Zac"
22,RO_1659_1699,0288_0288,allningzMan Isach Hanßon bekommit för Åhr 1684. fin- nes och Petrellij Enckians hustro Marja Samues dotters Wittnes skrifft det Anna Jörans dotter lefwererat till Sahl. Häradz höfd:n Petrellius 1 ducat och 
23,RO_1659_1699,0288_0288,"r 1684. fin- nes och Petrellij Enckians hustro Marja Samues dotters Wittnes skrifft det Anna Jörans dotter lefwererat till Sahl. Häradz höfd:n Petrellius 1 ducat och andre små peng:r för geld, och altså hus"
24,RO_1659_1699,0290_0290,"h Weder warande Borgmest:r och Råd. Häradz skrifwarens Wählachtat Johan Norins hustro Susanna Cnutz dotter Gammal före- gaf skriffteligen igenom sin fulmechtigh Cnuth Lejnonen, huruledes Philipia Jörans dot"
25,RO_1659_1699,0290_0290,"ter Gammal före- gaf skriffteligen igenom sin fulmechtigh Cnuth Lejnonen, huruledes Philipia Jörans dotter försålt till henne någre swarta pär- lor för twenne åhr sedan, för hwilcka Kår- lor Philisa sade si"
26,RO_1659_1699,0290_0290,"de och annat förrättat; Men nu Norijns hustro sig högeligen beswärar att Philisa öfwerfallit hennes dotter Brjta Norjn och bortrycht kårlorne, och änd och Philisa wille intyga fleere andre saaker till Norij"
27,RO_1659_1699,0290_0290,"ig emellan sluutha; dåch finner Rätten det mycket orjmligit att hon sielf skulle slita kårlorne aff dottrens hals, Dy fältes Philisa till 9 mk:r Sm:t. Anno 1691 d 16 Aprilis; Nährvarande Wederböranderne. Tu"
28,RO_1659_1699,0291_0291,"nson Karialain om dhe bortstulne peng:r, hafwandes nu fram enn hustru ifrå Paldamo benämbd Anna Ers dotter Liepatar af hwilcken denne Staphan sagt sig bekommit peng:r till läns, Men Anna nu aflade sin Ed at"
29,RO_1659_1699,0291_0291,"annat seja, uthan att penningarne wara under kählan i Jorden. Staphans hustro sade sigh af Anna Ers dotter begiärt peng:r här i Staden, nähr hon warit och Wäfwit hoos Sahl. Besoldum, Men hustron som sin Eed"
30,RO_1659_1699,0293_0293,"91 d 3 Augusti, Weder- warande BorgMestar och RådMän. Hinrich Sirwiö beswärade sigh öfwer Malin Ers dotter som skulle hon nu nyligen inbergat et Engh stycke wjd Wimbel åhn om ett halff mått höö; Malin swara"
31,RO_1659_1699,0293_0293,"ng kläder à 8 Een Järn gryta à ~ - - - 2 -. Sahl. Befallningz Mans Isach Hansons Enckia Elin Anders dotter leth igenom sin fulmechtige Erich Eskillßon inlefwerera een Rächning, hwar- utj Jöran Lauckanen bli"
32,RO_1659_1699,0295_0295,e Ulfwjk än wara skyldigh till Sahl. Befallningz Mans Petter Scharins Enckia hustro Mertha Jo- hans dotter 84 D:r 12½ öre Km:t brede något spanmåhl han af Magazinet till lååns be- kommit; begärandes dy Befa
33,RO_1659_1699,0298_0298,": B:r S: L: Anno 1692 d 20 Junij Nähwaran- de BorgMestar och Wanl: RådhMän. Een Pjga Walborg Jörans dotter framkom och up- wiste, det Matz Jläinen slagit henne på gatan een blånadt i pannan i dryckes måhl, "
34,RO_1659_1699,0298_0298,dh skriffteligit ingifwande någre skimptelige och smälige ordh Isach Lööfbladz hustro Felisa Jörans dotter ähr- öfwat och fält å wählbem:te H:r Commendantz dotter fruu Marja Bulou Nembl:n denne Felisa sagt 
35,RO_1659_1699,0298_0298,e ordh Isach Lööfbladz hustro Felisa Jörans dotter ähr- öfwat och fält å wählbem:te H:r Commendantz dotter fruu Marja Bulou Nembl:n denne Felisa sagt Bu- lous dotter dricka och suupa bränwjn så wähl som hen
