,parent,file,context
0,RO_1659_1699,0003_0003,"sin fader till deß han sielf skulle komma heem igen, och der det icke skedde, då skulle hans fader samma Penn"
1,RO_1659_1699,0003_0003,"sin fader till deß han sielf skulle komma heem igen, och der det icke skedde, då skulle hans fader samma Penngr betala. Sonen är nu hemma hoos sin fader, behäfftadh medh en swår siukdom, och hafwer "
2,RO_1659_1699,0003_0003,"igen, och der det icke skedde, då skulle hans fader samma Penngr betala. Sonen är nu hemma hoos sin fader, behäfftadh medh en swår siukdom, och hafwer inga medel tillgå, Men så är på samme giäld alle reda "
3,RO_1659_1699,0027_0027,"les nekade och sade at han hade allenast hållit henne på sin knä, då han ha- de druckit medh hennes fader uthi Slotz Leutnamptens stuga, men intet häfdat eller lofwat någon Echtenskap. Men Konan sade att d"
4,RO_1659_1699,0028_0028," warit på sitt 14:de Åhr allenast, när detta rychtet om Madz Larßon är först upkommit; det hen- nes fader Nilß Nojoinen nu för rätta bekände. Frågades flickan om hon kunde läsa sine Christendomstyrken? Hon"
5,RO_1659_1699,0028_0028,"re, eij heller hafwer hon någon gång warit till Herrans Högwär- dige Nattwardh. Tilspordes flickans Fader, Nilß Nåjoinen, om han hade hördt af flickan sådant tahl, som Mickoses hustro hafwer Uthspridt om"
6,RO_1659_1699,0045_0045,"ten afsagdt, att Christer Käpäläs Son Simon be:d om sin 12 åhr, skall hårdeligen rijßas af sin egen fadher wedh Råd- stugu dören, emedan, han ähr beslagen medh något tiufweri, han hafwer stulit af een och a"
7,RO_1659_1699,0045_0045,"de warit, Men nu inne- warande åhr födt itt pilte barn d 24 Jan: ty frågades hwem skulle wara barne fadher åth samma, emedan hon i förledne åhr nekade sigh warit hafwande? hon swarade ingen annan uthan Hend"
8,RO_1659_1699,0062_0062," tilstädes, nu Eedeligen witnade altså war Rättens Sentens, att poiken skall Castigeras af sin egen Fadher Brusius Rahikainen för snatterij, androm til skreck och warnagell. Hwadh hustrornas träta anlan- ga"
9,RO_1659_1699,0068_0068,"af sin egen medhell. Oloff Madzßon Immoinen begärade af Rätten at få igenlösa ett åker stycke, hans fader, satt hoos Erich Hanßon till Underpant för 5 D.r 16 öre Kop.r M.t dhet be.t Erich och tilstodh, alt"
10,RO_1659_1699,0072_0072," kop:r m.t dhet han nu sielf tilstodh; ähr och tilfören- de dömbd för Stöldh och rijsat af sin egen fader, emedan han alt ifrån barndomen födt sigh medh Snarterij, altså war Rättens omdö- me at han effter "
11,RO_1659_1699,0085_0085,"nen hafwer tagit samma Peningen af be.t Tuowinen och kiöpt hästen medh, och brukat samfält medh sin fader i några åhr der effter. Altså war Rättens omdöme, att emedan Sonen Johan warit i hoop medh sin Fade"
12,RO_1659_1699,0085_0085,"ader i några åhr der effter. Altså war Rättens omdöme, att emedan Sonen Johan warit i hoop medh sin Fader och handlat medh samfält godz som intygat blef, och fadren Hendrich Knutßon dhet intz neeka kunde d"
13,RO_1659_1699,0086_0086,"rich Salmundz lijthen poike, och Anders haft 2 st Röfwor i handen, då hade Jören sagdt, om icke din fader straffar tig Anders för Rofwors afhemptande, så will iag straffa tigh, sedan hade Anders, swarat; k"
