,parent,file,context
0,RO_1659_1699,0115_0115,"Soolsätter förbe:t Olof betala på hans förtientta löhn, effter 16 Cap: Rådst: B. och sökie drengens Moder och andra arfwingar om dhe 3 D.r 8 öhre det bästa han kan och gitter. Men för ett slagh på Oloff, o"
1,RO_1659_1699,0131_0131,Sakfältes hon för tredsko til 3 mk.r S.r m.t effter 2. C. Rådst. B. denne gångon./. Anders Hafwanas Moder hafwer Pantsatt ett st. Åker til Sahl: Johan Siwoinen för 3 D.r K.r M:t. dhet Sahl. Siwoises Sucses
2,RO_1659_1699,0132_0132,"för doomqwall 6 mk.r S.r M.t effter 39 Cap. i Tingm. Ll. Anders Hafwana angaf för Rätten, dhet hans Moder skall hafwa Pantsat 1. Åkerstycke til Sahl. Johan Siwåinen för 3 D.r K:r m:t dhet Perr Rusainen nu "
3,RO_1659_1699,0199_0199,ationer af d. 23 Feb: och 26 förmäla uthi hwilka obligationer Sonen som ähr i Aca- demien beder sin modher att Ryssarna blifwa här igen Contenterat. Altså bleff hon Enkian igår Citerat på Rådh- stugun Ryßar
4,RO_1659_1699,0207_0207," barn i skohlan at de icke må löpa på gatorna och giöra skalckheet, och så frampt någon Fader eller moder detta icke effterkomma will så böhr en sådan intz boo i staden. 2. Bårgmästare och Rådh förmeente s"
5,RO_1659_1699,0225_0225,"tel, af swart saij, som nu deels uthslijten ähr, och dåttren Tienstl. Ombadh, dhen samme effter sin Moder få behål- la, beklagandes sigh att Rusainen uthan skifft ej hennes omyndige Åhr sigh inlåtit j henn"
6,RO_1659_1699,0281_0281,"utit naken, denne En- kia detta och uthspridt om Påskedagen under högmeßan, för Henrich Carialaises Moder. Denn 28 Aprilis kom Karialaises Moder in på Rådhstugun wijdh, Karin Thomas dotter den i lijka mått"
7,RO_1659_1699,0281_0281,"spridt om Påskedagen under högmeßan, för Henrich Carialaises Moder. Denn 28 Aprilis kom Karialaises Moder in på Rådhstugun wijdh, Karin Thomas dotter den i lijka måtto effter aflagdh Ed bekände, huru- Mäck"
8,RO_1659_1699,0315_0315,"6 feb:r 686 på wälbem:te Kyrkioherdens insinuation om Präste- gårdz Åkern, hwar uthi bem:te Daniels Modher Sahl: hustru Brita Larsdotter aldeles förbiudes att be- fatta sigh medh Prästegårdz ägor, Sammalede"
9,RO_1659_1699,0316_0316,"er och Engh, hafwandes ehwadh Nambn det hälst wara kan, Och Enckian hustro Brita Larsdotter Daniels Modher blifwit pålagdt att comparera i Nästa Rådstugudagh, då hon skatte, afsä- jas ifrån Prästegårdz ägor"
10,RO_1659_1699,0338_0338,"h för 6 D:r Sammaledes Frantz Sirwios åker stycke om 10 wackors landh för 18 D:r Km:t, sampt af des Moder Lißa benembd een åker teppa à 7 Wacklandh för 12 D:r Km:t och Detta alt uthan klander. Den 27 April"
11,RO_1659_1699,0341_0341,"tulit Smör Kiött och brödh som Johan heemburit och Natten tillförende När tyffnaden skiedt tyffwens Moder warit drucken, och Johan icke Nekade uthan Föregaff för slijkt sigh plichtat och straffwet uthstådt"
12,RO_1659_1699,0350_0350,"Opskiötz till Wittnens införskafwande, emedan dhe exciperade, Men till skuldz fordran emellan deras Modher dygde samme hustru Elisabetha Sinia och bem:te Rådhman Philiph att liqvidera, förordnades Not: Hans"
13,RO_1659_1699,0350_0350," för begången tyffnan à 1 lb. Kiött uthaf Sahl. Olåf Tåloises änckia hust: Anna Hindrichzd:r af sin Modher Margetha Huuskåthar wedh Rådstugu Knuthen Rijssath, emedan hon berettade Fadren igenom dödhen afled"
14,RO_1659_1699,0364_0364,"ttige, ja så, dett han effter sine Sahl. Fader Philiph Swenßons frånfälle, nödgas deste medelst sin Modher hust: Cirstin Larsd:r hoos sigh taga, den sytha, och sedan till grafwa komma låthit, som och bem:te"
15,RO_1659_1699,0390_0390,"nuerade, medh begiäran, at Rätten till hans säckerheet Några Åcker Lin- dan Oplyssa Låtha, dem Hans Moder dyg- desamme hustru Elisabeth Sinnia hoos sin Swåger Kyrckioherden Ehrewördige och Wällärde H:r Joh"
16,RO_1659_1699,0390_0390," H:r Isaac, medh sin brodher Dn. Christiern och medh sine Egne aflinge Meddel inlöst, till deras K: Modher Hugnadh och understödh, som Wardt Publicerat; doch undan- tagandes Murssun peldo åcker linda, den a"
