,parent,file,context
0,Kajana/RO_1659_1699,0019_0019,"ch fulmähtige försälia, effter dee om uthgågne patentz innehåldh. Bårgerskapet enhöltz om marknan i Brahea, hwar om Ma- joren, tillijka med Bårgmestaren låfwade framdeles skrif- wa till hans hög Grefl. Nåde"
1,Kajana/RO_1659_1699,0020_0020," af sin fulmaht skickade be:t Vahl medh Majoren hijt Up wedh Laurentij tijdh, Men Bårgmestaren Uthi Brahe Stadz Hindrich Corte opwijste d. 1 Augusti sin fulmacht af Tobakz Compagniet honom meddelt, der uth"
2,Kajana/RO_1659_1699,0022_0022,"urmestares Sölfwer stoop af 9 lodh, det han effter be:t Olofz begäran hade löst af hans geldenähr i Brahe Stadh för 4 RD:r. at han nu skole igenlösa, effter 10. C. Köpm. B. Stl. Ao 1663 d 16 Novembris hölt"
3,Kajana/RO_1659_1699,0023_0023,"h Knuthßon, Jören Frantzsson. Då blef publicerat å Rådstugun det Zachris Ficke hafwer skrifwit från Brahe Stadh å samptlige Tobakz Compagnij fullmähtiges wägnar, att the ähre och fulmäh- tige öfwer Cajana "
4,Kajana/RO_1659_1699,0035_0035,"n witnade, /: at när han i skymbningen gik in til Tulnährens och i stugun, war der een Bårgare från Brahestadh Madz Caupinen be:d, den då sände effter en kanna öhl och gaf honom till bästa :/ at Carl Lukas"
5,Kajana/RO_1659_1699,0037_0037," nekade at hon ifiordh intet war i Limingo Prästegårdh hoos honom, men för 3 åhr sedan hafwer han i Brahestadh Krafft honom, Påll swarade sig intet mehr weta af dhet giäldet, än dhet barnet som i dagh född"
6,Kajana/RO_1659_1699,0043_0043,"7. d: 25 Martij höltes Rådstugudagh i Caijanaborg Stadh Nährwarande een Högwälborne Herres H.r Peer Brahes, Grefwes till Wijsingzborgh, Frijherres till Cajana Herres till Rydboholm, Lindholm, Branelinna bå"
7,Kajana/RO_1659_1699,0055_0055,"K. M:t och Pekoinen behåller Fönstret, och lefrerar Leutn: sin Sölfskedh igen./. Markus Partainen i Brahea kärde till Påll Pekoinen, om 4 skålp: Tobak, Pekoinen af honom tingat och til sig tagit haf- wer me"
8,Kajana/RO_1659_1699,0066_0066,"amwijsa sin fulmacht öfwer Tobakz handelen i Cajana, hwil- ken dhe intet hade, uthan Bårgmestaren i Brahe Stadh Hendrich Corte som fulmacht hafwer öfwer Tobak handelen i Cajana, skulle heller hafwa något h"
9,Kajana/RO_1659_1699,0080_0080,"Hendrich Michelßon Hendrich Knutßon, Matz Larßon Jöran Frantzsson och Michel Madzßon. Länsman ifrån Brahe Stadh Wäl:t Hans Forbus fordradhe af Book- hållaren Wälb:de Peer Rundel 200 D.r K.r m.t som rester "
