,parent,file,context
0,RO_1659_1699,0016_0016,"ttz Larßon Michel Mattzßon och Jören Keckånen. Pålades Bårgerskapet, att dee byggia broo på Kyr- kiogatan Nembl. hwar Bårgare en fampn, förskaffan- des dee till medh första Åkeföhret så många ståckar som d"
1,RO_1659_1699,0021_0021,"öras af hwar Person 3 öfre K.m:t til kyrkiowijns och oblatz penningar. Taltes och om broon å Kyrckiogatan dhet tilförende ähr alleredo ålagdt, att dhe medh dhet första draga Ståckar der till och laga till "
2,RO_1659_1699,0022_0022,"skal han för stemningz försittiande böta för hwar 3 mk:r S.m:t Taltes och om Bron å Långe och Kyrkiogatan, dhet sko- le först måtas, och sedan Bårgerskapet, hwar sitt styc- ke å nästkommande Rådstugudag ål"
3,RO_1659_1699,0022_0022," Matz Larßon, och Jören Frantzßon. Då Pålades Bårgerskapet att hwar skola göra wedh sin tompt i Långgatan så och Såldater som boo wedh samma gatan så mykit som dhet räcker, så och på tweegatan til Prästegå"
4,RO_1659_1699,0022_0022,"ades Bårgerskapet att hwar skola göra wedh sin tompt i Långgatan så och Såldater som boo wedh samma gatan så mykit som dhet räcker, så och på tweegatan til Prästegården. På Långgatan är i längden 270 fampn"
5,RO_1659_1699,0022_0022," tompt i Långgatan så och Såldater som boo wedh samma gatan så mykit som dhet räcker, så och på tweegatan til Prästegården. På Långgatan är i längden 270 fampnar och 2. tweegator 9 fampnar, löper in alles "
6,RO_1659_1699,0022_0022,"ter som boo wedh samma gatan så mykit som dhet räcker, så och på tweegatan til Prästegården. På Långgatan är i längden 270 fampnar och 2. tweegator 9 fampnar, löper in alles 360 fampnar dhet i Nästkommande"
7,RO_1659_1699,0023_0023,aren effter them. Blef och Pålagt at hwar af Bårgerskapet skola göra 6 fampnar broon å Lång och Twergatan såsom lengden uthwijsar der om å nästförledne Rådstugu- dag blef och talt. detta protocoll wara wiß
8,RO_1659_1699,0028_0028," Lögerdagh. Pålades bårgerskapet, att hwar och een låther framföra 1 laß spen- ger till broon å Långgatan, och dhe resterande medh broobygningen skola först fylla deras quota, att man får see huru wijda de"
9,RO_1659_1699,0032_0032,"ng. Peer Mursu fordrade af Hendrich Niskainen betalning för broon den han för Niskainen på Stadzens gata giordt hade Nembl. 6 fampnar, ty blef af Rätten be:t Niskainen tilsagt, at han tilställer Peer beta"
10,RO_1659_1699,0034_0034,"ch för Rätten, och åffta be:t Lars hafwer såldt lerft och blaggarn här uthi tingztijdh in Martio på gatan åth bönder, för än han hade angifwit sitt godz i tullen denne saakblef ej upsatt til tilkommande lö"
11,RO_1659_1699,0035_0035,". Ryßen swarade: att när han emoth skymbnin- gen kom inkörandes i Staden, lämpnade han sitt lass på gatan ståndandes, och badh een grentzebonde Bengdt Koistinen be:d /: den nu intet tilstädes war :/ wara h"
12,RO_1659_1699,0037_0037,"ch gitter. Slottz Leutnamptens hustro, Anna Hendrichs dåtter tilltalte Pål Caupinen, at han uthe på gatan brede widh Rådstugun hafwer kallat henne hoora och hennes man an skiälm, och sade Majorska och Prop"
13,RO_1659_1699,0044_0044,"hell Michell Madzßon angaf Påll Pekoinen för Rätten, dhet Påll i förledne Höst skall hafwa, gådt på gatan och hafft byssan i handen, och mant honom uth, det Johan Olsson skall hafwa åsedt; hwar till Påll s"
14,RO_1659_1699,0044_0044,"mant honom uth, det Johan Olsson skall hafwa åsedt; hwar till Påll swarade sig hafwa gådt eliest på gatan och hafft een odugelig byßa i handen, sedan hade Michel Kommit uthur sin gårdh medh sin hustro, och"
15,RO_1659_1699,0047_0047," mk:r samma mynt. Bleff afsagdt att Carl Rahkoinen, behåller dhet åkerstycke som är på andra sijdan gatan om Peer Leinåises gårdh, hwar om han medh Påll Pulkinen war strijdigh, och tilställer åth Pulkinen "
16,RO_1659_1699,0054_0054,"il tårget flyttias. Klåckaren Hendrich Heickinen angaf Probfoßen Thomas Isachßon, att han hafwer på gatan öfwerfallit honom då han hade gådt heem åth från bröllopz gården hoos Michel Madzßon och slagit hon"
17,RO_1659_1699,0062_0062,"kamliga ordh, och derföre kiördt henne ifrån Stugun medh poiken och sagdt: gak uth medh din tiuf på gatan, du hafwer här intet beställa, men intet slagit henne, dhet och Påll Lin- duises hostro som då wari"
18,RO_1659_1699,0067_0067,"ån Jalangalax gaf Rätten klageligen tilkänna, det een Uhlo Bårgare Daniel Hendrichßon be:d i går på gatan öfwerfallit honom, och slagit honom medh en stångh några slagh på håret, dhet Erich Madzßon Sarela,"
19,RO_1659_1699,0067_0067," at sökia sig hielp och kommit åther uth medh Daniel Hendrichßon, och bonden warit i medlertijdh på gatan, åther Peer lupit bonden i håret, och bonden fattadt honom igen i halsen, dher effter Daniel gådt s"
20,RO_1659_1699,0068_0068,"relß Markußon Oloff Tåloinen, Elias Haataja, och Påll Rai- hikain skola förfärdiga den broon på Långgatan emoth Wäster Tullporten; som här till aldrich warit till Mahts kommin. A:o 1669 d 28 Aprilis höltz "
21,RO_1659_1699,0069_0069,"ätta Johan Madzßon Skomakare, och angaf Hendrich Clemetßon Heinoinen, att han i förledne Söndagh på gatan hafwer öfwerfallit honom medh hugg och slagh, och medh een Stöör slagit honom öfwer armen een blåna"
22,RO_1659_1699,0098_0098,"ckadt Prophossen Jonas effter honom at komma til tall, och Joseph begynt bruka sådan skamlig mun på gatan, på bårgmestaren säjandes sig wara så godh karl som han sworit och bannadz hjskeligen dhet Gudh måt"
23,RO_1659_1699,0098_0098,"mma medan han warit druc- ken. Ilijka måtto hade Skarprättaren öfwerfallit Jöns Madzson Laukanen på gatan, dhet Peer Hendrichßon åsedt och nu för Rätten Eedeligen witnade, hwar til Skarprättaren ej heller "
24,RO_1659_1699,0119_0119,"lades och effter aflagdt Eedh witnade; att han förledne Sommar låtit på Erich Peerßons Mulbenk wedh gatan, och Tho- nas kommit gåendes på gatan och dhe begynt Ordh- kastas, och iblandh alt annat hafwer Tho"
25,RO_1659_1699,0119_0119," att han förledne Sommar låtit på Erich Peerßons Mulbenk wedh gatan, och Tho- nas kommit gåendes på gatan och dhe begynt Ordh- kastas, och iblandh alt annat hafwer Thomas sagdt, du ähr en sådan skiälm som "
26,RO_1659_1699,0120_0120,"Några dagar der effter, hade Madz warit uth wedh Ryssän Nilses Gatubodh och Thomas sedt honom gå på gatan, der Thomas begynt jaga efter honom, och Madz sagdt: kiäre Thomas Kiöör intz effter migh, iag hafwe"
27,RO_1659_1699,0135_0135,"heller Neeka kunde. Sedan tilfrågades Jören på hwadh ända han, heela dagen igåår gådt af och ahn på gatan, och Wahtadt effter Gabriel? han Swa- radhe, att han welat förlijkas medh Gabriel, men icke et ordh"
28,RO_1659_1699,0141_0141,"it honom itt slagh öfwer ryggen och fördt honom uthur Cammarn och han gådt ett st. wägh bort åth på gatan, der han blif- wit warse, at han lembnadt sin hanska i Cammaren, der medh wändt om tilbaka igen, oc"
29,RO_1659_1699,0143_0143,"tha smidia Några spijkar, och när han gådt uth genom Porthen, Mötte Smeden Johan Kankuinen honom på gatan, och han kallat Smeden in i Stugun tilbaka igen, der han åther kiöpt Några remare brennewijn, och i"
