,parent,file,context
0,RO_1659_1699,0019_0019," och Jören Frantzßon. /. då Framhades Rysser Ifwan Metzoinen och Kuisma Prötzönen hwilka hafwa uthi Wijborg upköpt, 1145 sk: Tuback af Herman Harrius i Wijborg /: der på hans skrifft ähr dhem meddelat :/ uth"
1,RO_1659_1699,0019_0019,"etzoinen och Kuisma Prötzönen hwilka hafwa uthi Wijborg upköpt, 1145 sk: Tuback af Herman Harrius i Wijborg /: der på hans skrifft ähr dhem meddelat :/ uthaf hwilket Tubak, Joseph Hamara haf:r af dem tagit 3"
2,RO_1659_1699,0020_0020,"sitt Tobak löst, hälst emedan dhe berättade äfwenbe:t Herman Harrium wara Com- pagnijtz Factor Uthi Wijborg, doch medh Condition att dhe dhet här ifrån oförsåldt til sin egen Stadh Kemi föra; doch effterlätz"
3,RO_1659_1699,0066_0066,"Vahl, Anders Isachßon och Zacharias Jenderjan inlade i Rätten en supplication Klagandes öfwer någre Wijborgz Bårgare Joechim Timberman Peter Nyman och Jacob Ruthe det dhe hafwa infördt een Påst olofligh Tuba"
4,RO_1659_1699,0066_0066,sielfwa Männerne tagas i arrest till des dhe betala böterna effter Kongl. Maij:tz Placat: Hwar till wijborgz handelßmän swaradhe sigh icke hafwa såldt öfwer 3 skålpundh på första Marcknadz dagen sedan dhe bl
5,RO_1659_1699,0066_0066,"e:d nu tilstädes war, och af Rätten tilspordes, om han på sin hwß- bondes wägnar hade något förbe.t Wijborgz handelssmän att tiltahla? hwilken swarade: att han war förledne höstas hoos Compagniet i Stok- hol"
6,RO_1659_1699,0067_0067,"eij heller någon maht at twinga på Cajanabårgarne sitt elachka förlegna godz. 2 hafwa Wijborgz Männen, intet emoth den 6 punct uthi Kongl Maij.tz Placat lönligen infördt sitt tubak, uthan dhet "
7,RO_1659_1699,0067_0067,"l någon præjudisz i deras Tubakz handell. Doch likwäll hans Kongl Maij:tz Placat lijkmätigdt, skall Wijborgz Männers Tobak tagas i Arrest, till deß hans hög Grefl. Nåde, Högwälborne H.r Rijkz dråtzen här om "
8,RO_1659_1699,0069_0069," Inläggiandes sine beswär öfwer bårgmestare och Rådh i Cajanaborg Stadh, för det Tobak som twen- ne Wijborgz bårgare i förledne Wintres här i Cajana försåldt hafwa, hwilket Tobakz afnähmare från Uhlobårg haf"
9,RO_1659_1699,0070_0070,"atum öfwer detta hans här warande, jämwäll dher på huru mykit Ungefähr dhe kunna ef- ter tänkia dhe Wijborgske Kiöpmän medh det öfrige Tubak bort reeste ähro? Swarade Att Inspectoren här hafwer warit will Bå"
10,RO_1659_1699,0070_0070,"dh Attestatum här medh honom gärna meddela welat, och med sin Eedh Ehrhålla, at dhe intet wetha, om Wijborgske kiöpmän hafwa lijthet eller intet Tobak medh sigh hädan bortfördt. anbelangande Inspectorens pro"
11,RO_1659_1699,0092_0092,"tten be:t Anders tilfrågat, hwadan han Tobaket skolat kiöpt? han swarade at han hafwer det kiöpt af Wijborgz Compagniet dhet han då straxt medh skiäll intz bewijsa kunde: Uptogz nu altså tobaket uthur kistan"
12,RO_1659_1699,0092_0092,"b: 670: att han kiöpt af honom en Post Tobak, hwilket och war förseglat medh Compagnie Sigill ifrån Wijborg; altså lofwades förbe:t Anders sitt Tobak igen medh den Condition, att han icke een aln försälier h"
13,RO_1659_1699,0221_0221,"h icke medh gärdzle. Tilltaltes Tullnärn Besoldus för det han uthslept j Marck- nadtz tijden, någre Wijborgz köpMänn, Man den gementz aflegning som dhe för Stadz bodar skulle uthgiöra, Nembl. deße Petter Eli"
14,RO_1659_1699,0348_0348,"ättade huru såsom förl:ne Kyndermeß affton sedan han kommit i ehrfarenheet, att Handelsmannen ifrån Wijborghz Stadh Rytkert Sutthåff inkom medh Cramwahror under under Tullenähren Her i Stadhen Wällbd:e Johan "
