,parent,file,context
0,RO_1659_1699,0013_0013,"en sin Eedh at så passerat war. Här till swarade Måisanen, sin hustro hafwa lånt Erichz hustro 1 lb salt, och sig hafwer gådt at kräfwia uthaf Erich rästen af dess betalning nembl. 1 mk:r förbärandes 1 lb"
1,RO_1659_1699,0030_0030,"dteradt och lagdt Under lijkens wäs- stra arm en i hoop bundin groff Lijnklut, uthi een knuta, medh Salt, Talg, och skafning uth af hennes egen trojekraga af swart tygh som hon sielf seger, men ingen kan "
2,RO_1659_1699,0045_0045," sigh till marknadztijden åth Uh- lå bårgare, och sombliga reesa kringom Sochnen och Sawoland, medh salt och förytra, tagandes andra wahror igen, ty lof- wade H:r Majoren wedh näste ting der om publicera,"
3,RO_1659_1699,0066_0066,"delßman i Uhlo, och fordrade af een bonde i Paldamo by Michel Hurskainen be.t betalningen för 2 lb. Salt det be.t Michel skall hafwa tagit tillbårgans i Uhlo, som hans giälde- book innehåller, hwar til bo"
4,RO_1659_1699,0066_0066,"edermehra bekände han att hans granne Anders Hurskai- nen skall hafwa tagit tilbårgans i Uhlå 2 lb. Salt: Altså fan Rätten skiäligt, att be.t Olof Hendrichßon söker sin betalning af förbe.t Anders Hurkain"
5,RO_1659_1699,0117_0117," fölgdt honom uthi hans qwarter och warit bådha druchna, Markus skickadt sin tienare i byn at kiöpa Saltfisk, i medler tijdh han lagdt sigh på benken, och der insompnadt: Och medan hon sofwit, ha- de Olof"
6,RO_1659_1699,0128_0128,"sitt quittans åth bonden gifwit. bonden sade att hans son Hendrich war förreest til Ryßlandh effter Salt, och hafwer quitto brefwen händer emellan, emedan han nu hemmanet besitter, Sade och att Sahl Jerem"
7,RO_1659_1699,0147_0147,"rister Leinoinen moth honom föröfwat hafwer, i dhet han A:o 673 kiöpt ej häst af Christer för 20.to Salt, at betala på 2:ne Åhr, och Christer kommit til första Termin, man intz då något bekommit, Några må"
8,RO_1659_1699,0148_0148,"gen honom effterlåtidt at uthmätha hestens wärde, då hade Bengdt reest til Simana Tålfwainen effter Salt, och bedt Chri- ster wara hoos honom sålänge, men Christer, straxt Bengdt warit bort reest, tagit e"
9,RO_1659_1699,0148_0148,"h hans Koo igen til S. Thomæ dag, hwar emoth Bengdt igen lofwade honom til föresagden Termin 10 lb. Salt, och åther 10 moth wåhren, på hwilken Condi- tion dhe in för Rätta blefwo förlijkte dhe Rätten och "
