,parent,file,context
0,Kajana/RO_1659_1699,0003_0003,"illstodh. Och emedan håppmannen be:te Student för hans siuklige tillstånd gaf i fiordh af Hospitals Spanmål Twå t:r till hielp; dy blef honom ochså nu så myckit af det samma i förstonne bewiliat, deraf sedan"
1,Kajana/RO_1659_1699,0008_0008,"åledes sagt, af den orsaak, att be:te Moisainen hade för honom förr bekäntt, sigh hafua tagit något Spanmål uthur Proviantet, men medh hwars lof, intet til- lagt; det och Moisainen nu sielf tillstodh, be- rä"
2,Kajana/RO_1659_1699,0008_0008,", be- rättandes, sedan Sal: Befal:s Anders Erichzsons Arfwingar hade låtit Uhr Prowiantet taga sitt Spanmål, sig hafwa allenast der Kraffat ihoop något slögt och blandat Spanmål så my- kitt som till en cappa"
3,Kajana/RO_1659_1699,0008_0008,"åtit Uhr Prowiantet taga sitt Spanmål, sig hafwa allenast der Kraffat ihoop något slögt och blandat Spanmål så my- kitt som till en cappa eller Wacka; Och af den orsaak hafwer be:te Christer sedermera uthj d"
4,Kajana/RO_1659_1699,0008_0008,"s dertill; Men Sergean- ten berättar honom Christer hafwa sagt, att Moisainen skulle wara tiuf till Spanmålet, som nästförledne Wåhr borttommet är. Uthaf; alt detta kan man någorlunda afftaga, att samma Chri"
5,Kajana/RO_1659_1699,0008_0008,"Christer fördenskull uthi dryckesmål och ijfrigheet hafwa sagt, att Moisainen ochså hade stulit det spanmålet, som uthur Boden förkommet är. Men effter- såsom Moisainen beropar sig på flere Wittnen, för hwil"
6,Kajana/RO_1659_1699,0010_0010,"Altså skall be:te Mickoinen sitt löffte effterkommen, och betala be:te Tuickas hustru 1 t:a Spanmål eller deß wärde, efftersom nu går och gäller, hwilket af Johan Gamman på Mickonens wägna betalas sk"
7,Kajana/RO_1659_1699,0053_0053," til Påll Mäke- läin och Madz lefwererat åth honom penningar 1 D:r 6 öre K.m.t och lofwat åth Grelß spanmåhl tilkommande winter när han kommer till honom, hwilka penningar hade Påll Mäkeläinen tagit från hono"
8,Kajana/RO_1659_1699,0103_0103," lefwererat 2 RD.r in Specie och 6 D.r gl. slantar, hware- moth Jöran inthet mehr gifwit ähn 1: t:a spanmåhl, bero- padhe sigh på Påll Siwåinen som skall wetha om deß be- skaffenheet: Så emedan dhe woro dher "
9,Kajana/RO_1659_1699,0114_0114," Nil- ßon Kuuroila i Uhlo Stadh, dhet Johan i går skall hafwer olagligen tagit från honom 2 ½ Tunna spanmåhl och En häst under arrest; hwar til Johan Nilßon swaradhe dhet igenom H.r Bårg- Mestarens obeloff ha"
10,Kajana/RO_1659_1699,0114_0114,"dell hafwa om hästen ifrån honom tages; Ty war Rättens omdöme; att Johan Nilßon behåller dhe 2½ t:a spanmåhl för giäldh à 7 D:r t:a effter Madz Hillis egen obligation, och Johan lefwererer hästen til Hilli ig"
11,Kajana/RO_1659_1699,0119_0119,"lat åhört hafwa, hwilka nu intz tilstädes wo- ro; Hwar till Thomas swarade sig hafwa tagit 1. Tunna Spanmåhl af bonden, och bedit BefalningzMannen hoos Hendrich Tårwinen, at han den på hans löns afbetalning b"
12,Kajana/RO_1659_1699,0119_0119,"re skall han Thomas bötha 6 mk.r S.r m:t effter 31 Cap. R. B. och betala til Pardainen sin uthgifne Spanmåls Tunna; Men att han kallat Befal:n til Skiälm Upskiötz den saaken til Nästkom- mande Måndag, då ofw"
13,Kajana/RO_1659_1699,0136_0136,"l.t Isack Hanßon d 30 Maij Nästförledne för Rätten angaf, att dhe då hafwa drif- wit landzkiöp medh Spanmåhl, och upkiöpt 2 t.r Råg som honom af bonden wardt tilsagdt för uthlagor, hwil- ken saak då Upskiötz "
14,Kajana/RO_1659_1699,0137_0137,"ich Prackula och Thomas Kålemainen hafwa förledne wåras bedrifwit LandtKiöp och giordt förkiöp medh Spanmåhl, hwilken saak då blef Upskutin, och dem Arresteradhe Spanmåhl af Hopmannen sedermehra löös gifwen, "
15,Kajana/RO_1659_1699,0137_0137,"wit LandtKiöp och giordt förkiöp medh Spanmåhl, hwilken saak då blef Upskutin, och dem Arresteradhe Spanmåhl af Hopmannen sedermehra löös gifwen, altså kunde Rätten dem för Landzkiöp intet be- frija, uthan fä"
16,Kajana/RO_1659_1699,0142_0142,"n- gar 3 öhre K.r M.t dem han til sin Matmoder heemburit och dhet sam- fält förtärdt. prof af samma spanmåhl hemptade Stadztie- naren Olof Tåloinen in uthi Rådstugun, hwilket befans, wara itt slogh medh det s"
17,Kajana/RO_1659_1699,0142_0142,"röden att han dem stulit hade. Senters Aldenstundh poiken Jören bekände sig hafwa burit til Philpus Spanmåhl och derföre bekommit brennewijn och Peningar igen, och nu befans Spl. warit samma slagh som Christe"
18,Kajana/RO_1659_1699,0142_0142,"ing för brennewijnet hoos Mestermannens Hustro det besta han kan och gitter, och Poi- ken Jören som Spannemåhlet burit hafwer sättes i Sta- dens gömo in til wijdare ransakningh."
19,Kajana/RO_1659_1699,0147_0147,"ärande och Grelß Markußon Swarande, angående en Förskins Pels och försträchte peningar och En wacka Spanmåhl låfwade Grels tilkommande winter Peer Håtacka en så godh Turk igen och skal betala honom 3 d:r och "
20,Kajana/RO_1659_1699,0165_0165,"warade Jag hafwer tagit för min giäldh, af Laaka, Eländä och Lahna Järvi byggiare, för det han lånt Spanmåhl i framledne onda åhren, det intet til sanning fans, eij heller han sielf sedermehra mooth säja kund"
