,parent,file,context
0,RO_1659_1699,0012_0012,"betalas, och blef der på lefrerat Erich Peerßon burnne lengder, så och 1 på återstående Prästegårdz Stockar och Bräder. Blefwe förordnade Erich Murmestare och Stadztiena- ren Joseph Michonen at besee Stadz"
1,RO_1659_1699,0015_0015,"henne, förr ähn efter sex åhrs tijdh 2 st. och när be:te Erich blef lagskrifwen Kneht och fört till Stockholm, är han för sin odugelig- heet skull derifrån skickat tilbaka, och hans broder i stället tagen."
2,RO_1659_1699,0018_0018,"elßson, Hendrich Knuthßon Madz Larsson, Michel Madzsson Jören Frantzson. Då taltes om Klåkstaplanes Stockar, att Bårgenskapet skola låtha besee dem i Mårgon effter Kyrckiotijden på kyrckiobacken, och the s"
3,RO_1659_1699,0020_0020,"ckar, hwar til den andra intz ne- kade, uthan begärade allenast några fremmande Män att besee samma Stockar, sampt Laninens Erfwode werdera sedan lofwade han honom betala; altså Nämbdes der til 2 Rådmän."
4,RO_1659_1699,0037_0037,"t Erich Pålßon at han för 3 åhr sedan antog honom för legodreng, och när Pål om hösten ree- ste til Stockholm, satte han förbe:t dreng i sitt ställe, at ahta sitt bohagh Bohagh, och när han kom igen ifrån "
5,RO_1659_1699,0037_0037,"holm, satte han förbe:t dreng i sitt ställe, at ahta sitt bohagh Bohagh, och när han kom igen ifrån Stockholm, hade drengen förslösat hans penningar och spanl. och skutit sönder een refle byßa, den han lof"
6,RO_1659_1699,0047_0047,"s Petrell: och alla Rådmän. Bleff Hans Kongl. Maij:tz Placat å finska upläsin om lööstpar- tij Dat: Stockholm d 30 Aug: 1664 och bårgerskapet alfwerligen förmant, att dhe intet hysa eller herbergera dhom, "
7,RO_1659_1699,0054_0054,"digande. bleff och talt om kyrkiobalkar och bårgerskapet tillsagdt, att hwar och een framförer sina stockar medan Okeföret påståår, som dhem för detta åhr pålagdt. Såldaterne skola och framskaffa bräder ti"
8,RO_1659_1699,0057_0057,"faders Wäl:t Daniel Krögers wägnar, tiltalte Zer¬ gianten Hendrich Kropsu; det Kröger N:o 662: uthi Stokholm, hafwer lefwererat åth Hendrich een Räffel byßa, den han skulle föra medh sig till Uhlo; hwar t"
9,RO_1659_1699,0060_0060,"4 aln walmar dhet han hade satt hoos honom till underpant, för 30 öhre kop:r m:t då han reeste till Stockholm. Men Bru- sius swarade sig intet kunnat så länge hoos sig behålla förbe:t walmar, uthan i medle"
10,RO_1659_1699,0066_0066,"t Wijborgz handelssmän att tiltahla? hwilken swarade: att han war förledne höstas hoos Compagniet i Stok- holm, och kunde intet något Tubak bekomma, will fördenskull sigh här medh intz befatta. Denne saak"
11,RO_1659_1699,0069_0069,"uthßon Madz Larßon, Michell Madzßson, Jöran Frantzßon Tobakz Compagnie Directorers Fulmehtige ifrån Stockholm Wäl:t Peter Anderßon Eek, framwijste sin fulmacht Dat: d 2 Aprilis 1669, att in- quirera om tob"
12,RO_1659_1699,0080_0080,"talthe; hwar till Bookhållaren intz nekadhe, uthan swaradhe att Hans Forbus sielf förledne höstas i Stockholm låfwat taga gården igen, och tilbaka lefwerera dhe Und- fångne 200 D:r K.mt han då straxt på ha"
13,RO_1659_1699,0080_0080,"mmit hade, In- läggiandes Lars Swenßons och Assessorens Högachtadt H.r Johan Wasse- nij attest Dat: Stockholm d 10 Sept: A: 1669. Hwaruthinnan dhe at- testera, at Forbus medh handsträkning låfwat ryggia ki"
14,RO_1659_1699,0080_0080,"nde och slöth till föliande Sentens. att ehuruwäll dhe sins emellan hafwa i medher tijdh taltz wedh Stock- holm och Länsman medh handh låfwat, taga gården igen medh den Con- dition, at han får behålla dhe "
15,RO_1659_1699,0081_0081,ßon Norman Fulmechtig af Göstaf Simonßon i Brahe Stadz præsenterandes Carl Lukaßons obligation Dat: Stock- holm d 31 Julij 663. hwaruthinnan han obligerar sig at betala till Gö- staf Simonßon 22 D.r K:r m:
16,RO_1659_1699,0081_0081,"e Carl Lukaßons skrifftelig Swar: hwaruthinnan han förmähler, at han haf:r låtit Cite- ra Klieten i Stockholm för Kämners Rätten der medh han doch intz kun- nat uthrätta för Klietens medellösheet skull, se"
17,RO_1659_1699,0085_0085,"resse: dhet Rätten och för skiälig ehr¬ kiände. Bleff upläsit Directeurernes öfwer Tobakz Handeln i Stockholm wälbe:de Anders Anderßons, och Wolther Siewers bref Dat: Stockholm d 5 Julij 670 så och Inspect"
18,RO_1659_1699,0085_0085,"teurernes öfwer Tobakz Handeln i Stockholm wälbe:de Anders Anderßons, och Wolther Siewers bref Dat: Stockholm d 5 Julij 670 så och Inspectorens Wäl:t Knut Peerßons bref och fulmaht Bårgmestare och Rådh til"
19,RO_1659_1699,0090_0090,"utsson Madz Larßon, och Erich Hanßon i andras ställe, Bleff Hans Kongl. Maij:tz Nådige Placat, dat: Stockholm d: 4 No- vembris 670: effter Directeurernas anmodan angående Tobaks handelen, för bårgerskapet "
20,RO_1659_1699,0092_0092,"an Hans Kongl. Maij.t hafwer Nådigest nyligen låthit uthgå ett Placat angående Tobakz handelen Dat: Stockholm d. 24. Novemb: A: 1670. Hwaruthinnan hoos Kongl Maij:t aldeles förbiuder, at den ena staden ick"
21,RO_1659_1699,0092_0092,"are i Uhlå, att betala till befal:ns Wäl.t Isack Hanßons hustro effter den Marknadz gång då warit i Stockholm 10 D:r K:r m:t för dhe 4  lb. geddor hon A: 1668: medh honom skickat til Stockholm, att lefwere"
22,RO_1659_1699,0092_0092," gång då warit i Stockholm 10 D:r K:r m:t för dhe 4  lb. geddor hon A: 1668: medh honom skickat til Stockholm, att lefwereras igenom Michel Erichßon förriga"
23,RO_1659_1699,0098_0098,wardera skall bötha 6 mk.r S.r m.t effter 12 Cap. Såram: B. med wilia Stl. eller wärde slagen widee Stoken der han eij will böther ehrläggia. d 8 Nov:
24,RO_1659_1699,0105_0105,"ublicerades Bårgmestare och Rådz bref från Uhlo Stadh Dat: d 5 Aprilis 672: dhet Directeurerna från Stockholm haf- wa dem tilskrifwit, att 1. T:a full medh Tobak til Cajana Stadz providering ähr öfwersändt"
25,RO_1659_1699,0118_0118,gMestare och Rådmän./. Publicerades och Hans Hög Grefl. Nådes nådigest föruntte Donations bref Dat: Stockholm d Julj A:o 673 angående Uppå Bårgmestare och Rådz Supplication om deras Löhn hwaruthinnan Hans 
26,RO_1659_1699,0127_0127,en wiß rächning medh honom hafwer. Sigfredh Leinoinen bekände at då han A.o 669 om hösten reest til Stokholm hade Paltil bidit honom att han wille taga peningar af Erich Madzson och kiöpa honom Spl. derif
27,RO_1659_1699,0127_0127,"n, hwarföre Erich Madzßon uthgifwit då sig obligation på 78 D.r K.r M.t allenast, att lef- werera i Stokholm, som sielfwa obligation Uthwijsar. Erich Peerßon intygadhe och, att när han förledne afftons ef"
28,RO_1659_1699,0140_0140,"fwer altså Erich Peerßon gifwit honom, 30. D.r der till, att lefwerera til Tobakz handelens Cassa i Stok- holm, och accorderat medh honom, at han ändoch lägger 50 D:r der till af sina egna Peningar, att s"
29,RO_1659_1699,0140_0140,"e uthfäste förbe:t Sigfredh Leinoinen sig tilkommande Wåhr medh första Sku- ta som öfwer gåår, at i Stokholm til Cassan lefrera. 200 D.r K.r Mt: sampt och stå all Efwentyr hinder och skada der förbe.t Eri"
30,RO_1659_1699,0144_0144,"t, och Staden ähr medh ringa Mulbeth försörgdh, altså blef nu effter Högbe.t Grefl. N.s breff. Dat: Stokholm d 14 Julj 673. förbe:t Engstycke til Stadzens almenne Mulbether un- derlagde, och gärdes gården"
31,RO_1659_1699,0161_0161,"ugu uthi Bårgme- stare och Rådz Nährwaro Publicerades Hans Kongl. Maij:tz Cammar Collegj bref, dati Stokholm d. 30 Sept: 678. Bårgmestare och Rådh til skrifwit, Hwaruthinnan de fordra af denne Staden 100 "
32,RO_1659_1699,0168_0168,"n och samma wåhr om Pingeshelgen medh Paß och bewijß, begifwit sig här ifrn på reesan till Uhlå åth Stockholm att wijdare fortsättia och uthlära sitt Skomakare handt- wärk, som han då wedh afresandet föres"
33,RO_1659_1699,0168_0168,"tog Rätten i betänkiande; Och kunde för denne gångon intet slutha annat, ähn att öfwer skrifwa till Stokholm att inhämpta wisa beskedh och kunskap om Margetas man då warit eller och ännu ähr i lijfwet, nä"
34,RO_1659_1699,0170_0170,"aja, Ehuru wähl hopman Edell och Manhafftig Samuel Lång, straxt i wåhras hafwer öfwer skrifwit till Stockholm att inhämpta kund- skap och beskedh om Lille Skomakarens Johan Jo- hanßon Margetha Johans dotte"
35,RO_1659_1699,0170_0170,tha Johans dotters man skall wara i Lijfwe; och nu sedermehra Hopman sielf i Person warit öfwer til Stokholm och Nyys hemkommin och intygade sig granneligen der effter frågat; Men ingen wiss kunskap eller
36,RO_1659_1699,0172_0172,"ähl man giordt sin flijth att spana der effter. Ty A. 677. om wåhren öfwerreeste han här ifrån till Stockholm, och blef der wärfwat Under Rytteriet, och om han ähr fördt medh armeehn åth skåne eller Pommer"
37,RO_1659_1699,0185_0185," deres Plicht, effter Placatetz Innehåld. hwar om Tobackz handelens Directeurer af d: 17 Aug: ifrån Stockholm till Borgmest:re och Rådh i Cajana tilstrifwit hafwa. Jöran Lauckainen, och Hendrich Sirwiö ble"
38,RO_1659_1699,0207_0207,"lfwet och slååhs sedan wähl till medh Spijken och lijstor twärt öf:r hwalfwet. Sammaledes skall och Stockarna wedh Steenfoten fordras medh bräder, derföre pålades Bärgerskapet at nu straxt föra twenne styc"
39,RO_1659_1699,0207_0207," nu straxt föra twenne stycken bräder oundt- wikeligen af hwar Bårgare at fordra Steen- fothen, dhe stockar som togz i förlidne Sommars till Låhns skohla nu ifrån skogen straxt till Slåttet igen införas we"
40,RO_1659_1699,0222_0222,"b: sielfwe aqviteten wara lijkmätigt. Änn Proponerades om Broarne, att dher till måtte för- skaffas stockar under påstående Åkefört, att wärc- ket tillreedz ähr, så frampt dhe eij willia bötha för bro- fal"
41,RO_1659_1699,0228_0228," försåldt till Tullskrif:n huar öfwer dhe och begynt ord- kastas hadhe och Jiläinen förmeent bencke stocken wara tagen af sitt Timber, det han doch nu eij kunde In- tyga, effter Tullskrif:n köpt heele Stug"
42,RO_1659_1699,0240_0240,":r och Rådz- Närwaro. Publicerades den ankombne skrifwelse ifrå Kongl. Cammar- Colleg: Collegio aff Stockholm på Innewarande Åhr d 7 Januarij, j lijka måtto är den höglåfl. Kongl. HoffRättz bref hijth på e"
43,RO_1659_1699,0241_0241,"warlig hand hållas. Om Stadzens Broar blef proponerat, att der till Wijdh påstå- ende åkföre, föres Stockar, och sådant wärck som der till kan betarfwas, wider påfölliande straff som Lagh förmår. Anno 1687"
44,RO_1659_1699,0243_0243,Mest:r och Rådz Nährwahro. Då Publicerades den ankombne skrif- welse ifrå Kongl. Cammar Collegio af Stockholm på Innevarande åhr d 7 Jan: I lijka måtto ähr den höghlåfl. Kongl. HåfRättz bref hijth på Een t
45,RO_1659_1699,0246_0246,"fter deße skiähl, Eedh, och Lagl: bewijs, att han effter Kongl. Maij:tz straff Ordningh uth- gifwen Stockholm d 18 Maij 1653. i Widrigt på läggiande deße 19 D:r 13 öre Kpp:r M:t äganden igen tillställer, J"
46,RO_1659_1699,0250_0250," för tillmälet inttet befrija, Uthan dömmes det han effter Kongl. Maij:tz Straff ordning, Uthgifwen Stockholm d 18 Maij 1653, jämwähl effter 7 Cap: Tiuf B:r LL: tillställer Eganden berörde 19 D:r 13 öre so"
47,RO_1659_1699,0250_0250,"et att dhe eij willia Uppehålla Prestegården be- gierandes till den begynte bygnaden, ell. Stugun 1 stock 1 br: 1 gålftelie, brede deres förre uthfäste dagzwärck af Hwar gårdh och skola dhe dette medh Wärc"
