,parent,file,context
0,RO_1659_1699,0027_0027,"r lofwat någon Echtenskap. Men Konan sade att dhe hade warit uthi Cammaren då hon gik effter brend- wijn, hade be:t Hendrich fölgt henne och stängt dören effter sig och då hafft sin wilia medh henne; här "
1,RO_1659_1699,0047_0047,"fterlåtes intet almogen dher att tingh hålla. Kyrkiowärden Michel Madzßon föredragh sig intet kunna wijn och oblater för 3 öhre K:r m:t som här hafwer warit wanligit at uthgiöra :/ at hålla, emedan dhe be"
2,RO_1659_1699,0074_0074,"iötz saaken til witnens intygande. fordrade och be.t Erich af Påll 1 D:r 18 öhre K. m.t dhet han om win- tern på reesan skyldigh blifwin, men Pekoinen fordrade af Erich för Frijß och Tobak dhem han A:o 6"
3,RO_1659_1699,0074_0074," illa stådt sin tienst före, om han weet något oährligit medh honom, eller om dhet warit Mangell om wijn och oblater? han swarade, at han ingen gång warit i Prästgården, då Ladan upbygdes, uthan han måst "
4,RO_1659_1699,0074_0074,"jdh sielf beställa om arbetz fålk, genom Klåcka- ren och sin egen drengh. Men ingen Mangel warit om wijn och oblater"
5,RO_1659_1699,0075_0075," sig öfwer Michell Madzßon, fordrandes rächning af honom och sade at han hafwer 7 D:r K.r m:t öfwer wijn penningar för 668: Och at han intet mehr skall gifwa wijn penningar ähn 3 öhre för Person, ehuru wä"
6,RO_1659_1699,0075_0075,"ch sade at han hafwer 7 D:r K.r m:t öfwer wijn penningar för 668: Och at han intet mehr skall gifwa wijn penningar ähn 3 öhre för Person, ehuru wäl A:o 667 ähr Lagligen bewiliat 4 öhre kop:r m.t. denne sa"
7,RO_1659_1699,0075_0075,"rkioheerden wällärde H.r Jacob sade straxt twert emoth domen, at Michel Madzßon skall aldrigh hålla wijn eller wara, kyrkio wärdh, uthan så frampt Länsman icke får hålla, will kyrkioherden sielf wara Kyr-"
8,RO_1659_1699,0091_0091," fordrade af Rådmannen i Uhlo Erich Madz- ßon Ryßä, betalningen förr 1 Timber gråwärk, han förledne win- ter honom lefwererat hade, dhet Rådmannen tilstodh sig bekommit men sade Samuels hustro tagit af h"
9,RO_1659_1699,0097_0097,t effterspana dhet bästa han kan och gitter. Länsman Johan Gamman angaf för Rätten att han förledne Win- ter skolat lejat af Hans Sijra dhe ängiar på Peuran Newa Som Madz Larßon förledne Sommars slagit h
10,RO_1659_1699,0148_0148,han först lefwererat honom 25 ℔. Ryß. Salt à 1 D.r ℔. och i Mijna gifwit ho- nom för öhl och brenne wijn han i byyn druckit 6 d:r 8 öhre och hoos Thomas Huodari åther lefrerat honom 5 mk:r K.r M:t hwilket
11,RO_1659_1699,0223_0223,"t een kanna gått Öhl, sellies för 10 öre KM:t hwadh något sämbre ähr för 8 öre, och Een kanna bren- wijn för 1 D:r 16 öre Km:t. Wijdare åligger borgerskapet Prästegården äntel. att förbet- tres och melior"
12,RO_1659_1699,0246_0246,"öre kop:r M:t. Bekände och Anna Larsdotter medh aflagdh Eedh desse drengiar skickat för 3 öre brän- wijn och dher hoos Weteläises hustru supit, Jämwähl dhe andra gångor hoos denne Anna warit, haf:a dhe al"
13,RO_1659_1699,0288_0288,"ödgast komma effter hästen; Sedan hafwer Hans tagit honom wänligen emoth, och hämptat honom bränne- wjn, det denne kålion som elliest ähr swagh aff naturen supit, framteendes först Hans 3:ne oberedde fåå"
14,RO_1659_1699,0290_0290," på för benämbde Enckia Anna Liepatar, Philip meente och Niels Meriläises hustro för Öhl och bränne wjn någre peng:r bekommit aff Caria- laiser, hoon tillstod effter aflagd Eed sig fådt af brodren Hinric"
15,RO_1659_1699,0309_0309,", och som dhe nästkörde effter hwar andre med Matz Iläin hafwer Frantz hafft med sigh något bränne- wijn hwilcket han uplåtit sit medföllie och grannar i wänligheet lijkwähl oachtandes hafwer denne Iläin "
16,RO_1659_1699,0312_0312, Maij. 284 Carin Mursutar kärde till Zacharias Kemilä- inen för een tijdh sedan försträckte Bränne- wijn Nembl: 2 1/4 kanna à 6 mk:r Kannan be- löper Tree dal:r 12 öre och 1 stoop öhl à 4 öre blifwer sin 
17,RO_1659_1699,0340_0340," sedermera bekommit, än een brendWijns glaas a 12 Öre och den andra förähradt, Men Öhll och brendh- Wijn Trykt Lereff och PittNilkor alldeles nekade och i samma Eedh bedyrade sigh el:r Hustrun handfångit,"
18,RO_1659_1699,0377_0377,mpst Lefwererat Contant 10 D:r 1 Carolijn 3 Cap:r Spanmåhl à 6 mk 1 L℔ Salt à 9 mk:r Öhl och brend- wijn för 9 mk:r Km:t och eij till sin Nytta. Besöckiaren Gabriel Kruus sedan han Eeden aflagdt in- sinue
