,file,context
0,0092_0094,"e honom wara witterligit, at uthi samma åhr, när Ryssen hadhe wore kommer her förstadhen, sin Sahl: fadher medh Sigfridh Matzson Merron om kiöttet handlat och honom betalt, men om denne anfodringen wijste h"
1,0102_0104,"r blifwa, uthan här ifrån för jajas. Dewilliades Henrich Pelle halfwa delen af de Ängier effter sin fader, och den andre helfften broderen Johan 101"
2,0129_0131,": i Rådstugu B: till Saak 12 öre Sölf:r M:tt./. N:o 6 Dito Framkom frich Michelsson düster uppå sin fader wägnar, åkärandes på hinrich klåckares dotter Mar- gareta, att hon hafwer tagit för Jul ett faat öö"
3,0129_0131,"kärandes på hinrich klåckares dotter Mar- gareta, att hon hafwer tagit för Jul ett faat ööl af hans fader Wäll:tt Michel düster att försällias, och hafr peningarne dherföre icke till fyllest uthbetalt, uth"
4,0130_0132,"düster, öfwer lefwererat. Dito Inlade Rådmannens Son, på sin Anders wägnar En rächningh emellan sin fader och handelsmannen wäcktt Hans Mortomeer. Om desse parters prætensioner wart opphutit til deß dhe ha"
5,0151_0153,"Simon Larssons dotter una Simons dotter begierandes att gånge till hifftes uthi arfwet öfr sin Sal: fader och moder tad sin Styfmoder h. Elin Sawolain, hwilket och af wen Consenterat blefft, och Committera"
6,0167_0169,"o begierade Casper Martin, att dett måtte fattat blifwa uthi protocollet, att freßen skiälde Hukens fader för en panceroff och mäklare, Dito säger Jochim Freße, att Casper sager dett ingen ährlig karl skal"
7,0245_0247,"psela by, Anders Simonson Lannukain; begiärandes ett Attestatum om dett be i sanning wore, att hans fader broder samt fär- en hade warit Borgare här i Kexholm, på 5 åhr ingiörande för rupturen 656, och hur"
8,0247_0249,"r b:d hwilken blef tillfrågat om dett barnet hon i Lönskeläge bekommit hafr; hwil- kan som der till Fader wore? här till swarade Lönan Elin hans dotter. att den Leutnampten Zacharias Mäyer, som till- fernd"
9,0247_0249," Leutnampten Zacharias Mäyer, som till- fernde hade tiänt Wällb:ne H:r Landzhöfdingen wore der till Fader. och wiste af ingen annan eij eller wiste hon hwart han hafwr tagit olägen, emädan han strax effter"
10,0271_0273,"ådhman om Erich Erich Simonsson tillstodh wara wist, som sådant elt hafwer då af Jeremia Michelsons fader. dt, och af samma Michel Larsson tillbudit altten att behålla och der uthinnan Inter- wallade wara;"
11,0271_0273,"öre han och dett af Jeremij Michelson sökes: Borgaren Jeremias läger, att dett war så länge att min fader att anna fader effter den sijden lefde så wäll som dett att comendanten och war, qwar: hwarföre han"
12,0271_0273,"t af Jeremij Michelson sökes: Borgaren Jeremias läger, att dett war så länge att min fader att anna fader effter den sijden lefde så wäll som dett att comendanten och war, qwar: hwarföre han sådant den gån"
13,0271_0273,"comendanten och war, qwar: hwarföre han sådant den gången fr sökt hade? efr han wäll wiste att hans fader de köpt teglet af Commendanten, der andre 100 st: tegelstenar säger Jeremias wara länge betalt, opp"
14,0273_0275,"minen? Staphan Sigfrijdson swarar: att emädan af hafr nu igen funnit samma helfftuma os dig och din fader, haar uthi pgrne wore frågar iag och så, hwart pgrus hafwa tagit wäl en? till säger. Haffer icke ia"
15,0285_0287,ade och Ryßen att han hade gifwit Eij en halfftunna hafra och 3 Dr pgr för hwilket han skulle häste fader köpa emellan Nyen och Aunisma. Erich Erich begierte att dett måtte protocolleras att Ondri beskyllt
16,0304_0306,"och intet sedt att Staphans fader Sigfret hade någor annorstädes uthtagit pgr an köpslaga medh, ähn allenast af Ståål hu tunnan, efft"
17,0304_0306,"r, ian, fördes opp med bååt; och kunde den ugun uthi båten intet mehr föhras. gr Staphan eller hans fader Sigfred tet nämbde, att der hade ähn då en halftug i i hampnen liggiandes i lodian, Rr eij, sade at"
18,0304_0306," bekände, att denne tunnan nu strijdes om, war dem samma, som ill här tagit igen them hoos Staphans fader ifredh och hade han sedt när Erkill kom ifrån med medh denne tuomar som nu strijdes - hwar opå han "
19,0310_0312,"de budit till att willia sig 100 Dr Km:tt mehr ähn honom tillkommo, till- egna; Men såsom Pirrkoins fader, haf:r om deras köphandel noga inqvirerat och befunnit Sigfrijd wara oskiälig, dy hafr och Pirhoins"
20,0310_0312," haf:r om deras köphandel noga inqvirerat och befunnit Sigfrijd wara oskiälig, dy hafr och Pirhoins fader /: som och Sigrijtz Swärfader :/ intet låtit Sigfrijd b:t 100 Dr föllja. Sigfrijd swarade, sig alld"
21,0313_0315,"t sig påtaga; och  swarat, om något kommer skuten weed, huru will  iag dett swara? Då hade Eskillss fader och svarbruder  befallt, att Eskill skulle föllja ander skutas effter  tillstår och Eksill att hafw"
22,0314_0316," Stockholm öfwerfallit skull med hugg och slagh, så wäll som åthskillige skiäldzordh; skyldt Eskilß fader för- fullkomlig tiuff, såsom Gabriel Mårtenßons Attest utwijsar; och om slagzmåhlet förrige An- man"
23,0319_0321,"tt hon har tagit sig rat frömmande till nampn, som honom intet, uthan Adel- män till kommer. ty din Fader har aldrig amt- kallas ähn Orduska. ytterst, den Wildman reed till honom i gården så var dett af de"
