,parent,file,context
0,Kexholm,0283_0285,"n med executionen, men interim sätt för sig full borgen, till des han hoos Hs Exall:s kunde om till gifft supplicera. No. 34 Dito upplödz borgare Hinrich Pirrhons 5 ??ßingz kettlar wägandes tillhoopa 1 ℔, "
1,Kexholm,0291_0293,"adzens ährender, och intet annat fådt af borgerskapet ähn elaka ordh böön för landes Rätten om till gifft. Borgerskapet bode en drächteligen för honom att han medh något Linden git måtte förskonas, efter h"
2,Kexholm,0318_0320,"tmästaren så sit badhstugnar och talat med Wildmanshustro när en war der och baka, och sagt ästu nu gifft? då on har swarat ja, och sagt, wij äre ungt folß kundz gifwa wij måtte Lefta wäll tillhoopa! alle-"
3,Kexholm,0574_0576,"l: KrigzRätten, eller dess officerare här sammastädes, hwar under han nu sorterar, bäst han kan och gifter, der hänn denne Rätten och honom, recommenderar, medh tiänst flytigh begiäran, att Beh- men måtte"
4,Kexholm,0577_0579,"hl. Herman Böök ägt hafwer, den han in till sin döderdagh, och dess änkia, här till uthan någon af- gifft innehafft och possiderat hafwa; Och såssom hon nu mehra ey mächtar samma åcker för Medellösa bebruk"
5,Kexholm,0577_0579,"nes Son åfwanber:de Anders /: hwilken hon ifrån sigh af- tildt, effter hon och nu är sinnad å annor gifto gånga, Sonen Anders och fördenskuldh hwar nödgatz at begifwa, sigh i tiänst hoos een annor Änkia h"
6,Kexholm,0594_0596,"s högwälborne H:r Jöran Sperling skriftelige resolution af d. 21 Januarij nästledne emot ährligh af gift till Staden innehafde och nyttiade blifwa, Taxan ähr satt oppå hwart laß landz ängh 16 ö: öre Koppa"
7,Kexholm,0612_0615,de ifrån deras fader intet medh sig dett ringa- see bekommit uthan Anders förmedelst sitt insträdde giffta medh Sahl: Michell Sivos Enckia och Petter effter undfången Credit af Hans Pölske måste sig nu sie
8,Kexholm,0616_0619,till förenne försäkrat af Staden att få någon åker här up under Staden nyttia och bruka emot den af gift om Staden ährligen effter arfinnemännernes gå finnande tillkommer och Ojala Pavu förmedelst sin fat
9,Kexholm,0629_0632,"älle ähr röd af Michell Hemelein, hwilken hafft Borgmästare och Råg  tillståndh emot een skälig och gifft samma hööslagh beropa men denne Såldat dett olofwandes å egit bewägh werckat i blef och bem:te Sysl"
10,Kexholm,0642_0645,s Larß Michre ssons resterande arff af möderne hwilcket bem:te Hans Behm per Suceßienem och inträds gifftermåhl med Sahl. Larsses Enckia h. Maria Carlsd:r hemfaller huar om dhe warit twistige affsagd å Kex
11,Kexholm,0642_0645,"urnde gälden sadhe dhe ännu wara odehlt, och dheras 3die interessent Anders Pirhoin, hwilcken genom gifftermåhl haar för någon tijdh sedan med dheras tridie broders Sahl. Michell Michellsson Egendomb tillt"
12,Kexholm,0650_0653,"igt Hl. Probstens aff d. 20 Ap: nästledne daterade Skriff till Borgmestare och Rådh, angå dhe några giffta hustror hwilcka medh ogifta Personer för de gon tijdh sedan barn aflat. Och såsom dher iblandh een"
13,Kexholm,0650_0653,flat. Och såsom dher iblandh een ogifft Köppa Sall Claus Herman Brasche angifwas att hafwa medh een gift. Såldat hustro Carin Haltonen aflat barn och han dher till giör sigh förmedelst sin egen till Borgm
14,Kexholm,0683_0686,onen medan såsom Styckfunkaren Manhafftig Johans Klim niuta här i staden förmedelst sitt in- trädde gifftermåhl med en Borgare Enkia Dygdesamme h:o Walborg Jöransd:r borgare Rätt i altså är deße effterskre
15,Kexholm,0702_0705,"nde Borgare och sannades; Altså kunde Rätten detta deras ingångne kop eij förwägra effter som månge giffte, oldater, heller med särskilte än Borger skapetz egne huus äre benögde. H Till Cappellanens Wällär"
16,Kexholm,0707_0710,"en hoos sin Swåger Simon Erichson Kur- man och frågat honom om hennes Moder wore sinnad att träda i giffte medh Forsman, hwar på han swarat at tahlet sålunda gåår, då hon igen sagt det kan intet gå an, ty "
17,Kexholm,0708_0711,"iorde effter aflagdh Edh denne fölliande bekennelse, det dottren med till frågan om Forsmans ärnade giffter måhl medh modren huar sagt: att Forsman ingalunda skall fåå henne de Soldaten frågat orsaken, hwa"
18,Kexholm,0727_0730, ade ordre af H. Commendanten att möijelä- gast hindra Enckians gångh till Forsman och deras ärnade gifftermåhl :/ Altså förde hoon till Forsman brefwet och huar Forsman i förstone effter dess igenom lä- s
