,parent,file,context
0,Kexholm,0073_0075,"ch uthi ofwan be- nälte Borgmestare och Rådz närwaro och samman komst ordinarie Rådhstugu daagh, då man alt in till den 10 Novemb:r icke något synnerligit hade att handhla. Anno 1660 den 10. Novemb: wahr"
1,Kexholm,0073_0075,"h wedh Tobiia, in till des han resten ½ thym Sp nemåhl honom förnier, där emoot Tobia Laß söker sin Man. På K: W: 72 Dito den 13. November, in till den 1 December Confererade Borgmestar och Rådh alle ord"
2,Kexholm,0077_0079,huru såsom Ingeneuren een lithen Sölfkann hoos honom i pant satt och samma giäldhen nu redho betalt man han kunne nu icke få ifrån Borgaren igen. Densamma gången war Borgaren Simon Larsson icke till sted
3,Kexholm,0079_0081,"ldaterne hoos sigh, och samma Musquet hadhe han till baka åt Arcklijmestaren lefuere Sentens. Såsom man exetetis någsamt förnimmer, at Borgare Peter Sigfridhson Liuro, Johan Larsson och Philip Hin drichs"
4,Kexholm,0080_0082," besuärat, då hon hadhe och så wijst blånat, annat wiste hon icke: his dimissi sunt. Sentens Effter man uthur Actorna förminer at Påul Sawo= lain den gamble hustrun Carin Peerssdotter hafwer stödt ifrå B"
5,Kexholm,0083_0085," Oloff Larsson huggat wredz, men hackaskytten hadhe icke weter yxen låtha föllia honom, uthan sagt, man skole tigh finske hunder medz denne yxan halshugge Denna Saken emellan Simon Larsson och hacka skyt"
6,Kexholm,0084_0086,"es huuss, och sagt till henne: Tin hoora gack och hämpt åt migh watn till at tricka, deruppå hennes Man Sifwo Jörren swarat, hwarför skiällen du henne för hoor, hon är min Echta hustru, och strax hadhe m"
7,Kexholm,0085_0087,"dhe, at ingen under hadhe wa rit den tydhen i Stugun när Swaranden henne biäldh hadhe än som hennes man och Bondhen ifrån Alonitz Nefwo Isakoff. Der emot sadhe Swarandhen at Stugun hadhe warit full medh "
8,Kexholm,0085_0087,dhe Swarandhen at Stugun hadhe warit full medh folck. Rätten imponerade honom at förskaffa sigh Sex Man som honom igenom der Eedh befrija skola och Nämbna dhem. Sedan förfordrades hennes Man Sifwo Jöns o
9,Kexholm,0085_0087,"ffa sigh Sex Man som honom igenom der Eedh befrija skola och Nämbna dhem. Sedan förfordrades hennes Man Sifwo Jöns och tillspordhes honom, hwar för han sin hustru wille förstöta. der på han swaradhe, att"
10,Kexholm,0087_0089,"så begiärar Swaran- den och af honom 2 D. för brändewiens kannen om der nu sellies. uthslagh Effter man infetz befinner at Miska Kano- noff förhögrer sin Thom: Rogh, effter nu gåån de kiöp på 10 D. K.M:t"
11,Kexholm,0087_0089,"ner at Miska Kano- noff förhögrer sin Thom: Rogh, effter nu gåån de kiöp på 10 D. K.M:tt, altså kan man och icke negera Swarandhen för sin Brändewijns kanne 2 D. blifwer altså kussma Heick åt Miska kanor"
12,Kexholm,0089_0091,"ffta sigh lagt, hadhe han den Kähr som brändewins dra¬ ken innewar fast giort, men ingen Eldh hadhe man samma gången seedt: som min dhet hade begynt at brinna, wore Corporalen till lijka medh Sallinnan u"
13,Kexholm,0097_0099,"innes, dy afsades att hon Seders ald register skall öfr- lefwereras till H:r Franken ock ahntaga en man som sådant opfodrar, och sädan hon srancken som andre bekomma der sin betalningh. D 4. Februarij hö"
14,Kexholm,0100_0102,"Jatinen, Johan Månsson och Jacob Greelßon. Johan Philipßon Hämmelain aflade sin Borgelige Eedh, och man denne Stadz Burskap. H:r Mårten Georgii och H:r Andreas Jacobi ahn gående någre förflutne ordh och "
15,Kexholm,0102_0104,"ia pastorat uppbyggia, men blefwo då af honom icke tillåtne, uthan sade wilia byggia för sigh sielf man huuss upp, och icke begiära någon hynes derfört alt så wille de intet wijdare af denne Kyrkioheerde"
16,Kexholm,0102_0104," som nästförledne Rådhstugu tillstädes wore. Framlades en Såldtade Enk inkallzabet Olufzdotter, deß man arfwidh Turuinen benämbd, uthi Krigz rupturen Ao 658 om winteren uthi Kaijana fengelße, dell hafwa "
17,Kexholm,0102_0104,"ch dher öfr för detta hafrupptedt kyrkioheerde i Randsolms Sochn H:r Anders betahl att be:te hennes man som förejähriffwit är, ehall wara aflijcken /: hwilken sigh för 3 åhr sällan af een ogifft Såldat B"
18,Kexholm,0103_0105,"Arende som Sal: Borgmestr Casper Bröms Enkia befinnes skyldigh wara; Så emädan effter den Sal. onär man någre Larß ähra, hwar medh gielden kunde betalas icke befinnes utan allenast den Ehne nästan förfal"
19,Kexholm,0106_0108,"uthan att han, skepparen, hafwer och honom uppehållin blifwin hwar uppå han till witne hade Een båd man, hwilken berättade alt warit färdigt Esse berade, doch lijkwäll effter hanß betyg icke giorde till "
20,Kexholm,0108_0110,"r och bety= gar, men ahnbelangande gårdzens wärcke dhe ofwan bemelte ofwan bemelte 30 RDr så hafwer man ingen effterrättelse nu för tijden, huruledes han för sålder åhr, för ährman wissare besyhendh och "
21,Kexholm,0108_0110,"hrman wissare besyhendh och dhe dher tillhörande reqvisita kan sig in hempta, uthan det allenast :/ man weet Stadz skrifwaren för detta wäll:tt Erich Arfwedson Litzen, skulle honom hafwa bekommit och såd"
22,Kexholm,0108_0110,"på Rådhstugan. ey rehollveres att förbe:te Mons:r Jöran Klein skulle blifwa medh första beheedh som man kunde afhempta ifrån förra Stadz, schrifwaren wäll:tt Erich Arwijdson litzen, underrättat, och till"
23,Kexholm,0116_0118,"t hafwer giort är samma frä aff wädret dijt åthfallit, som Mårt undom gick, och honom påfallet, att man dubiter om hans återfångh till helsan igen. Nuemedan man grannerligen af denne Kainulain förspa haf"
24,Kexholm,0116_0118,"m Mårt undom gick, och honom påfallet, att man dubiter om hans återfångh till helsan igen. Nuemedan man grannerligen af denne Kainulain förspa hafwer, om han sådant ex emposito, eller dett elliest fortui"
25,Kexholm,0116_0118,"ne Kainulain förspa hafwer, om han sådant ex emposito, eller dett elliest fortuito ohrdt är; så kan man dhet icke under- komma, effter dhe sig emellan goda wänner war, hafwa, och ingen twist eller trätta"
26,Kexholm,0120_0122,"rick ogilius dresterat, förmälandes om det confiscerade godzet honom i förledne höst ifråntogz, att man honom dher uthinnan dett rättmätigheeten lijkt wore, wille wederfahras låta /hwarföre/: Oansedt han"
27,Kexholm,0120_0122,"et H: ledes hans häst är uppå Sawihauto, för 3 weckor hade läggen uthi Länden wijd swantzen således man intet för- penings kan hafwa, att hon för bättras kan, och emedan be:te Clemmet Matzon hafwer strax"
28,Kexholm,0121_0123,"sa wille ytter mehra in action 2:do att han honom så at sijne medel förringat hafwer, att ingen ähr man man, kan fördrist at blifwa honom något att Creditera här på begierte Postmestaren att han wille ho"
29,Kexholm,0121_0123,"ille ytter mehra in action 2:do att han honom så at sijne medel förringat hafwer, att ingen ähr man man, kan fördrist at blifwa honom något att Creditera här på begierte Postmestaren att han wille honom "
30,Kexholm,0124_0126,"e Herman von Bärghausen, att giöra sin bekennelße, huru= lunda emellan be:te Öfwerstk: och Capitein Man= hafftigh Leonardt Anmäller, med deras rixis och Controversys sigh förhållet och aflupet hafwer: al"
31,Kexholm,0129_0131,"ierade hans gieldz book, att see, ahngående den nästförgående actum, sade Freßen, rag är en ährligh man, hwarföre skall iagh oppter min bok? Oansedh man bödh honom medh beskendh swara, och ahr medh något"
32,Kexholm,0129_0131,"ästförgående actum, sade Freßen, rag är en ährligh man, hwarföre skall iagh oppter min bok? Oansedh man bödh honom medh beskendh swara, och ahr medh något stoort liudh och min bruuk. Framhafdes Matthias "
33,Kexholm,0131_0133," swarade henne dhet giör hafwa, medh sådant benhendh till dess du bewijsar nigh wara hoora, och min man nu hanereij. Leut: Hinrich Johanßon befienner sigh intet an- och hafwa hördt, uthan om Söndagen när"
34,Kexholm,0131_0133,"rich läster gångit på Gården och på gatun och skiäldt Erich Olufsson för skiälm, hanereij och horas man. Under dorgen der effter hafwer han sändt Thomas Carlsson till düster, och låtet fråga, om han düst"
35,Kexholm,0134_0136," lijnwäfwarens hustru, hwilken sägad sigh icke hafwa sådant sagt hooß Pentmästaren uthan att hennes man skulle kommit igenom Rinporten, och wille doch lijdwäll icke stå sin ordh som hon fält hafwer, hwar"
36,Kexholm,0137_0139,"rat är; Altså dömmes Simon Larßon och An- chila lefwerha den ene tunna Salt för dhen skade dhe Råd= man een tillfogat hafwa, att refundera, och Saltet wärder a 16 Dr köpm:t t:r Men dhe 2 tunnor Salt dhe "
37,Kexholm,0137_0139,"tter Hackarains Enkia, att hon betala skulle dhe resterande pgr som wore af dhen findh, hennes Sal- Man Man af Miska Cananoff andra Rupturen funnit hafwer. Såsom Retten befinner att Petter Hackarains Enk"
38,Kexholm,0137_0139," Hackarains Enkia, att hon betala skulle dhe resterande pgr som wore af dhen findh, hennes Sal- Man Man af Miska Cananoff andra Rupturen funnit hafwer. Såsom Retten befinner att Petter Hackarains Enkia a"
39,Kexholm,0137_0139,"dh honom i Ächtenskapkom theet medh honom bekommit uthan allenast att barn ten bodh som hennes Sal: Man opphuggit hafwer. dij kan Retten medh fogh eij effterlåta att Enkian obligres ehr till befallningh,"
40,Kexholm,0139_0141,"r Poste betalt honom. N:o 36 Dito Ahngaff Johan Simonsson sigh att blifwa Borgare här i Kexholm och Man denne Stadz Burschap D 15 Julij wijd ord: Rådsturudagh i Närwaru Borgm:n Nils Olufsson, såpt Rådman"
41,Kexholm,0139_0141,"m Freße, Johan Månßon, Jacob Grelßon, Matz Jatinen, Mattz Michelßon Lars Larsson Tillsattes Oppsyns Man, som Kongl: Maijttz Stadga uthi kläde drächterne uppwachta skulle, och der uthinnan cesserne tillke"
42,Kexholm,0142_0144,"borgaren, att stella borgan för sigh, om des man af dhen Kongl. Hofrätt kan swär afwachta, och sä- dan sigh wijdare på Borgmest och Rådz Citation hä"
43,Kexholm,0143_0145,"ne Retter sökia, icke må klaga sigh rät- hööße, altså ahnmodar Hr Landzhöfdingen, dhet dhe- en wiss man interim förordna som directionen haf- föhr; Altså ehrkänna och till sättia sampteligande det Ehrbar"
