,parent,file,context
0,Kexholm,0074_0076, Detta wara sålundz..arat och afdömbt wittnes medh Stadzens Pro och egen händerß Subscription Datum Kexholms Rådhstugu d 24 Jan: 1661 Caspar Grönink Christian Heckerman Chrij: Civ: Kexholm: 79 Käxholms Stadz
1,Kexholm,0074_0076,Subscription Datum Kexholms Rådhstugu d 24 Jan: 1661 Caspar Grönink Christian Heckerman Chrij: Civ: Kexholm: 79 Käxholms Stadz doombook för åhr 1661. inkom medh ordin. posten den 6. Martij 1662
2,Kexholm,0076_0078," pantet blef han effter dett 23. Cap: Edzörs Balcken stell ro m:r Sölfwer M:tt affstraffat P. R. W. Kexholms Stadz Protocol ifrån den 6 Jan til den 2 Martij förwäles B. R. confererat, då intet an nat än civi"
3,Kexholm,0080_0082,"Dett wara fålueda passerat och afdömbt, wittnes ?? adzens secret och egen handz subscrip= sio ?? um Kexholms Rådhstugu de 19. Feb: Anno 1662. Borgemestar och Rådh In fidem scripsit & sub= scripsit Christian "
4,Kexholm,0080_0082,nno 1662. Borgemestar och Rådh In fidem scripsit & sub= scripsit Christian Heekker medh ferig: Civ: Kexholmia
5,Kexholm,0086_0088,"hafua kiöpt lädien af Lars Pijrhonen för 120 D. K. M:t och Larss Pyrhonen skole skaffa Skatten in i Kexholms hampn. Dito framstelte Larss Pyrhonen sin Contra Wittens, Christer Matzson ifrån Pijrhonen nämi, s"
6,Kexholm,0093_0095,"es passerat och afdömbtwara witner medh egen handh och Stadzens Insegel Christian Herker Gony: Civ: Kexholm den 14. Maij fol. 4 dömes en til böter för skälsord, uthan then beskyltes befrijande. den sidste Ju"
7,Kexholm,0094_0096,Kexholms Stadz Och Rådstugu Protocoll Pro Anno 1663 anham med ordin. postom och i den Kongl. Rätt inlefrera
8,Kexholm,0101_0103,"e henne, wiste att fordra; Blef för den, till af Rådet intygat att wijdh arffskifftningen som här i Kexholm skedde, skull först Sal: Sa, hans Broder Mårten winter Ifrån Wyborg hafwa warit tillstädes och såle"
9,Kexholm,0103_0105," mäns. Publicerades alt hwadh till Staden ifrån handlat bringes att försällias, skall till Sahlu på Kexholms tagh in brun- gas, wedh saak som Emotbryter :/40 m:r. Och tillsättas borgarens Anders Simonsson Li"
10,Kexholm,0106_0108,"dstugu att han ähn wå flere witnen framtee måste. Dito Förestelte Bårgmäster Råd, Bårgenschepe uthi Kexholm om Laxfisket uthi Strömmen, hwilket dem till nytta uthaf Cronan i 6 åhrs tijdh förlänt är, att Bruk"
11,Kexholm,0106_0108,"lsson Johan Månsson Emedan såsom Borgare uthi Byen Mårten Rätte hafwer hijt ehrickat sin, kula till Kexholm medh fyra läster Salt att försällias, hwilken samma jehuta ahnkom, och här fördröijgde ef:r Båtzman"
12,Kexholm,0107_0109,"l Sårdawalla så må du det försällia i wägen. Wijdare här om berättandes framsteg. Borgarne hon uthi Kexholm, Cußmo Erich, och Cußmo Heike, hwilke dijt till förbe:te hampn ryska för handewore samma Skuta att "
13,Kexholm,0108_0110,"ter och Rådh. Ähn höllwäll:tt Befallningzmannen för detta Mathias Allemius att blifwa adtesterat om Kexholms stoore Laxfiske, huruledes det uthi Öde legat hafwer sade rupturen, scheendde och effter wij det h"
14,Kexholm,0109_0111,"swarade, sigh att blifwit här i Kexholm för hyrt af Mårten Retta för Styrman till Sårdawalla och blef beliggiande här uthi Lampnen i 8 daga"
15,Kexholm,0110_0112,"nsakat och affdömbt wittnar och betygar under schreffwen medh egen handh och Stadzens Sigill. Actum Kexholm ut supra, Anni ejus elemq. Gabriel Hinnelius Civit: Kexh: Secreterne Kexholms Rådhstugudag Protocol"
16,Kexholm,0110_0112,"Stadzens Sigill. Actum Kexholm ut supra, Anni ejus elemq. Gabriel Hinnelius Civit: Kexh: Secreterne Kexholms Rådhstugudag Protocoll pro Anno 1664. lRviderad af Andrea Krok let feel befinnes allenast at uti e"
17,Kexholm,0114_0116,"örpantat hafwr Dito föraccorderades medh byggemestaren Johan Carelain, att han skulle kyrkian här i Kexholm uppbyggia, alldeles färdigh medh spånat taak och korn, golff, och hwadh mehra dess behör wore, anna"
18,Kexholm,0117_0119," närwarande Borgn mester och Rådh. Publicerades, att aff hwar mansperson, som i gården funnes här i Kexholm och Sickoniemj schulle gifwa 100 Spån till kyrkiones bek- ningh. Dito. Förehafdes Borgarne, medh fr"
19,Kexholm,0122_0124,":r Landzhöfdingen, sampt Borgmestre och Rådh Föredrogh Wällb:de Hr Landzhöfdingen Borgerskapet uthi Kexholm, dhen förre Seedhwahnan och ordningen, nembla om Wachthåldningen på Cronones befästningh, som dhe t"
20,Kexholm,0123_0125,"tt blifwa bewittnat, huruledes han för rupturen, lofwer hooß en Rysse Tåhrron twän när han här uthi Kexholm bodde, pansatt twenne sölffuheedar den ene förgylt, wägandes sex loodh, och den ände fem loodh, för"
21,Kexholm,0123_0125,"atzon med tillbudin Eeed, som samma, och redan be:te Ryße tillbracht hafwer, hwilkens wittne wa- af Kexholms Rådstugu, hafwa welat här medh medh deela. 7 16 Dito wijd ord: Rådstugu, närwarande på Wälb:n h La"
22,Kexholm,0125_0127,"dömbt, wittnar underskref- wen medh Stadzens Sigill och egen ståndh; Gabriel Hinnels Süderman Stadh Kexholms dombook pro A:o 1665 i den kongl Rätt in lefwn den 3. Februarij 124"
23,Kexholm,0127_0129,"an han förskrifwer sigh till d 16 Julij ejus Anni, uppå sin egen omkostnadt och äfwentyr, dett Uthi Kexholm lefwerera; Men emedan sådant icke effter kommet är, hafwer Rentmästaren begiert Arrest till afrächn"
24,Kexholm,0133_0135,"rulund Simon Larsson, och Mikita Larsson Lewacka, äro och f:r Rådman frachtade ifrå Nyenskantz till Kexholm, hampn, medh 33 t:r Salt, hwarmedh dher äro hijttel Kexholm ahnkomne, och uthom någors förloff och "
25,Kexholm,0133_0135,"r Rådman frachtade ifrå Nyenskantz till Kexholm, hampn, medh 33 t:r Salt, hwarmedh dher äro hijttel Kexholm ahnkomne, och uthom någors förloff och Consens, sigh med b:te Salt till Kurkijocki begifwit och 2 t"
26,Kexholm,0133_0135,"allningh, Oansedt han dhem i fracht 16 ör Kopr m:tt till lagt hafwer för hartunna, när dhe hit till Kexholms hampn komma skulle; hwarföre prætenderer b:r Rådman dher uppå, att honom mått hans Salt restituera"
27,Kexholm,0135_0137,"ßon, Michel Düster, Johan Månsson Jacob Grelsson, Matz Jatinen, Framkom Simon Cantzon, Borgare uthi Kexholm, opp= iudandes sin gård belägen här uthi Kexholm wid Lille trömmen på Södre Sijdan, att emädan han "
28,Kexholm,0135_0137," Matz Jatinen, Framkom Simon Cantzon, Borgare uthi Kexholm, opp= iudandes sin gård belägen här uthi Kexholm wid Lille trömmen på Södre Sijdan, att emädan han honom ce Skräddaren konstryke M:r Erich Nyläningh"
29,Kexholm,0135_0137,"gen, föregifwandes hurulunda han hafwer frach at Borgaren Simon Larßon, och Michita Lewoska, hit in Kexholms hampn, medh 33 t:r Salt, och dem i fracht swar kunna lofwat 16 öre K. M:tt hwilken är dhe in hampn"
30,Kexholm,0137_0139,"ichtas dher igen restitule der emot han dhem sin fracht effter Contractet, först ifrå Spenwänt till Kexholm och sädan ifrån Kurkijocki och till Kexholm ehrläggia böör. No. 25. Dito Inlade Simon Larsson en rä"
31,Kexholm,0137_0139," sin fracht effter Contractet, först ifrå Spenwänt till Kexholm och sädan ifrån Kurkijocki och till Kexholm ehrläggia böör. No. 25. Dito Inlade Simon Larsson en räckningh uppå nå gre Partzeler, som Henrich J"
32,Kexholm,0138_0140,"arne hafwa tagit mit godz, när Hr Mårten hafr fråget hwart han här hatt sitt godz när han här ifrån Kexholm reeste? hwilket han sielff Ondri Ryßen, och tillstoodh Framhafdes ähn yster mehra Cappelanen, H:r J"
33,Kexholm,0139_0141," andre hafwer Poste betalt honom. N:o 36 Dito Ahngaff Johan Simonsson sigh att blifwa Borgare här i Kexholm och Man denne Stadz Burschap D 15 Julij wijd ord: Rådsturudagh i Närwaru Borgm:n Nils Olufsson, såp"
34,Kexholm,0141_0143,"endh för sitt ehrefne breeff; hwarp han swarar sigh hafwa för någre werkar sädan in förskickat till Kexholm ifrån Sårdewalla sin hustru, hwilken skulle hooß Wällb:ne H:r Landzhöfdin gen ähn hålla, att hon sk"
35,Kexholm,0142_0144,":tt Niels Olufson krint, att kunna blifwa ehrledigat och Dimitterat ifrån Borgmest schapet han uthi Kexholm, effter det intet annat ähn honom till för sin der uthi Andre Cronones tienst wore, och altså för s"
36,Kexholm,0144_0146,"a, nämbl. att om han för Rådhnan- ns Michell Düster skull, skulle fleregångor för orsakas hijt till Kexholm att reesa då Måtte Rådmannen wara för nat honom all hinder och skada refundera, dher han den uthfäs"
37,Kexholm,0145_0147,"Rådat han uthi Kexholm,  atti godt betänckiande, hwem och huruledes dhe måtte någon till Borgmästare bekomma effter dher i"
38,Kexholm,0145_0147,"enphantz eher hans we- er hafwerlåtit förbiuda, effter dhet att handt köp wore, i dess Retten ifrån Kexholm dher om Delibererade nar uppå framhafdes Bonden Hinrich Pirroinen ned tillfrågan, huruledes han til"
39,Kexholm,0148_0150," sigh af 24 ℔ smör, sampt någre andre Part- ler öfr rächningens uthwijsande, som Grabben honom är i Kexholm tillsade, och i Sordewalla tin att lefwe- ma, hwar på Meijer honom strax pgrne honom öfwer lefwerer"
40,Kexholm,0154_0156,"Register öfwer 665 åhrs Kexholms Rådstugu protocoll, war uthinnan observeras Åkärendens ampa stå främpst, hwar uthaffman waranden s"
41,Kexholm,0156_0158,Kexholms Stads Rådstufwå protocol Pro Anno 1666 ankom med ordinarie posten den 30 Januarij Ao. 1667
42,Kexholm,0161_0163,"ill wangersen försåldt hafwer i som och säges hästen warit något gammal- hwilken bekennelse är uppå Kexholms Rådstugan ahedd, och sanningen till befrängelse mehrb:te Rijte borgare meddeelt, och med Stadzens "
43,Kexholm,0162_0164,"r giöra weelat; detta Attestatum är på Rättens wägnar och effter Ryßens begieran b:te Inspector aff Kexholms Rådstugu meddeelt wordet. N:o 16 Dito dömbdes Matt Lappwertulain effter egen bekännelse, att betal"
44,Kexholm,0170_0172,"ch deras klagan med dem uthföhra. N:o 40. Enär ordinarie Rådstugudag höltz d: 29 Aug. åhr 1666 uthi Kexholm, närwarande Cronones Befallning om Wäll:tt Nilß Olufson, sittiandes uthi wällb:ne Hr Landzhöfdingen"
45,Kexholm,0183_0185,Kexholms Stadz Rådstugu Protocoll pro A:o 1667 Præsenterat i Kexholms Stadh d. 28 Jan. 668.
46,Kexholm,0183_0185,Kexholms Stadz Rådstugu Protocoll pro A:o 1667 Præsenterat i Kexholms Stadh d. 28 Jan. 668.
47,Kexholm,0186_0188,"ån Sordawalla Jöran Mäyer hafr annammat honom 2 st:r hattar, uthi sin Släde, att fortföhr ligt till Kexholm, denna a 2½ RDr in specie och den andra å 1 RDr inspectie, hwilken han uti 1½ åhrs tijd brukat hafr"
48,Kexholm,0187_0189,"gt begieran uppå hwadh dag Assessore Oll: Jacobin Lewensadt är igenom den funnelige döden, här uthi Kexholm, och rången altså hafr man H:r Secret, billige ähr sökning tillställie, detta nu¬ errättat weela at"
49,Kexholm,0187_0189,"ch sådant till mehra riffte, att sådant i sanningar, medh Stadzens sigill bekräfftat Actum ut Supra Kexholm."
50,Kexholm,0191_0193," huruledes det wore honom före bracht af Soldaten Erich Malljanen som uthi Krigzrätten hållen här i Kexholm d 13 Maij 6to we bekiändt, att Johan Matzon /: som för ett ähr sijdan war uthi Wälb:de H:r Landzhöf"
51,Kexholm,0194_0196," dhedde :/ framhafwes ähr han der uth innan för Tobaket och öhlet som som han wårdzlöst här hemma i Kexholm handterat hafr, är till dömbder att betala. Der wenne Räfahinnan och halfwa booskin net som Johan M"
52,Kexholm,0198_0200,"et der med Stuckat. N:o 31 Samma gång ahndrog Johan Gröön uthi rätten huruledes Borgerschapet här i Kexholm, efr des obligations"
53,Kexholm,0201_0203,"blingen i Nyen H:r Mårten Pre- lefwererat /: ähn gående betalningen för den tor- Rentmästaren här i Kexholm liggiandes hafr och nu der på bygdt och boor :/ och han, Preemen ehr Contract här i Kexholm emottag"
54,Kexholm,0201_0203,"n här i Kexholm liggiandes hafr och nu der på bygdt och boor :/ och han, Preemen ehr Contract här i Kexholm emottaga, schulle, och Hans Mortomӕer och Postmästaren Jochim Freße : rfr Martoners bekennelse :/ e"
55,Kexholm,0201_0203,"are bescheed; eller der hon inga andre del hade? det då b:te pgr, måtte uppå hans edh den han här i Kexholm hade, protocolle= rat blifwa, hwilka till 128 Dr Km:tt eller ölse m:tt 42 2/3 Dr belööpa. Swaranden"
56,Kexholm,0201_0203,"t hafr, begierer tielff godwilligen att Rentemästaren wille wäll giöra, och interim hanß gård här i Kexholm, i underpant taga, till d 8 Septembris, då han 6: pgr i Rätten en lefwerera will, och honom då Pant"
57,Kexholm,0202_0204,"ein Ratz Hr allhier, Jacob Grelson auf Miska Cananoff Laut obligation, dat: d 15 Febr: 667 Kexholm: auff 33⅓ Dr S:m:tt so sie an Hr Hans Schmitt auch Petter Torstenßon som schuldig gebligen, als näm"
58,Kexholm,0205_0207,"nner Jöran Heike sigh hafwa warit och huuken för frachtadt medh 20 tunnor Salt ifrån Nyen hijt till Kexholm, hwarföre honom wore lofwet i Fracht 12 Dr och 16 öre Km:tt och Men derföre, ähnu wägen befallningh"
59,Kexholm,0205_0207," uthi hampnen legat till dess Casper Martin son. Swåger frukens order bekommit, att han b:te Rog; i Kexholm, försällja och uthcheppa skulle, hwarföre tilldömmes Schepparen Jöran hacke der 50 Dr kom- som han "
60,Kexholm,0212_0214,Kexholms Stadz Rådstugu Proto= coll Pro Anno 1668 ankom den 31. Januar Anno 1669
61,Kexholm,0214_0216," nämbl: dett war med Wermans willia och wettnhop till kommet att tobaks som ifrån Narfwen hijt till Kexholms lähn inkom, hwilket Compagniet icke tilhörde, wara förbij gånget :/ med oppgifwin Eedh sig purgera"
62,Kexholm,0221_0223,"es, Jacob Brusison oppå 124 D:r 4 ör Kmt: wed interesse, som Rächningen uthwijsar dat: 2 Martij 668 Kexholm Jacob Brusison neekar intet till gielden kenner att han A.o 1663 d: 9 Augusti uthi en bekommit hafr"
63,Kexholm,0225_0227,"ia b:te ahnfordra ehrläggia i Nyen. Käranden begierar att Smöret skall här i Rep betalas, efr han å Kexholm hafr Saltet emottagit uthaff ofwanstående Summa afföres 8 Dlr Km:tt som lijhn på betalt hafr. och b"
64,Kexholm,0225_0227,"så dömmes han sådant betala afr det 16 Dr I Rådst: B. och lijkmätigt All de penningarne ehrläggia i Kexholm, och Se ret uthi Nyen d 15 Aug: weed ord: Rådstugudag, närwa= rande uthi Wällb:ne Herr Landzhöfding"
65,Kexholm,0228_0230,"l. i dem der arresterade sakerne löößgifwa, der med der kom- till att reesa sin wäg hem igen. Actum Kexholm d 20 Novembris A:o 1668. Patrick Ogilvie No. 31 Dito framkom Borgaren Hinrich Krijdz gå wandes till"
66,Kexholm,0231_0233,"Kexholms Stadz Rådstugu Protocoll Pro Anno 1669. Ankom den 31 Januarij, A:o 1670"
67,Kexholm,0238_0240,"kall uthom hennes förlof, så wäl som sin egen faders; hafwa förbytt anhäst till ne Glaßmästare uthi Kexholm Peter Andersson 237"
68,Kexholm,0239_0241,"richßon opå 50 Dr Km:tt att twamma af Jöra Olkonen ifrån Pexemä Sochn för ett hästköp, giordt här i Kexholm d 26 Martij 1669; Och såsom Tilikain intet hafwer bekommit af fäst Olkonen förmedelst hans fattigdo"
69,Kexholm,0243_0245,"27. Dito begierade Räntmästaren Zacharias sson, att bekomma Stadzens fästa uthöfwer sin gårdh här i Kexholm belägen; willjandes der till medh oppter Kongl. bref oppå samma gåordh, som till förende der å gifw"
70,Kexholm,0245_0247,"t Attestatum om dett be i sanning wore, att hans fader broder samt fär- en hade warit Borgare här i Kexholm, på 5 åhr ingiörande för rupturen 656, och huru han wardt hiälslagen på allmeninge wägen 655. om Wi"
71,Kexholm,0247_0249,"till befallning, för der försträd- medell han den till Kongl. hofrätz Commissarier förtäring, här i Kexholm, uthi påstående action undsatt hafr; och af h.te Rätte uthi samma actio intresserat war hafwer dher"
72,Kexholm,0248_0250,"lagandes öfwer Rådhman Johan Månßon, och han uthi rupturen och effter den Ryske belägringar Hus wed Kexholm; hafwr funnet en häst tillijka nu Rådhmannen, hwilken effter den tijden, aldrigar effterfrågat blef"
73,Kexholm,0249_0251,"pman och tagit i betallning 7 ℔ 9 mk:r Tobak i små Rullan hwilket tobak der hafwa sådane hijt innat Kexholm bracht, och satt dett uthi Pyhäjärfwi Sochn qwar han en bonde Simon Pärsinen b. och der sijdan drog"
74,Kexholm,0249_0251,"n b. och der sijdan droge ferdt intill Staden; Sådan opplagde Grelß Larßon twänne borgone här ifrån Kexholm benämde, Nils Nolfwi och Grelßon som sådant hafwa heike afhämptat; Men hwart dee Tobaket sådan hafw"
75,Kexholm,0250_0252," til nehra wiste uthi Stadzens Protocoll inteknat blef; och ofwanb:te amptz förwalter meddeel Actum Kexholms Rådstugu ut supra. d 11 octobrij weed ord: Rådstugu dag, närwaro Borgmester och Rådh No. 48. Framk"
76,Kexholm,0250_0252,"Lundh I- Nyen som war Inspectorens fullmächtige och med hans enhens hafft frijtt dett Tobaket här i Kexholm om sällja, effter compagniet då icke något Engelskt hade; reverserandes sig på 14 dagar weed hinder"
77,Kexholm,0253_0255,"6 Dr Km:tt för dett han hafwr nödgas sin dräng, med dee Documenter som till sakens uthförende hus i Kexholm betarfandes, med Hinrich Wildman, afplicka. ytterst begiäran- des för denne sin reesa 26 Drkm:tt så"
