,parent,file,context
0,Kexholm,0068_0070,"fererade Borgmestare och Rådh, då icke heller något accrades förmedelst Stadzskrifwaren absentia år Narfwen, att hempta sin hustru hijt. Anno 1659 d. 12. Novemb: afladhe Philip Hindrichsson sin Borgerligh Ee"
1,Kexholm,0099_0101,"hwäll 6:de Simon Brundel Helenfelt, bref till Landzhöfdingen Wäll:te Peter Ogillvie dresserat, dat: Narfwen d. 20 feb: 663, dhen uthinnan h:s Excelltz recommender förra Stadh skrifwar Christian Heeter, till "
2,Kexholm,0100_0102," eij wände, mehra ähn att han dher oppå skall något betalt hafwa. För Borgmästarens hafde omak till Narfwen att uthi skaffa förijdarens Thomas Sigfrijdssons fullmacht, till- sade Rådst honom af Stadzens uppb"
3,Kexholm,0101_0103,"ff betächte äro, och hwilke finna Ogille skole blifwa nederrijfne. Inledes Jurgen kleins breff Dat: Narfwen d 9 huius och Rätten upplästes, hwaruthinnan han begierte underrättelse hwarest eller hooß hwem han"
4,Kexholm,0101_0103,"verneurens, högwällborne Simon Grundh Helmfeltz breeff, derifwit till wällbne Landzhöfdingen, Datum Narfwen d. 6 Aprilis innewarande åhr af förmälan, det Borgen, hapet skulle tillhållas att afbetala kyrkiohe"
5,Kexholm,0153_0155,"och bestodh Rådet och Staden nom af Stadhers medel till reestpeninge trättijo K:M:t och hwar icke i Narfwen denne gången K:M:tt och från icke illerfwen. kunde något Kongl: 11 ta, tychtes den Rådeligist wara "
6,Kexholm,0161_0163,"rt reesa penningarne som Staden uthlöf- wat hafwa till deras fullmächtige i Cronones ähren der till Narfwen, hwilket ähre skulle den 30 Maij, effter H:s Excelltz H:r Gen: Gouverneurens order d 28 Aprilis wed"
7,Kexholm,0163_0165,"ne fullmächtige såsom Borgmästaren med en Rådman, till d 30 Maij i Cronones ährender ofeelbart uthi Narfwen instella skole, hwilken saak bleff Borgerskapet föredragen och till spord, om dher förnögde wore, m"
8,Kexholm,0163_0165,"dragen och till spord, om dher förnögde wore, med dett Borgmästaren och Rådmannen på deras wägnar i Narfwen uthrätta kunde /: efr dher pläga, sädan något beslutit blifwer e fart af dem säya sig intet der af "
9,Kexholm,0163_0165,"cemb 665, när dher Rådslogh medh borgerskapet uppe i Rådstugun, hwilken som skulle förschickas till Narfwen att ??ämpta Borgmästarens fullmacht: Altså bekende Rådet sampteligen, dett der begiärade att Borgmä"
10,Kexholm,0165_0167,mächtige såsom Borg= mästaren och Rådmannen å Stadzens wägnar hafwa effter Cronones befallning till Narfwen warit och afhördt hwad uppå h: Kongl:ge Maijt:s wägnar på budit bleff; Altså effter sådant till h:r
11,Kexholm,0171_0173," reesepar såsom een lofwat war och Borgerskapet när der för dhefne wore uthi Stadzens ährender till Narfwen att inkomma, och hwar dhe icke medh röda sådant contentera wille, skulle Wällb:de H:r Landzhöfdinge"
