,file,context
0,0111_0113,"Nielß Oluffzon, och Rådhmannen Erich Simonßon, Michell düster Matz Jatinen Frankom Cronbonden ifrån Tiurula Heike Pir- roihnen klagandes ähn Borgarne. Weelmatti Sippi, att han tillijka medh Sijkar Dementson "
1,0238_0240,"adhens gömmo ichi 6 dygn, effter d. 35 Cap: I Rådhstugu B. N:o 13 Samma gång framkom en bonde ifrån Tiurula Staphan Thari b.d inläggiandes uthi Rätten ett bref af Wällb:de Hebla Birkholtz daterat. Mustala d "
2,0245_0247,"r hwad iag förmå; nu straffet förwissade wara. No. 35. dito framkom för Rätten Ryttare bonden ifrån Tiurula Sochn och Lopsela by, Anders Simonson Lannukain; begiärandes ett Attestatum om dett be i sanning wo"
3,0274_0276,"sampt Borgmeste och Rådh. No. 24 Samma gång framkom Eskil Hin richsson framhafwandes en bonde ifrån Tiurula fring Simon son Toiwiain, som hade i för- dne åhr 669 warit med ei Stocholm, och een helfftunnan ba"
4,0299_0301,"wanom sin Eedh aflade. Dennegång sade Staphan sig intet hafwa emot dennes ?? att säija. bonde ifrån Tiurula Söfring Toifwon inkallades att gifwa underrättellse om ??, halftunnan som han hade bandet, som - i "
5,0308_0310,"ed sin wederdeeloman och Swåger bor- garen Sigfrijd Matzon, och framhade altså först en bonde ifrån Tiurula b: Peter Hannikain, som med honom lagh gå skulle; Hwarföre och Rätten be- gierte af borgaren Sigfri"
6,0309_0311,"war en deeligh och boofast man och In Grefl: Excell:tz de Thure Oxenstiernas landbonde- bonde ifrån Tiurula och Öfwerstl. Bockz land under, Heike Safwolain 6: emot hwilken Sigfrid wände att han wore honom nå"
7,0309_0311,"nade och borgaren Hinrich Wildman han wore en from och stilla karl, ährlig och boo- st: hwilket och Tiurula Nämbdemän bewittnade, som nu tillstädes wore. Sådan framstegh en bonde, Larß Paxojalka b:d emot ril"
8,0312_0314,"och icke meen, så sant mig gudh pe till Lijff och Siäl. giärdzmännerne som wore, Nämbdemännen Ifrån Tiurula, Larß Jaakonen, Olla ijlienen, Peter Hannukain Heike Karkain, Eskill Parrika icke Safrolain Michell"
9,0318_0320,"n säger sig alldrig hafwa giordt: 4:de säger Wildenne att när han war reestärdig med broofougden in Tiurula, hafr han Ståndit på gården wed brofougden, och hans hustro suttit på bortare tröskolen"
10,0324_0326,"blifr dett enamot dett andra, i detta måhlet opphufwit och slutit N: 28 Dito framkom en bonde ifrån Tiurula, Peter un- son, och kärde till borgaren Henrich Wildman att han wore honom skyldig 14 Dr 22 öre kom"
11,0350_0352,"med handen ifrångolfwet af märkte :/ af en alns högd, wara godz inlå- dem 17 nu han till en bonde i Tiurula Pogost, Johan Musika b:d, brachte, och badh honom dem på relß Erichsons wägnar förwara, såsatt inge"
12,0374_0376,"rom skickat till Samuel Pärson eller hans döttrar såsom bonden Johan Musika, uthi häredz tin- get I Tiurula hade bekändt :/ att der skulle komma och borttaga b:te Tobakz säcker, som der till Johan Musika, öf"
13,0388_0390," intet at bewina. Samma gångh producerade Hindrich Heydz sine witnen, som war först een bonde ifrån Tiurula öfwerfl: Bookz Lar hoos Matz Wijsawainen hwilcken uti Eedstadh bekiende, att han Något lijtet effte"
14,0483_0485,"h förföre diga, öfwer hwad han hade å landet? Johan Purichoinen Inlade häradzRättens af skeed ifrån Tiurula Tingställe, hwar uthi befans att Henrich och Johan Puhoinen hade sig emellan om wåhren 677 deelt oc"
15,0494_0496,", han wille wäll få Råd sädan effter. uti oppwijste Johan Piresoin ett laga bewijs af Tingstället i Tiurula de dato d 27 Aug: Ao: 1678. Hwar uthi finnes hinrich Pierfoin för- wälde på dett landh som jdhan åb"
16,0494_0496,nde af sin B:r Hindrich Pirhoinen med edh samwete fodra? R att dett uthwijsar. ten laga Attesten af Tiurula Tingstadh 22 Marti 678 der Johan Pirhoin hade be- untt sig hafwa hafft à 6 „ 7 och 8000 Drs godz at
