,file,context
0,0132_0134,"onom i betzlet, cch wille taga honom bort, hwar på Sallme Johan hafwer nappat till och slaget henne huden full medh huga, och rifwit henne blodigh i ahnsichtet; hwarom 1:de hustru Rät- tens byståndh ahnm"
1,0270_0272,"l hår draget; här Christer begierte han wille giöra si Eedh der på att han henne intet sparkade och hudrog, hwis tillbödh sig sådant att göra och aflade der opå sin Eedh att han intet hade honom sparkat "
2,0380_0382,"inhängnat een ängh, som Rätten hafwer tilldeelt bem:te Bonde; Och ehuruwähl Borgmästaren hafwer för hudit be:te Rothinen oppå deße Åhren icke allenast medh till skickadhe Rådhman och Stadztiänaren, at ha"
3,0384_0386," skulle wachten något giordt förnäär, så måtte och wachten wäll kunnat honom ankasta. Än förestälte huden, eet annat witne nembl: en fohrman ifrån Klyen, Jöran Matzson benembd hwilcken i Eedstad be- kiän"
4,0458_0460,"till Stocholm öfrföhra, och der till Blankenhagenhetens bästa försällia, sättiandes intet wärde opå hudenne el:r hwilken uthan badh honom dem försällja, åsom han bäst kunde, gifwandes honom ifradht 4 D:r"
5,0458_0460," åsom han bäst kunde, gifwandes honom ifradht 4 D:r Knt: Begierandes han wille för dee pgr: han för hudarne och dwilken kunde bekomma, och köpa derföre Salt; Ahnhållandes nu att kommit sin sin betallning"
6,0459_0461,"ch intet längre oppskof weeta; uthan frågade hwarföre Eskilt icke länge sådan hade betalt honom dee hudar och drälken som Norr obrände Eskall Pirrsoinen replicerade, att han war in- gens dräng, att lööpa"
7,0459_0461,"nu hade inste Syne witnen, som kunde intyga huruledes den Olycken wore till gången. och om så månge hudar wore i branden fördärfwade, som han ahngifwit hafr och huruledes den wådan wore tillkommit som ha"
8,0459_0461,"illige saker för andre Pärsoner, som sitt godh hafr hafft opå lådian, hwar under Blankenhagen 80 st hudar äro införde. Men finnes uthi Specifi: cationen wara förmält igenom Styrmans Eskill Tuskias och Bå"
9,0459_0461,"försällja, à 4 D Km:t st: och dito dher 138 al:r Swälk å 12 öre Knt:t alnen; Men dher öfrige 80 st: hudar äro med lådian i hemreesan i Pälinge oppbrände wed Be- Stodh effter han på intet södh kunde dem i"
10,0459_0461,"2 Swaranden Hinrich Kirhoises Son, Eskill Pirhoinen gaf tillkenna huruledes han af dhe 99 st: hudar allenast 3 st hade i Stockholm fått försällja, à 4 D Km:t st: och dito dher 138 al:r Swälk å 12 ö"
