,parent,file,context
0,Kexholm,0071_0073,"nampn Philip Hindrichson, at han A:o 1659 uthi Martjij Månadt een häst för 5½ Rubel Kop: M:t af hon kiöpt hafwer, och emedan hästen wahr istadigh och icke uthi något arbeete wille låta bruka sigh, dij had"
1,Kexholm,0071_0073,"uthi Rätten såledhes, att Emedhan boodhe sielfwer bekändhe sigh för samma prijss af Borgaren hästen kiöpt hafua, såsom och hoos sigh fyen Månadhe hafft, förmedelst igenom Witten der hoos Mårten Swenßon me"
2,Kexholm,0071_0073,"eggiandhe, verificerade Philip Hindrichson hästen igen taget. Dy skola bondhen effter förste Cap: i Köpmåhle balken, Stadzlagen wahr borga- ren Philip Hinrichson förplichtadh hästen att betala. P. R: W. "
3,Kexholm,0073_0075," på lefererat twå kun- Nu hafwer Seliaren taget hästen igen till sigh; Står till at fråga hwar före kiöpet icke ähr hållet och effectu Resp: Tobias Laße Swaradhe, sigh hafwa most hesten och tillbake, efft"
4,Kexholm,0073_0075,"it boondhen 1½ tunnor tillbacke, och såledhes boodhen ½ tunne skyldigh blefwen. Resolutio Ehuruwähl kiöpet bör gå fram och icke till baka ett 4. Cap: Kiöp: balcken, dy måste kiöparen Matt Hölcky gifwa Heß"
5,Kexholm,0073_0075,"hen ½ tunne skyldigh blefwen. Resolutio Ehuruwähl kiöpet bör gå fram och icke till baka ett 4. Cap: Kiöp: balcken, dy måste kiöparen Matt Hölcky gifwa Heßen tillbaka, och Selliaren Tobia Spannen len, och "
6,Kexholm,0073_0075,"fwen. Resolutio Ehuruwähl kiöpet bör gå fram och icke till baka ett 4. Cap: Kiöp: balcken, dy måste kiöparen Matt Hölcky gifwa Heßen tillbaka, och Selliaren Tobia Spannen len, och blefwe af Rätten dömbdh,"
7,Kexholm,0073_0075,"Hu så såsom han för 3 daagher tillförene, af Claus Brokens Tienare Hindrich Köningk 2 me tt: Toback kiöpt hafwer, och när han ähr hemkomen det upwägandhes, har han icke mehr een den ti bekommit, och som M"
8,Kexholm,0074_0076,"e den lofl: Rätten at såsom denne Roningh, hafwer sigh emoot Swänska Lagen och der 33 Capitlet uthi kiöpa balckas Stadztagen förgripit at han Tobaret me marckpundh för såldh hafwer, Tij straffes Rönningk "
9,Kexholm,0075_0077,"er Zacharias Lechtius, profererandes huru såsom Commendanten på Michel Düsters wäg- ner åt een Rysk Kiöpman ifrån Aginissmo, Simon Borboff be:te 68 D:r Koppar Mynt betalt hadhe, hwilcke Pen ringar Michel "
10,Kexholm,0076_0078,"en agerat, dach förrä de icke wijdare hwad passerat. den 16 Sept: fälles några Borga re för del den köpt af Soldaterna wassehr och matenialier till 40 dr efter det 2 Cap::  B. doch heemstalles lauchs:F a"
11,Kexholm,0078_0080,"ärckin, några Musqueter, Skebsöjar, Sköflar håkar och Pijckor s: som den uthur Artolleriet stuhlert kiöpt hadh, begiärte för den skull kährandhen, såsom och Wällb:ne herr Landzhöfdingen, at inquirera der "
12,Kexholm,0078_0080,"och Wällb:ne herr Landzhöfdingen, at inquirera der effter straffat och förbiudhes sådant olageligit kiöp Blef altså förfordrat Johan Larsson och Philip Hindrichsson, och befrågat huru ledhes der der till "
13,Kexholm,0078_0080,"fordrat Johan Larsson och Philip Hindrichsson, och befrågat huru ledhes der der till komne wore, at Kiöpa af Soldaterne Cronones gewähr. Johan Larßon suaradhe, han hadhe icke annat wist, uthan dedh skole "
14,Kexholm,0078_0080,"l ondfånget egit Godz, der iämpte sadhe han och, sigh wara owitterligt, at sådant wara förbiudit at kiöpa något af Såldaterne, Dij hadhe han gifuit at Såldaten 6 m Kopp:r M:tt penningar och omståndhen brö"
15,Kexholm,0078_0080,"ka lefue= rerat, och Såldaten förbudit, at han ingalundha her effter skole mehr till honom medh sin kiöpen- skap komma."
16,Kexholm,0079_0081,"orgmestaren och Rådh upå Rådzstugu Dåillspordes Peter Sigfridhson Liuro, om han något af Såldaterne kiöpt hadhe? Resp: Neij, uthan Heick Härckinen hadhe hooß honom för 5 s penningar till pant satt een fli"
17,Kexholm,0079_0081," Såldater een Musquet, några Skebzyxar, Jähren Skyhlar, håkor och Pijckor, samp till pant och sampt kiöpt hafue, förmenandhes Sålda= terne sådant währ Undhfångit hafua, såsom sigh dher medh hwar och een f"
18,Kexholm,0079_0081,"ans tillbaka lefuererat hafua at Arcklij mestaren; Så äre lijkwist witterligit, at sådant olageligh kiöp igenom Tromslag wedh straff hårdh förbiudhet och Publicerat at ingen Borgare utaff någon såldat, nå"
