,file,context
0,0223_0225,"ran Eskillßon sig hafwa warit med Hinrich Wildeman till Räwel och sedt att Hinrich hade köpt 20 små Rullar Tobak och der på wägen försåldt hwarest han hafr kommit tillwäga, och tagit 2 Dr för Skålpundet, h"
1,0249_0251," Grels hade försåldt 3 st: hästar till en tysk köpman och tagit i betallning 7 ℔ 9 mk:r Tobak i små Rullan hwilket tobak der hafwa sådane hijt innat Kexholm bracht, och satt dett uthi Pyhäjärfwi Sochn qwar"
2,0278_0280," Borgare Råman Etoloff inlade uthi Rätten om Supplic och förklar ning skrifft huruledes han hade 22 Rullar gonskt Tobak, och 3 rullar stockke godh, ifrån lonitz med sig hijt bracht, uthi dem meenin en att "
3,0278_0280,"de uthi Rätten om Supplic och förklar ning skrifft huruledes han hade 22 Rullar gonskt Tobak, och 3 rullar stockke godh, ifrån lonitz med sig hijt bracht, uthi dem meenin en att han sig der med till Nyno m"
4,0282_0284,"yßens Råmans fullmächtige ins von wangelsen, om han wille eller kunde tyga skall att han deras eene rullan bat skall hafwa undandelt till swarade fullmächtigen Hans von Wall- rsen, att han intet kunde hono"
5,0282_0284,thöfwer Krängen olafligit Tobak uthi Kexholms Lähn in redh befunnen är; huilket Tobet bestå uthi 22 Rullar Engelsk godh och 3 rullar stock och /: föregifwandes sig der medh till Nyen att resa sinnat warit 
6,0282_0284,Tobak uthi Kexholms Lähn in redh befunnen är; huilket Tobet bestå uthi 22 Rullar Engelsk godh och 3 rullar stock och /: föregifwandes sig der medh till Nyen att resa sinnat warit :/ Men såsom dett befin- e
7,0284_0286,"ce den öfr. Till Thomason säges tobubet intet warit ehr ähn 21 wille, der uthaf han d Ene och wände rullan, som något lijtet, war i gen uthaf, tagit och deelt der af, uth folket som wore wed honom och opph"
8,0285_0287,", hwilken rulle han och hafwr låtit uthi räkningen inföhra men dett att han d 2 andra och tiuguende rullan som Rysen klagar öfr, skall hafwa undan dåldt? dett säger skall skola all drigh bewijsas, beroopan"
9,0289_0291," dagen der effter hade gådt kändt med handen på sinckarne, och rummit der uthinnan lepat små tobak. rullar, lijka mycket uthi hwar säck; men intet wiste han huru många der kunde ara, eller huru mycket der "
10,0293_0295,"ri Coroloff begiär des att komma till ändskap med Tobaks besök een Eskill Thomasson ohugående dee 2 rullar Tobak, som han säger att besökia skulle af dett confiscerade godhet bortagit besökiaren tillståår "
11,0293_0295,"hade ti till något wittne eller skiäl R Neij om han hade något wittne der till i deet hade warit 22 rullar i alles? att han hade ingen annan ähn sin gen broder som sådant hade sagt, enä en Ondri icke war s"
12,0293_0295,"go uthi Humpnen och Arresterade för Ryßen Råman Groloff, hwar uthi Tobaket slågh befans icke fleere rullar ähn som 20 h En rullbotn, hwar oppå kunde wara an= gefähr 2 mk:r tobak. denne saken blef öpp skli "
13,0298_0300,"m Eskill sampt utiänaren och en såldat Peter Häiskan och han intet Eskill taga mehr af säcken ähn i rulla, opå hwilken war en eller två neder tillförende afftagen, och gaf Eskill denne sitt omak 6 allnar, "
14,0298_0300," omak 6 allnar, och hörde han, ehr - stoodh i bodh dörren, när tobaket oppräk- ades att dett war 20 rullar; Men han om intet till wäga att see afe der intrin- sig annat folk att see tobaket. q:r huru Ondri"
15,0298_0300,"afe der intrin- sig annat folk att see tobaket. q:r huru Ondriwiller bewijsa att dett hade warit 22 rullas tobak? R. hans broder hade så sagt för honom, och annat wittne hade ne icke. Q.r Om här nu wille t"
16,0298_0300," altså dett honom intet illäggia. Denne saken slötz till efr fölljade Sentens. Emädan såsom den fer rullan som Tobaksbe- tiären Eskill befinnes husen taget af det infiscerade godset, förnimmes wara uthi de"
17,0321_0323,"rog, e- tagit ifrån honom om tobatz rulle af 7 eller 8 m:r begierandes att hon måtte komma till sin rulla igen, effter han intet hade honom medbracht för den orsaken skull, att hon der något underslef med,"
18,0381_0383," sigh hafwa hijt sändt Compagnies Tobrak, 10, skyllar weed senaste Åkeförd, hwar utaf ännu een half rulla skall wara igen; hwar till Oloff Johanßon swarade, at emällan Påska och Pingas dagen, twår här icke"
