,file,context
0,0106_0108,"n såsom Borgare uthi Byen Mårten Rätte hafwer hijt ehrickat sin, kula till Kexholm medh fyra läster Salt att försällias, hwilken samma jehuta ahnkom, och här fördröijgde ef:r Båtzmans Thomas Erichßons ber"
1,0106_0108,"et alt är emot sålt för bytt; honom tillfrågades först Båtzman Thomas Erichsson, hwilken ofwanbe:te Salt förbe- trädh war, och försällia, af hwilkens institu och befall- ningh, han sådant hafr för bijtt, "
2,0109_0111," Gabriel benämbd, dijt in kom, för- nekade dhem dher att köpslaga, då hafwa dhe gifwa honom 4 Cap:r Salt, och hafwer han skolat dher een swarat mågan nu wäll här köpslaga, allenast stå edher fahra sielff."
3,0113_0115,"om dhe sig emellan wore twistige, således, att Larss kirromen skall betala för alt öf: alt 8 Capp:r Salt, och dher på dhe för rätten handrichtes. d 8 februarij 679. uthi närwaru på Borg- mestarens wägrar "
4,0120_0122,"ercession, ahnseedt mestendeeles denne wäll- Mårten Rättos slätta tillståndh 8 T:r Smöör, och 4 t:r Salt /: hwilc- alt Capitein Spångh annammat hafwer :/ tillijka med sin sk ta igengifwit och effter låset"
5,0120_0122,"ein Spångh annammat hafwer :/ tillijka med sin sk ta igengifwit och effter låset, hwilket Smöör och Salt in- fressenterne i lijka deel tillfälle: doch hwar handelßman nen Wäll:tt Jochn Bröcker, härmed ny "
6,0127_0129," 2. Dito framtredde Rentemästaren Wäll:tt Zacharias Jonßon inläggiandes en Obligation uppå 18 Feb:r Salt, gifwin af Wäll:t Bertill Vintagen d 2 Martij 664, hwar uthinnan han förskrifwer sigh till d 16 Jul"
7,0129_0131," Caution gångit för b:te Rådomen, i förleden åhr 1664, uthi Nyen shamt och honom förphaffatt 33 t:r Salt der sammastädes, af Mons:r Hans Wegner, hwilket han, Mortoner, klarlige äger sigh med b:d Wegners b"
8,0129_0131,"gners breff bewijsa och demonstrera kunna, att honom ähr ahnbefall sorgfälligh wara hu- ruledes b:t Salt kunde wäll försälljas, och sådan wijdare redeligen Contenterat blifwa; doch el:r en wäll Wäll:tt Ha"
9,0130_0132,"ch någre dal:r pgr och En tunna Salt och 21 Cap: Catunna Rogh 26 Cap:r hwilke b:te Partzeler, såsom Saltet och roge lofwar han sigh strax willia lefwerera tillbakas igen när Rådmannen däster honom dhem fö"
