,parent,file,context
0,Kexholm,0149_0151,"och någon Ny intet uthgaff, hwar med Arendation kunde nöijachtigh wara, beröfuar altså dhen uthgif- Spanmålen till Meijer, effter Markgången i Skantz eller Wiborgh som Contractet uthwijsar, till 14 Dr 2:ne t"
1,Kexholm,0189_0191,"r och 16 ör Ru Swaranden Heike Pellin säger att en bonde från Mustala by i Tiurala, hafr honom b:te Spanmål Såldt, och intet wiste att Span målen hörde Samuel Pärsson till Uthslag Såsom Heike Pallen icke kan"
2,Kexholm,0189_0191," att Span målen hörde Samuel Pärsson till Uthslag Såsom Heike Pallen icke kan neeka sig hafwa hafwa Spanmålen köpt, doch weetandes icke det wara Samuel Jönssons, uthan meenom as det wara bondens ifrån Mustal"
3,Kexholm,0204_0206," mit breff af sin Swägne kyden, att Spenmålen bejtidt afslå hwarföre han  schulle tillfes att kunna Spannmåla här ör yttra Dito"
4,Kexholm,0224_0226,fwo Rådet och borgarne Jeremias Michelson och Jöran Heike ifrån sig detta wittnesbördet at en tunna Spanmål på denne orten är såld och 4 Dr Km:tt hwilken Attest Brandten med- deelt blef. N:o 21. d 13 Julij w
5,Kexholm,0279_0281,"tt han hade fölgdt denne Ryß neder till Stadzhampnen, wijsandes honom den boden som en hans Broders Spanmål wore uthi: då hem underwägen hade frågat, om han tet wiste någon som wille sig tobak emot star till"
6,Kexholm,0345_0347,", sädan som det alt war mätt Johan Lauri säger, att han war der medh undh. Piersonen, när der måtte Spanmålen Om han hade hördt honom begiära af nå- om, att dee skulle mäta 2 V:r öfr R. neij Man tillståår at"
7,Kexholm,0345_0347,"e skulle mäta 2 V:r öfr R. neij Man tillståår att han har oppmätt först f:r at sädan har han begynt Spanmålen göra med Hinrichz hustroor, 2 skic ikom uthi ködian, som låg öfwer 100 steeg än boden, der spanmå"
8,Kexholm,0345_0347,"panmålen göra med Hinrichz hustroor, 2 skic ikom uthi ködian, som låg öfwer 100 steeg än boden, der spanmålen oppmätes. Cr om der måtte Spanmål, så lenge som"
9,Kexholm,0345_0347," 2 skic ikom uthi ködian, som låg öfwer 100 steeg än boden, der spanmålen oppmätes. Cr om der måtte Spanmål, så lenge som"
10,Kexholm,0346_0348,"tt han begierte af kierhoijer R. Eskill ha kon, 2o om han war med när Perhoin betal- peningarne för Spanmålen R. Neij gro han war med när der giorde köp om Man målen R neij Dr huru han wiste att de blef ähr "
11,Kexholm,0346_0348,". 2r om krijdi war med är som dett oppmättes? R. ja och att krydi- e oppskurit sielf på karfstocken Spanmålen om uthmärtes. S:r Om Krydi hafr dett dem op mberat i Nyen R. Neij, uthan när dee kommo nu, så had"
12,Kexholm,0346_0348,"ra till låns, till Pär ou ladugård, i förlijkning. Virrhoim wa- de, att effter dett war min Majames Spanmål u förde derföre lånte jag kärran, och effter ögen icke mehr ähn 2 små wärster ähr, ty am men ibland"
13,Kexholm,0347_0349,"n ett lefwa, eller sådant begföra, ge hwarföreb  sen hade williat sällja i hampnen, heml b  en, den spanmålen bort, som för bhonom lde fått så olofligen i Öfsmätningen b  R. att han intet här willia sällja P"
14,Kexholm,0347_0349," bartsädan hoos hade talat med sin Son; gå om hon hade sagt sin sammerat Johan Heuri, att dett wore spanmål öfrmått 2 t:r? R. att han har alldrig der af hördt, förr ähn Johan henne hade sagt åth Pierfwin när"
15,Kexholm,0347_0349,"in wa- Kierkoin säger sig dett eij hördt, uthan gådt sin wäg till Fraser. gr om han wiste huru medh Spanmål, Perr honer köpte? R. neij, uthan de der weeta, som med hwar andre förslagde att heller såg hon alt"
16,Kexholm,0347_0349,"rade han åth Eskill Haikon aff Wargen d toffte tog hon af Capitein Fraser sade sig och altijd burit Spanmålen, och inbeförordnat t möta; hade och intet hördt något säijas om öfer- ålet, eller att något skull"
17,Kexholm,0348_0350,"ef, de der byro R. neij. dito tillståår Staphan Pelli at Eskill har williat i hambnen fall sin egen Spanmål, och icke kior Jöms- R 27 Jan: wed ord: Rådstugu dag närwaro Borgmester och Rådh. Samma gång framst"
18,Kexholm,0348_0350,"b. och begiärte att han måtte bewijsa den at test som hade meddeelt Borgaren Sigfredh Matzon om ett Spanmålss böp, som Piirhoin hade hafft med begaren i Nyten Claes Wårg; då Pierhon all 10 t:r köpt, och 2 t:"
19,Kexholm,0349_0351,"r Spanmåhl, som han de 20 Jan: näst förledne, bekände Pierhoin hafwa stulit Nyen af Clas Warg, werd Spanmålss Mö- ningen, då kirrkoin hade af Wargen SPan mål köpt. Johan Henric kunde intet bewijs här opå de "
20,Kexholm,0366_0368,"ug, wed ord: Rådstugu dag owärwarad Borgmäster och Rådh. Dito blefwo Stadzens åkrar Arfwade å 5 t:r spannmål: Samma gång blef Hinrich Wildmans Pant, som war en Sölfkanna á 78½ lodh stridie gången oppbudin och"
21,Kexholm,0435_0437,"e nast Soldt der af för 4 örehm:t och hållit derföre att han hade fådt undertijde köpt sig nu Cappa Spanmål, till oppehålle, och hade instå 45"
22,Kexholm,0462_0464,"t giöra skulle. Johan Pirwoinen swarade; att jag hafr deel medh honom både Sölfr Koppar Järnreedsko Spanmål, Booskap, så att han hafr hälfften bekommit uthi alt: Men finner han, att ja icke uthi alt hafr dee"
23,Kexholm,0462_0464,"en exciperade emot deras wittnande, ehr dhee intet skulle wara ährliga män, effter dhee hade stulit Spanmål af Skutorne på Stockholm reesom, och derföre warit i Arrest i Stocholm Eskall frågade hwar Attesten"
24,Kexholm,0482_0484,"reeste till Stockholm befan Johan I hu- ringz bod här i Staden wäll öfwer half tridie hu- drade tij Spanmål, hwilka Henrich förr ähn Johan ifrån Stocholm hemkom, hade alt för såldt och med föreskrefne medell"
25,Kexholm,0494_0496,"å att ther på ingen thera sijdan der om klaga, uthi dher behöllo hwar, hwad dher inn om händer hade Spanmålen säger och finrig sig half Partn blo- af sin Mr Johan, både i hårdsädh och hafwa; Men Johan säger "
26,Kexholm,0496_0498,"n för skiäligt att Hinrich Prehr uthan någon wijdare deelning behåller den bösta- pen Sölfr Koppar, Spanmål och järnwredskap, som hans Broder Johan Pirhoinen, allareda sin Broder Hinrich af dhem deel Johan ä"
27,Kexholm,0616_0619,"att taga sig bröd. hwar effter wedh pass midnatt, lyder bodan medh alle der inneliggiande Penningar spanmål, klä- der och andre huusgerådz saker, ähre opbrände hwar öfwer Möllnaren een Specification op- rätt"
28,Kexholm,0713_0716,"hr och ähnu yttermehr till 25. tillkönjandes, huru Spl:n är af ofwanbe-de skäl medh det belderne af Spanmåls tjugden sigh sänckt och gifwit hafwer uthlupit, som alt under bodtgolfwet förderfat finnes hwaröfw"
29,Kexholm,0823_0826,"ifra Sal. Renttmestarens Enckia till nu warande Rentmestaren sedt är, och som dhe widh deras Månadz Spanmåls. uthtagande är wane att inslå, bem:te Swaranderne sade att uti inslående har och i Nyen lärer wara"
30,Kexholm,0828_0831,saken till Differenten emedan profsäckiarne i Nyen feeltes till 3. stoop och att säckiarne hwarmedh spanmålen ifrå Proviantet till hambnen är ned- fört warit oduglige och sålunda Span- nåhlen kunnat blifwa f
31,Kexholm,0832_0835, inläggandes Rådstugu Rättens i Nyen af den 27 Octobr. nästledne uthgifne extract öfr Mätar- nes om Spannemålens uthmätande betyg- och wittnande jemwähl och Renttmestns och Rådm:s dersammastädes högwält Lars M
