,parent,file,context
0,Kexholm,0069_0071,"i- tains M: Larss Öhren, refererade, at Capitain till förene hafwer ifrån Michel Larsson Sifwo uthi Stockholm 500 D:r K: M:t till låns taget, dähr uppå Capitain sin obligation gifuit, hwilcken Giäldh Sifwo"
1,Kexholm,0093_0095,som deras wahrur wele åth Stockholm öfwerföre och för den skull wiste om det förtredt godz eller kiöp warit hadhe i Sadhe och at fa
2,Kexholm,0096_0098,"Till den närkians opbyggiande, och Stockarß fram förende medh första öpen watn, betingandes efter drefne Personen sådant att förrätta, N. Er"
3,Kexholm,0096_0098,"„ på 1 Af ofwanstående Summa, tillsades dhem på handen Een halff part, och dhen andre helfften wedh Stockarnes lefwererningh. 8o 24 dito böltz ord: Rådhm:t wå dagh uthi Närwaru Borgmäst Nielss Olufson och "
4,Kexholm,0097_0099,"en öfwer Toobakz com= pagniet Wäll:tt Petter Schult och inlade sin ho= nom gifne fullmacht, de Dato Stockholm d: 22 No= vember: 667 medh begiäran att Kongl: Maijttz placat nåtte i detta fallet wärkställigt"
5,Kexholm,0097_0099,"rentes upå Stadzens wegnar, att uthi dess förrättningar skall Rådhmannen Erich Simonsson reesa till Stokholm och deras postulata hooss Kongl: M:t ahndraga, och des nådige resolution afhempta, dher emot ho"
6,Kexholm,0099_0101,"zon hwarest han kunde hafwa sitt boo= stelle oppå det gamble Silloiniemi hafwer han och då strax En stockar dher han framföra låset men af owetenheet at samma stockar på Nils Stadstieners plått, hwarföre e"
7,Kexholm,0099_0101,"e Silloiniemi hafwer han och då strax En stockar dher han framföra låset men af owetenheet at samma stockar på Nils Stadstieners plått, hwarföre enär Borgmäste= ren dher öfr klagades, försporde, är. Sigfri"
8,Kexholm,0101_0103,"å Kongl. Maij:tz glortyrdigst i åminelse mal: Konungh Gustaff Adolphs Staden gifne privilegia. Data Stokholm d 4 Septemb: 624. förmälandes att hafwa Kyrkioherden till Preste bordh gifwit, dhen byen kunnig"
9,Kexholm,0105_0107,"ch publicerades uthi Borgarenes närwarelse dhe breff, såsom wäll:tt Rådhmannen Erich Simonsson Uthi Stokholm, uppå Stadzens wägnar så wäll som Kyrkio¬ nes, förhoftat hafwer; både om frijheeter, jämwäl and"
10,Kexholm,0123_0125,"aueke swarade att Maltet så wäll som miölet, hwilket ifrån uppå war, är fordt och oförderfwatt till Stokholm framkommet nen effter dett der lenge legat hafwer, och icke blifwit emot tagit, och i medler ti"
11,Kexholm,0144_0146,"n Ahngaff Wällb:ne He:r landzhöfdingen någre borgare, som hafwa låtit sigh läga af landet, att före stockar, till Cro- nones befästningh, hwilket dher icke hafwa effterkommet, hwar på dher äro lagligen 2 g"
12,Kexholm,0150_0152,"anden Sawolain säger sigh hafra inkommit till Jacob Brusison ifrån Arbetet, den han stodh och ta de stockar, och frågat af Jacob, om han hade något läder att sällia honom williandes betala honom med arbete"
