,parent,file,context
0,Kexholm,0095_0097,"pet, effter hwilket hwar och en kan sig Effter rätta. Nämbdes och Petter Hackarain att wara i denne win tar Jordhfougde, och dher han ett wakande öga hafwa, att lthwadh till Staden kommer må till Torgebr"
1,Kexholm,0104_0106,"wa. Doch resolveras af Rätten att Zacharias Månsson förplichtas, när han blifwet der om till schrif win, sielff medh samma Ryttare inkomma, och sin wederpartz hwar å wachta, och Rettens resolution för he"
2,Kexholm,0141_0143,ur nå- rich er kan hier ein thun wes är will sonste söbe- iet nach måhlen er måthe mitt mir richtig win sande mår åtwas roggen Cito hott empfahlen und werbleibe Gudh v. Johan Berent Här uppå inkallades B
3,Kexholm,0177_0179,"t samma sände Ryss Tolken Zidar hem till sigh, öfr en Teenfläsk af 3 stoop, effter samma gången där wijn till Sahliestood; då hafr Ryßen samma kla hämptat"
4,Kexholm,0245_0247,"lm, på 5 åhr ingiörande för rupturen 656, och huru han wardt hiälslagen på allmeninge wägen 655. om Win- ren? Dy såsom Rätten icke hafr kunnat för wägra 244"
5,Kexholm,0285_0287,"begierte att dett måtte protocolleras att Ondri beskyllte honom hafwa opp druck- en halfftunna rödt wijn på slagan, och Ondri måtte honom sådant bewijsa. ijsom begierte der opå dilation, han wille dant me"
6,Kexholm,0364_0366,"å rij wed korkan 8 om morgonen dijt kon mo, præsenterade hoppmannen oss med om Sölfeläkare bräffwar wijn, Enär wijdå änt synnerligit af brännewijnet smakade, be¬ gierte jag tillijka med Corneten och hoppm"
7,Kexholm,0408_0410,"löfwer och beswärade sig öfr nu Soldatz Änkia Maria teltonen b: rdt hon honom, skall skiäldt för en wijn tiuff, begiärandes här öfr på rätt. Swaranden Maria Peltonen sade, att hennes fader skall för henne"
8,Kexholm,0432_0434,"ått, och Smeden sagt har dett sielf som du mig skiälle. etta föreskrefne som Eskill Haikonen hafwer win- at, wittnade och Rådmannen Jacob Grelson alldeles i sanning wara, der opå han sin Edh aflade ppå d"
9,Kexholm,0541_0543,"des att häreffter skall 1 kanna godt öhl försällias p 7 /: Kmt. Så och 1 kanna godt kryddat bränne- wijn à 2 D:r Kmt. och dett sämbre ähr, doch oför- falskat, à 1 ½ D:r kannan."
10,Kexholm,0728_0731, ibland gifwit honom pennin- gar till Öhlköpande Anna till- stodh att hon ibland köpt öhl och brann wijn. Och huru han tänckte besinna sigh /: sade han :/ sedan dottrens bref kom att öfwergifwa henne så h
11,Kexholm,0728_0731,"ck. änn bekände och att han ännu skickar honom Tobaks peningar i sin arrest, wadh Peningar Öhl bren wijn och Toback wedh komer så tillstodh hon effter sin förmågo födt honom i meningh att fåå honom till M"
12,Kexholm,0740_0743," 2 paar klippings handskar 6 st. nya Carlar 21. dito gambla ½ plucht ½. burckat hud 15. hudh 1. tom Wijn Åhm, Lijn öf.r 1. Lisspund 8 Dr Ull, Gull speter som warit tillförne på hennes Myßa, 5 t.r Rågh. 3."
13,Kexholm,0770_0773,"Camfodret sampt jempte klåckan ren af tepp hållet druckit Portugis wij- i källaren, men huru mycket wijn det warit sade hon eij kunna minnas: Klåckaren Michel Larson blef och af Rätten framkallat, hwilcke"
14,Kexholm,0770_0773," 24 /: 4 fogler 24 ö: 3. Cemoner, 24 ⁒ 1. Cappa hwett 8/: Morätter 6⁒ Corin- ter och Ruisin 16 öre. Wijn i källaren 1 D: 16⁒ 5. Sillar 30 öre, som in alles sigh bestyger till 58 D. 26 öre Kmt: dij fältes "
15,Kexholm,0773_0776,"befinnes att handtlan- garen Bertill Zachriesson uti ett fullkom ligit 8. ligit dryckesmodh af bren wijn hoos Bor- garen Bertill kula i förstone förfördt sigh opå Borgare Sonn Johan Heino, hwar- till Bert"
