,parent,file,context
0,Kexholm,0118_0120," undandrage oansedt iagh icke weet migh honom hafwa på något sätt skiäldt :/ och migh sielf medh en bååt öf.r Strömmen satte. Tillspordes honom ähn wijdare, om han inte kunde"
1,Kexholm,0134_0136,"ästaren Swaranden Katter Lijnwäfware säger sigh intet hafwa kommet öfwer wällen, uthan kammet, medh bååt igenom Ringfarten i förledne Säm de 12 hujus emellan 6 och 7 om afftonen Framhafdes lijnwäfwarens h"
2,Kexholm,0136_0138,"- uptaga sitt salt, ahntingen hälfften eller mehr ger då Rådmannen hafwer strax gångit att sökia /: bååt och särkiar att emottaga Saltet; män duk mannen är dijt nedre kommen till hampnen, äro dhe allerend"
3,Kexholm,0149_0151," :/ Son till migh, och hans arff och sädan språngh uppå Jacob, och skufwade honom till hörnet, ochn beet honom fingret; och sijdan kom frymmande folk och skillde tom åth, och b:te Sawolain gick dher med h"
4,Kexholm,0245_0247,"ger sigh lefwererat hafwa; opskiutas, till des han sådantning wittne och skiäl bewijsa kan. Mikolas bååt och dher 3. Capp såld uthi Fracht tillsagde blifwa och Sammaledes oppslutne, efr Parterne sig å wit"
5,Kexholm,0245_0247,"r en 38 Dr röre kmtt, emot hwilka han lijkwist utenderar sig hafwa 4½ ℔ Smör, sampt 19 Dr pgr är en bååt och 3 Cap:r Salt uthi fracht tillsagde dher nit att decourtera; Altså pålägges Mikita dans inwändni"
6,Kexholm,0282_0284,"åmans fullmächtige ins von wangelsen, om han wille eller kunde tyga skall att han deras eene rullan bat skall hafwa undandelt till swarade fullmächtigen Hans von Wall- rsen, att han intet kunde honom såd"
7,Kexholm,0289_0291,"ten der effter hafwa samma borgare in kommit och b:te så skan och tobak bortfördt aflagdt dem i sin bååt, och fördt dem uth åth höön; bekände och der hoos ett Grelß twå. lagar tillförende, hafr begiert af"
8,Kexholm,0289_0291, skulle här uthi Strömmen om Nattetijd Stödia med mindre han till Crona skulle betala 1 RDr af hwar bååt.
9,Kexholm,0293_0295,"t något opå botn igen war tagit och deelt emellan dem som talan ket oppförde ifrån hamma, hwil= kan bet wille han och godwilligen till restituera; Men den andre rullen som rijßen honom tillägger? begiä- "
10,Kexholm,0298_0300,"r tobatet togh uthi Ryss lådian; då der blef tagen om säck hwaruthi tobaket lår, och lagt uthi hans bååt och togeskull der af en båten af en rulle. ge om han wiste huru mycket tobak hade warit opå samma b"
11,Kexholm,0304_0306,"tt ifrå war Jagfrijdz lego karl; Sade och der 2 halftunnor, som han togh uthur, ian, fördes opp med bååt; och kunde den ugun uthi båten intet mehr föhras. gr Staphan eller hans fader Sigfred tet nämbde, a"
12,Kexholm,0362_0364," weg ingen, alss gierg Hr 41. Ruth ein damit, ging der Hr. Cornet wieder uns undwelte weg gehn, och bat ihn guter meinung wieder ein, als der H: Cor- net sich fährte midt, ihr ifm zutrunk da- gåtz der Hr"
13,Kexholm,0449_0451,"de sin Edh, och witnade, att han hade warit stranden, och burit någre Lisspund rors i Victor krööns bååt, då Oluf Johanßon och Samuell Påhlsson hade huttit på en stok och taaltz wedh, och Johan Eskillsson"
14,Kexholm,0468_0470, men intet igenoms hufwud skålen 3. på högre sijdan ofwan ähra ett hugg att hiernen är uthgången 4. baat i markan ett hugg så diupt som yxan kunde in- 5 ett hugg i halfen fram till att strupan waro höggen
15,Kexholm,0660_0663,1 Mantell af grått Parkon medh ylle inslagh å 3 D: el:r halfsleten - - 18: – 3 åhrs gammalt bördigh bååt - - - – - - 10:- 3 åhrs gammalt bördigh bååt - - - – - - 10:- 1 Nytt Mösers Segell à 200 el. 4 yssl
16,Kexholm,0660_0663, 3 D: el:r halfsleten - - 18: – 3 åhrs gammalt bördigh bååt - - - – - - 10:- 3 åhrs gammalt bördigh bååt - - - – - - 10:- 1 Nytt Mösers Segell à 200 el. 4 ysslärfft  - - - 40:- Prest toback 15 d:r à 1 D 8
17,Kexholm,0668_0671,"kedh, och dher dhe eij finnas wara förnögde dömes Grön effter samma tijdhz förlopp såsom Jupensmann bet:e 80 D:r Km:tt till Hupen förnöija. Anbelangen dhe dhe 25 D:r 6 ö: Km:tt; Så emedan Hupen dhet på d"
18,Kexholm,0710_0713,wilcken tillijka gud Johan Pirhoins Sonn Eskell den 28. nästledne Junij äre komne ifrå Kilpula medh bååt att afhempte ifra hampnen några tunnor Salt då bemte dreng den 29 dito enär han ifrån Staden skulle
19,Kexholm,0737_0740,"llkomblig purgations intagande förblifwa, beklagandes hon att Feldskären haar henne låckat och tub- bat som een skälm och ingen ärlig karl icke allenast att Älska honom utan och att sådane skriffter äre "
20,Kexholm,0901_0904,"t betah- la till bem:te H:r Erich Johan Snickare fordrade sin betahlning af Jo- han Skräder för den bååt hann honom haar lånt för någor dagar sedan, hwillcken här weed Kolom ad omkull kommen och blefwen f"
21,Kexholm,0901_0904,"n bem:te Skrädes åligger sitt undfångne låån winpngått återställa, dij dömbdes han antingen så good bååt i stället emed och des wärde i penningar 6 D:r Km:t med 16 ö: Sm:t an¬ wände Rättegångz Expenser fö"
