,file,context
0,0298_0300,"Larß Kohe. Johan Matzon bekände efr aflagdan Eed, att han hade warit med när tobatet togh uthi Ryss lådian; då der blef tagen om säck hwaruthi tobaket lår, och lagt uthi hans bååt och togeskull der af en b"
1,0434_0436,"4./. framkom Staphan Sigfredhson, och beswärade sig öf:r der Båtzmän, som woro i detta åhr opå hans lådia till Stockholm, Nembl. Berendt Ca- salais Båtzman, Simon Simonson Runii, och Staphans egen Båtzman,"
2,0434_0436,"tet denne att wittna Båtzman Eskall Johanson Turkia säger att när Staphan lätt införa penningarne i lådian h lågo öfr Natten lööse i lådian, skall honom in Plåt för kommit, men weet intet hwem honō holl ta"
3,0434_0436,"ll Johanson Turkia säger att när Staphan lätt införa penningarne i lådian h lågo öfr Natten lööse i lådian, skall honom in Plåt för kommit, men weet intet hwem honō holl tagit, wiste icke eller huru många "
4,0437_0439,"Kjällman tillstår, att Staphan hade sagt på lådian, åth Eskill, nog weet jag att du intet hafr tagit Plåten, uthan din broder Peter; berättar Kiällma"
5,0458_0460,", sampt 138 al:r blå dwelt som han hade hans Son Eskill Pierhoinen Öfwer antwardat, med Pirrhoisses lådia till Stocholm öfrföhra, och der till Blankenhagenhetens bästa försällia, sättiandes intet wärde opå"
6,0459_0461," D Km:t st: och dito dher 138 al:r Swälk å 12 öre Knt:t alnen; Men dher öfrige 80 st: hudar äro med lådian i hemreesan i Pälinge oppbrände wed Be- Stodh effter han på intet södh kunde dem i Sta- försällja,"
7,0459_0461,"unde dem i Sta- försällja, uthan måste dem fohra till baka, då honom denne Skadan är händt, då hans lådia och en deel hans egne wahror å 1020 Dr 12 öre Km:t effter nu inlefwererat Specification och Eric Pi"
8,0459_0461,"hoinen underskrefwen. för uthan åt- skillige saker för andre Pärsoner, som sitt godh hafr hafft opå lådian, hwar under Blankenhagen 80 st hudar äro införde. Men finnes uthi Specifi: cationen wara förmält i"
9,0460_0462,"r död, lembnadt till wacht, hwilke sädan gofvo Eskuitier honen med denne Tucke lainen tillkänna att lådian brand; Men när"
10,0460_0462," der med han då reest bort och lembnat Eskillß lådia; effter Eskul intet lätt Saltet uthur sin egen lådia först oppföhra. Men då Styrmannen afreeste, tillsatte Eskill Pihrhoinen en lijten Poike som Skulle "
11,0460_0462,"thur en främmande Skutz- effter jag intet brödh hafr? der med han då reest bort och lembnat Eskillß lådia; effter Eskul intet lätt Saltet uthur sin egen lådia först oppföhra. Men då Styrmannen afreeste, ti"
12,0460_0462,"n medh Eskall Piirhoinen wore uthi qvarteret dijt dher sine saker förde, Hwilket war en wirst ifrån lådian; och när lådige begynte att brinna och Poiken som soff waknade och Elden som hans hän- brände, haf"
13,0460_0462," Son Anders Pnersoinen strax låta oppföra, Segel, Tågh, ankarr för utan ett stoort togh som blef på lådian, så att han både sitt, så wäll som Eskius och i acht, 5 och fördrögde wed lådian, så länge Eskill "
14,0460_0462,"t togh som blef på lådian, så att han både sitt, så wäll som Eskius och i acht, 5 och fördrögde wed lådian, så länge Eskill i Twå dagar sitt Salt lätt oppföhra. Men sådan Eskill begynte taga folket bort if"
15,0460_0462,"en effter aflagdan Eedh intygade, att ned såsom denne Tuckelain /: som då war Båtzman op kiehoisses lådia :/ ohnkommo till Pälinge, befull no der då ijsen för sigh der sammastedes, hwilken rar så fast, att"
16,0461_0463,"6 som Eskall med denne Tuckelein kommo till lådian. war allereeda heela lӕdian i brann allenast sågutan, der han allenast uthbekomma Wälb:ne H: Landz"
17,0462_0464,"en exciperade emot Styrman Styrmannen Eskill Tuckia att wittne i saken, effter han hade reest ifrån lådian uthan Eskill Piurhößes wett och willia. Gr: Om Eskil hade wittne der opå, att han hade honom förbu"
