,parent,file,context
0,Kexholm,0105_0107,"inen Framsteegh Casper Martin åkärandes, uppå sin husskan= des wägnar P:r Evert Husks ifrån Nyen på Skepparen Jöran Nielson Heike om the skutelagor som be:te Evert Falck depparen gifwa skulle, men Emedom ofwa"
1,Kexholm,0106_0108," hafwr icke på något sätt förhindrat be:te Casper Mårten, medh skutan att fortsegla, uthan att han, skepparen, hafwer och honom uppehållin blifwin hwar uppå han till witne hade Een båd man, hwilken berättade "
2,Kexholm,0114_0116,"rik Simonßon Michel düster Matz Jotinen Breenelss Jacobsson företredde Casper Martin, framhafwandes Skepparen Jöran Nilßon Heiko om dhen för- hålldne röngens igenlefwererande; men eme den som Jöranhaiko säger"
3,Kexholm,0204_0206,"t inbehållit hade ut ex- actis 663 2 octob: 16 dito, och d 18 Novemb: ejusdem Anni. berättandes att skepparen der till wore orsak, att ehutan bleff beliggiandes och icke fort, skyndades, begärandes 6:o 50 Dr "
4,Kexholm,0204_0206,"er der wijd hafwa kunna ope gångit uppgångit, måtte restituerat och refunde= rat blifwa. Swaranden, Skepparen Jöran Nilson hade Inbade uthi Rätten ett oakt, uthur Protocollet gifwit A.o 1664 d 4 Aprilis, hwar"
5,Kexholm,0396_0398,"att han skulle sachta hans saker som på Skutan wore R neij. Staphan säger att han hade betingat med Skepparen som war Hinrich Pirhoin, att hans Båtzmen skulle hålla wachte öfwer der sa- lerne som på Skutan wo"
6,Kexholm,0437_0439,"st sökte på honom om han hade wittne derpå att den förste Plåten bortkom. R. intet wiste han, uthan Skepparen taphan sökte på dem, derföre söke der på Eskill gen. Qr om han kan giöra sin Edt opå, att Plåter ä"
7,Kexholm,0438_0440,"nsson framkom, och tillspordes, om han kunde bewijsa, att den första Plåten bortkom? R: att dett må Skepparen weeta, hon weet de sin 9dh hwilken som gaf dem dett Rådet, att der skulle läggia Pluten på wacht, "
8,Kexholm,0438_0440," dett Rådet, att der skulle läggia Pluten på wacht, som skulle wachta effter Den första Plåtar? R.r Skepparen; 9: Om han kunde befrija sig och der Andre, att dee icke hade practicerat Plåtein uthi Eskils kist"
9,Kexholm,0438_0440,"åtein uthi Eskils kista R. för sig kan hon swärja men intet för der andre. J:r om han kunde befrija Skepparen och der andre Att der icke hafwa giordt Staphan detta af haat R. för sig sielf kan han swärja, men"
10,Kexholm,0438_0440,"an hade stulit Plåten? R han kunde honom intet tillbiuda nen den märkte Plåten funno der hoos honom Skepparen Staphan Sigfredson tillspordes huru han wille bewijsa, att dett kom någon Plut hort för honom. R. "
11,Kexholm,0645_0648,"s uthslagh emellan Handelsm:n Wal¬ Wictor Gröön Kärandhe och deße effterskrefne aff han Skuutfålck. Skepparen Erich Hansson Willand, Eskill Tukia, Henrich Larsson, Larss Kåsåin och Jöran¬ Michellßon Swarandhe"
