,parent,file,context
0,Nevanlinnan_raastuvanoikeus_1697_n_11,0018_0019,"la något remiss i detta måhl. Mart:s Martens förklarade sigh willig att stella. för sigh nöijachtig Borgen, hwilket såle 31 des effter begäran tog ad notam. 1. vid: 9 A:o 1697, d: 1 Februarij höltz laga Råd"
1,Nevanlinnan_raastuvanoikeus_1697_n_11,0053_0054,"n för dhe medell, han emoot dess Privilegit förstånd skall åthnutit, måtte stella Sufficient Re- al Borgen till dess Licentmest:n det Hög- lofl. Kongl. Cammar Collegii Remiss til denne Rätten kunde uthwärka"
2,Nevanlinnan_raastuvanoikeus_1697_n_11,0054_0055," deß fullmechtige Erich Leermans giorde ansökning, sig sielf in för Rätta hafwer åtagit, att stella Borgen för den præten sion af 117 RD. 24½ ⁒ Sm:t, härflytande af opbuhrne Licent medell, som Licentmest:n "
3,Nevanlinnan_raastuvanoikeus_1697_n_11,0054_0055,"ar, Dy finner Rådst: Rätten skiäligit att Mar- tens i föllie der af för åfde Summa böör stella Real Borgen. Men med wijdare Cau- tion kan han icke graveras, så wijda han allenast till Narven afflytter och s"
4,Nevanlinnan_raastuvanoikeus_1697_n_11,0103_0104,"en; dy be- gärte han, dett måtte Tiärtz antingen tillhållas stella för sig een Fullmechtig och real Borgen innan han bortreser, eller i wijdrig händelse sielf blifwa quar till saakzens uthförande i Siö Rätt"
5,Nevanlinnan_raastuvanoikeus_1697_n_11,0110_0111,"mma till korta, conteste- randes högel.n att han ingalunda inten- derat der med att gå för Kröger i borgen eller bem:te von der Hardt hålla skadelöös helst han 4o: hwarken af Richardt vonder Hardt heller Sa"
6,Nevanlinnan_raastuvanoikeus_1697_n_11,0110_0111,"ndelssmannen Hinrich Prän högel:n och med tillbuden Eed, sig alldrig hafft den in- tention att gå i borgen för Kröger, uthan allenast att tiena Handelssmannen Richt von der Hardt som en wänn, med hwilken ha"
7,Nevanlinnan_raastuvanoikeus_1697_n_11,0135_0136,"de Barna medell eller för det som Enckian på en gång intet skulle kunna uthgifwa, stella Sufficient Borgen; Så emedan Enckian sielf tillbiuder interesserne nu straxt att uthbetala, anhållandes för det öfrig"
8,Nevanlinnan_raastuvanoikeus_1697_n_11,0135_0136,"begiärte Dilation henne förundt; dock bör hon straxt stella för heela Summan Silf- fickent och Real Borgen. 1 vid: 357. S e Skräddaren Mr Johan Mårten Schmidt anhåller förmedelst inlagd Supplication, att de"
9,Nevanlinnan_raastuvanoikeus_1697_n_11,0183_0184,"na Peterzdotter och Sal. Råd- man Dettleff Jochims Enckia hustro Bri- gitta Barckman att gå i berde Borgen, sampt sielfwa Cautions Skrifften i detta måhl forderligen inlefwerera; hwilket Rätten pröfwade ski"
10,Nevanlinnan_raastuvanoikeus_1697_n_11,0208_0209,"Cautionister Timoska Droffinson och Waska Je- roskason ifrån kallis by, hwilka sig åtogo per- sonal Borgen för Maria; Men Tiufwen In- geborg fördes till wijdare inkommande beskedh Stadzens Corps de Guarde i"
11,Nevanlinnan_raastuvanoikeus_1697_n_11,0233_0234," uthur arresten, och att Bor- naren Johan Elofoot kunde tillfrågas om icke han wille gå för honom i Borgen; hwar- före afsändes Rådz Tienarne Måns Gadde och Augustin Lohman, hwilka wed åter- kombsten berätt"
12,Nevanlinnan_raastuvanoikeus_1697_n_11,0233_0234,"n Lohman, hwilka wed åter- kombsten berättade, att Borgaren Elg foot sig åtagit för Wolter personal borgen Hwar opå Rätten resolverade, det Walter bör slippa arresten som han är af Neder¬ Rätten satter utj,"
13,Nevanlinnan_raastuvanoikeus_1697_n_11,0239_0240,"Borga¬ ren Peter Berg anhölt fördenskull, dett Walter i medler tijd kunde obligeras att stella real Borgen för alt det af denne saak härröra kan; Men såssom Borgaren Johan Elofoot gådt i personal Caution fö"
