,parent,file,context
0,RO_1684-1687,0011_0011,"orgen för sig, at altijdh wela citera sig sielf för rätta; och togh Christ- 8 a ter Thomaßon sädhan caution på sig, jämpte Anders Johansson Olkonen Stadz Forman; Actoris fullmächtige framwijste en knijf, so"
1,RO_1684-1687,0021_0021,"enedix uhrsächta sig, at han wore resefärdig, och intet kunne komma på Rådstugun will heller ställa caution för sig, till denne Sakzens laglig uthförandhe igenom en ful- mächtig Afskedt; Swarandhen Hans Hin"
2,RO_1684-1687,0021_0021,"mt: ob contu- mars och är han skyldig, effter hans tillbiudande at ställa Fullmächtig och nöjachtig caution för sig till Saksens utgförande; S:r Broker anhåller, om et beskedt på dhen Supli- quen, som han å"
3,RO_1684-1687,0027_0027," han intet gick från skutan, uthan Soldater komma dijt till honom; Actor begiärar at Reus må ställa Caution för sig, eller blifwa i arrest till Sakzens uth slag, hwilket togz i betänkiändhe; Actor reiterera"
4,RO_1684-1687,0048_0048,"han Beckman, Johan Cratz, och Hin- drich Tabell. Petter Stake aflade sin Borgare Eedh och woro hans Cautionister Gabriel Olofßon och Johan Kåtka niuter ett åhrs frijheet ifrå nästkommande Maijo. Mathias Jör"
5,RO_1684-1687,0060_0060, execution å gården 3 haf- wer H. Öfwersten ändå sine peningar at be- komma af Torsbärgh eller hans Cautionister enär han bekommer Ahnordningh af Kongl. Statz Contoiret.
6,RO_1684-1687,0065_0065,"egertte sigh winna Burskap, hwilket honom be- williades emoth Hendrich Wireny och Johan Erich ssons Caution, medh den Condition att han nestkommande Wallborgij aflägger sin Eedh 62 39 Då framkom Erich Ander"
7,RO_1684-1687,0065_0065," Borgerskapedt, hwil ket honom och bewilliades medh dett den Con¬ dition att Hindersson blifwer deß Caution och Hindrich aflägger Eedh nestkommande Walburgh Gabriell Forsman framtedde sin fullmacht af Dato "
8,RO_1684-1687,0065_0065,"e och Rådh Hindrich Johanßon ifrån Sallmisby och wihtes Sochn aflade sin borgare Eedh och wore hans Cautio¬ nister Hindrich Kåtka och Matz Persson Packala åthniuter ett åhrs frijheet,"
9,RO_1684-1687,0069_0069,"enast dhe bru- ka höfligheet och intet förorsaka klagomåhl öfwer sigh; Stadzfougden måste skaffa ny Caution för sigh så frampt han will behålla tiänsten, Andre ämbetzmän i Staden kunna för denne gången oför"
10,RO_1684-1687,0070_0070,"as prætentioner Stadzfougden Hindrich Sigferßon blef wedh sin tiänst detta åhret, emedan han inlade Cautions skrifft Dat: Hel singfors d: 28 Maij A:o 1684 Hindrich Hindrich Thomasson ifrån Espo Sochn och gr"
11,RO_1684-1687,0070_0070,"4 Hindrich Hindrich Thomasson ifrån Espo Sochn och gräßöö af- lade sin Borgare Eedh, hafwandes till Cautionister Erich Frantßon och Cnuth Erichsson, åthniuter Ett åhrs frijheet 1684 d: 31 Maij. höltz laga R"
