,parent,file,context
0,Nevanlinnan_raastuvanoikeus_1697_n_11,0010_0011,"angifwande, sielf hafwer tillstådt att hon stulit een Såll full med Rågh, ett lij- tet laath fullt med Malt Miöhl, 2:ne gån- gor Sal"
1,Nevanlinnan_raastuvanoikeus_1697_n_11,0012_0013,"angif- wen; Afsagd på Nyen Rådhuus d: 27 Januarij Ao 1697./. Emedan Anni Neppansdr sielf hafwer Sig tillstådt, att hon stulit af S:te Johan Schmidt 2ne Lakan, som Schmidsten igenbekommit; Dy och som Anni gio"
2,Nevanlinnan_raastuvanoikeus_1697_n_11,0019_0020,"an Bertillson teeg alt detta stilla, willjan- des lijkwäl opå Rättens alfwarlige förmahningar intet tillstå, det han eller hans hustro stulit utur Norman- skans Boda, uthan som han för detta sagt sig hafwa k"
3,Nevanlinnan_raastuvanoikeus_1697_n_11,0021_0022,"efolck och lego- hon hion de A:o 1686, och dess 5te punct, åter betala dhe 4 D: 8 ö: Km:t han sielf tillstår sig opå sin löhn allareda hafwa opburit och böta till Rectorens Enckia så myckit som hon honom til"
4,Nevanlinnan_raastuvanoikeus_1697_n_11,0022_0023,"ed Erich- on in pto Jurdi. wilker dhe äre och om dhe hafwa wederbörande Hr Landzhöfdingens Påsk och tillstånd att komma på desse Öhrter? hwar opå Mår- ten swarade, det han hade dess hustro och barn i Malmby "
5,Nevanlinnan_raastuvanoikeus_1697_n_11,0023_0024,"Enckia Christina Magdalena Arbogh och hen- nes Son Petter Andersson Gran d: 10 Juny 1693 uthgifwit, tillståendes der uthinnan sigh bem:te obraverade dehl aff dess Sahl. Mans gårdh till Arendat:n Herman Bryer"
6,Nevanlinnan_raastuvanoikeus_1697_n_11,0023_0024,"rich Thomasons gård. 396 hwilker dhe äre och om dhe hafwa wederbörande. Hr Landzhöfdingens Pass och tillstånd att komma på desse Öhrter? hwar opå Mår- ten swarade, det han hade dess hustro och barn i Malmby "
7,Nevanlinnan_raastuvanoikeus_1697_n_11,0024_0025,"tens doom afsagd på Nyens Rådhuuß d: 3 Februarij 1697. Alldenstundh Rygan Annicka Mattzdotter sielf tillstår, sig hafwa hemligen afhändt ifrån dess huussbonde Besökiaren Daniel Lindberg een gammal Fårskins p"
8,Nevanlinnan_raastuvanoikeus_1697_n_11,0027_0028,"t utj Oseritz by. Elliest skall Jacob, sedan han i desse dagar blef sätter i Stockhuset, för Anders tillstådt, att 47 att han wed denne sin förmeente hustrus Marias Moder Walborg warit wygder, och Maria, hwi"
9,Nevanlinnan_raastuvanoikeus_1697_n_11,0028_0029,es ytterligare om icke hennes Mo- der warit wijgder wed Jacob Kifwienen. Men hon wille sådant intet tillstå före- gifwandes Jacob aldrig warit på Seitz: kari hollma förr än han blef med hen ne wigder i Narfw
