,parent,file,context
0,RO_1697,0006_0007,"ian Hueck, Lars Malm och Er- land Jeremia. giärde S.r Jöran Schmidt till Tiufkånan 2: Annj Skeppans dotter ifrån Ariska by, att hon sidstlne Juulaffton utur hans Badstugu stulit Johan Christian partens C: O"
1,RO_1697,0009_0010,"r af sees, att wälbem:te Rätt remitterat Feltwäbelens klagan öfwer dess förra Pijga Cherstin Johans dotter, angående det hon icke allenast rymbdt ifrån honom uthur dess lagstadde tienst Gunnar Galle Chirsti"
2,RO_1697,0009_0010,"mma nu företagen, be¬ finnandes Rätten af åf:de Ciembner Rättens Protocoll, Pigan Chirstin Jo- hans dotter opå Fältwäbelens Galles 13 angifde"
3,RO_1697,0010_0011,"eras dess skadestånd att refundera. Upå Borga- rens Koponens Enckias hustru Sophia Ca- tharina Jöns dotters wägnar kom nu hen- nes Broder Material Skrifwaren Mons: A lexander Joenßon tillstädes, och inwände"
4,RO_1697,0012_0013,"  L. skiäligit att berde grannar, Nembl:n Sahl. Påhl Kopoi- ses Enckia hustru Sophia Catharina Jöns dotter och Conrectoren H:r Johan Agander, som förtijden åboor Sahl. Nils Dufwas gård böra böta till Bonden"
5,RO_1697,0014_0015,"desse och alla förberde saker jembwäl androm till Exempel ansee henne med laga straff. Annicka Matz dotter inwände där emoot, det hon 8. Månaders tijd tient hoos Besökaren, och deß förinnan 3ne reesor förut"
6,RO_1697,0019_0020,"32. 3lip att gå dijt, och wittnet frågat Johans hustro Maria Jörens dotter, om hon fådt någon Råg i huset, hwar till swarat Neij. Witnet då med Blixen tillijka bortgådt dock "
7,RO_1697,0020_0021,"arit för gården icke heller något låås för Stallsdören Actor framstelte Rectonskans pijga Elin Lars dotter till wittne, hwilcken dock Rät- ten hade betänckiande att låta afläggia Eeden, så wijda saken henne"
8,RO_1697,0024_0025,"aniel Lindberg och des förra Pijga Annicka Mattzdotter, hwar wed framkom annikas Moder Carin Thomas dotter; hwilcken förehöltz aff Rätten, hwad dhe emoot hennes dotter Annicka producerade wittnen d. 30 Ja- "
9,RO_1697,0024_0025,"wed framkom annikas Moder Carin Thomas dotter; hwilcken förehöltz aff Rätten, hwad dhe emoot hennes dotter Annicka producerade wittnen d. 30 Ja- nuarij nästl: jembwäl om henne bekendt Men Carin nekade sig h"
10,RO_1697,0024_0025,"des Nils hafwa af afwund emoot henne witnat. Rätten förehölt Carin, att Nielss blifwit emoot hennes dotter till wittne producerat och hon då intet Jäff emoot honom bybrachtz tillfrågandes henne wijdare om B"
11,RO_1697,0024_0025,"ar att Carin wed effterfrågan emoot Besökaren Lindberg nekat pälsen wara hemma, så säger hon hennes dotter hafwa warit i Staden, och effter som hon icke sedt pälsen eij heller wetat den liggia uti Sängen, d"
12,RO_1697,0024_0025,"m hon icke sedt pälsen eij heller wetat den liggia uti Sängen, dy hade hon icke annars tänkt än att dottren hafft honom med sig. Rät- ten pröfwade nödigt att den omtwistade pälsen böör framskaffas; hwar opå"
13,RO_1697,0024_0025,"ltahlter; dy slötz denne Saak som föllier Öfwer Besökarens Daniel Lindberg förra Pijga Annika Mattz dotter, hwil- ken af bemte dess huussbonde är angif- wen, och misstänckt hållen för någon Tiufnadt, är föl"
14,RO_1697,0026_0027,"een Inhyses karl, och förmehr än 10, åhr sedan gifft sigh med dess nu warande hustro Ma- ria Jörens dotter /: hwilken förtijden är här i Staden och för åfde beskyllning äfwen wäl fast satt :/ påståendes Jac"
15,RO_1697,0026_0027,"beskyllning äfwen wäl fast satt :/ påståendes Jacob högel. att han swed hennes Moder Walborg Jörens dotter be:de, intet skall wara wrygder, uthan wed förbe.tt Maria, sampt 2ne barn med henne samman aflat. R"
16,RO_1697,0027_0028,"ga, så wijda han sade att dhe beg- ge allena sins emellan här om tahlt. Sedan blef och Maria Jörens dotter här skilt inkalladt, som skaffas wara emot 24 elr 25 åhr gl., hwilcken opå tillfrå gan hade att hon"
17,RO_1697,0034_0035,"en Gustaf Pärssons Enckia Lyßbr ta Jörensdr bem:d, hwilken effter Justitiæ Borg: :/ Lyssbeta Jörans dotter angifwes för Barnemord. Borgmestarens Hinnells berättelse, allareda Anderß tijden förledit åhr stra"
18,RO_1697,0034_0035,"hade det sig alldeles förlof- rat, hwar af Anderses Swärmoder An- nika och hans hustro Annika Påhls dotter tagit tillfälle, att seija till lysbetas Moder Annicka Jörensdotter, då hon för leden Påsktijd kom "
19,RO_1697,0036_0037,"64 annat sagt, att det fuller gådt illa, i ty Ryttarne kiördt öf.r hennes dotter, och såle des barnet för henne missgådtz, men så wore det icke borta, eller kastat uti graf- wen, u"
20,RO_1697,0036_0037," deras owänskap härrörer; hwar till Lijssbeta swarade Att framlne Slachtaren Peter Hanson hafft een dotter Annika Peters dotter ben:d, som i Sommars äfwen är död blefwen, skolandes bem:te Annika esom oftast"
21,RO_1697,0036_0037,"rer; hwar till Lijssbeta swarade Att framlne Slachtaren Peter Hanson hafft een dotter Annika Peters dotter ben:d, som i Sommars äfwen är död blefwen, skolandes bem:te Annika esom oftast gådt där i krogen oc"
22,RO_1697,0036_0037,"pt derföre een gång henne till tahlt, så hade hon för honom opteckt, att Anderses sällskap hade med dottren om af d. 5. Sept. gänge och icke hon Tyssbeta, hwar opå Anders straxt fattadt till honne aff wund,"
23,RO_1697,0036_0037,"för tiufnad är straffat icke kun- de gifwas witzord. Anders inwände sig aldrig ätit med Slachtarens dotter och hade hon honom intet att förekasta dess förbrytelse, effter som han derföre förlängst skall haf"
24,RO_1697,0039_0040,"h, påståendes Chirstin sig berde Perssel:r gifwit åth Soldatens Johan Blåmans hu- stru Carin Johans dotter; Så befinnes och att Christin berättar sig tillstält sam- ma hustru 1 D: Smt:, hwilka pengr hon ful"
25,RO_1697,0040_0041," doom hafwer Chirstin plichtat med Kroppen. /. Ett Båtzmännens Anders Ohlons hustro Brijta Hartvigs dotter beswärade sig öfwer Ryssen Roman Carolkof ifrån Olonitz, att han hennes Kiesijs Tröija, hwilken han"
26,RO_1697,0040_0041," Såsom Ryssen Roman Carolof tillstår att han af Båtzmannens Anders Ohlsons hu- stro Brijta Hartvigs dotter för 6 mkr Kmt tagit i pant hennes Kiesers Tröija, som warit af 6 D: Kmt. wärde, och befinnes att"
27,RO_1697,0042_0043,"net åth Roman, effter som han det icke uth sigh sielf, uthan åth Sahl. Snickarens Hin- drich Nymans dotter kiöpt, hwilken och lefwererat Peng:r där till. Roman påstod man påstodh deremot högel. sig hafwa le"
