,parent,file,context
0,RO_1684-1687,0014_0014,"S:r Jochim Bröker Kiärandhe, Sahl: Petter Brucktens Enckia Swarandhe, Die 1 Martij Actor beder förmedelst sin klagomåhl rum Docum: sub A, ex B:, dhet Rea må t"
1,RO_1684-1687,0014_0014,"ans prætension grun- dar sig på Sahl: Bricktens klara obligation; Rådztienaren Johan berättadhe, at änkian i går uppå utgångne Citation hafwer swarat, hon måste nu på stemdhan resa till sin Fadher, som ligg"
2,RO_1684-1687,0027_0027," kors gewähr af, som han an- dra dagen gaf igen; Mons:r Hup exiperade sig, hafwa fölgd sahl: Pipers änkia hem och gick så till Skutan igen, där han hörde en skiälla honom, intet wetandhes hwem; p Qu: om ti"
3,RO_1684-1687,0033_0033,"randhe tillstå Factum, och at sådhant wore skedt, då dhe warit tillhopa i tienst hoos Sahl: Ryggens änkia, och wore barnet fådt 8 dagar effter Jo- hennis; men Niels exciperar, at han uppå H:r Pasto- ris oc"
4,RO_1684-1687,0035_0035," in alles - „ 735 ¾ D:, hwilka en deels woro af honom up-  burne, deelz och ännu hoos Sahl: Wargens änkia at fordra, medh hwadh mehra som deras skrifft innehåller. Actor påstår ännu at fodra fullkomligit i"
5,RO_1684-1687,0035_0035,"och fördenskull hoppas wara här 32 uthi at uhrsächte; Anlangandhe den prætension hoos Sahl: Wargens Enkia wille actor dhen fodran ey wydhare an- taga, än sielfwa panten derföre förslå kan, på ståendhes, at"
6,RO_1684-1687,0035_0035,"ch på dhet dyraste försälljas, antingen åth Främ- mandhe, eller åth Actori till af Räckning, emedan Enkian sielf der medh till fredz ähr; Förmyndaren begiärte ännu på alt fall, at Sahl: Wargens gårdh i Hack"
7,RO_1684-1687,0036_0036,"arns prætension, och för dhen deel som dhe härtill ingen pant före hafftra: dhe wille här om bem:te Enkia till säija; Mons:r Soldan blef inkalladt och honom berättat, at hans contraparter hafwa låtit denne"
8,RO_1684-1687,0038_0038,"u Margareta Larß dotter desslijkes uthi domen af d: 10 Novemb: emillan dhem och Sahl: Claus Wargens Enkia, befinne sigh mycket graverade, dhem beneficium Appellationis må tillåtas, S:r Hans Berend Soldan b"
9,RO_1684-1687,0039_0039,"Jeremia, såsom fordom Förmyndare för Sahl: Lars Anderssons barn kiärandhe; Contra Sahl: Claus Wargs Enkia, igenom hennes Sohn Mons:r Johan Warg Swarandhe; Die 8 Novemb: kiärandhe förmedelst des öfwergifwne"
