,parent,file,context
0,RO_1684-1687,0005_0005,"; wijdhare framstellte Actor till wittne sin Krögerska Karin Larßdotter, Soldathen Nielss Jäppesons hustru, hwilken sub fide juramenti be- kiändhe, sig hafwa sedt, at då Actor wille tillbör¬ ligen aga sin d"
1,RO_1684-1687,0005_0005,"rmenandhes der wara Skomakare saker uthi, som då intet war, der hoos dee rijfwit och slagit Actores hustru för bröstet, at hon an- nu under hiärtat är upswullen och ligger till sängz, hwilket Eskell Fiscal "
2,RO_1684-1687,0005_0005,"at wittna, effter som dhe hafwa besedt hustrun, och berättadhe Sibbi Kopra wijdhare, at kiärandhens hustru, dhen tijdhen hafwer kommit löpandhes medh hufwan i handhen till honom och bedt om hielp, beder alt"
3,RO_1684-1687,0005_0005,"kia effter Bön- håsar, då dhe och så gådt till Klagandhen, och när dhe kommit in hafwer Klagandsens Hustru straxt tagit på at skrijka och ropa, säijandhes hennes man wore intet hemma, då Reus befalt sin Påi"
4,RO_1684-1687,0006_0006,"ter Bertill, elliest hadhe dhe intet giordt, och neka dhe alldeles, at dhe hafwa slagit kiärandhens hustru, eller någon kista söndher; Rei blefwo tillspordhe hwarföre dhe så manstarka hafwa gådt uth på exec"
5,RO_1684-1687,0006_0006,"ndhen Stadz dragaren Jöran Eskellsson, föröfwandhes der allahandhe wåld- samheet och slagit Actoris hustru på bröstet, att bröstet ännu effter inkomne wittnes bördh ähr up swullet; Altså dömes bem:e Skomaka"
6,RO_1684-1687,0006_0006,"i så måtto 4 klagandhen ifrån tagit hafwa, jämpte till 12 mk:r Smt för blånadt, som dhe klagandhens hustru slagit hafwa effter dhet 9 Cap: Sår:m: B: i Stl: och blifwer klagandhen åthwarnat at achta sig för "
7,RO_1684-1687,0006_0006,"t hemma då denne arrest ähr lagdt, uthan då förrest på Landhet wiste altså intet der af, hwadh hans hustru hafwer"
8,RO_1684-1687,0007_0007,"est, så effter det ähr res mali exempli, som uthi saken ähr föregången, altså dömes han, så för sin hustrus pecerande, som han för dhet på et otill- börligit ställe sålt öhl, denne gången allenast till 10 mk"
9,RO_1684-1687,0010_0010," warit fången, haf:de Stadzdrängiarne intet mehra drucket hoos honom; Krögarens Thomas Hindrichßons hustru berättadhe äfwen som hennes man, och at drängen Pavo altijdh är kommen drucken dijt, och druckit öh"
10,RO_1684-1687,0011_0011,"röfwer, at hans häst för detta tillmähle skull af Kiärandhen wåldsamligen ähr bort- tagen, och hans hustru der medh restulhe landet Wittnet Christer Thomasson blef inkalladt, som atteste¬ rade sig hafwa hör"
11,RO_1684-1687,0011_0011,"m, fahn har rijdit mig, at iag uthi drucket modt hafwer sagt, at Reus mehr Tobak hadhe, hwar- på en hustru frågat samma Arbetz karl, huru mycket Tobak warit? och arbetz karlen swarat, 1 1/2 Rulla; Rius stäl"
12,RO_1684-1687,0014_0014,"dde, och der öfwer fölljandhe doom affattat; Sententz. Uthi Sakens S:r Jochim Brökers kiärandhe och hustru Elisabeth Törner Swarandhe, blifwen ef- ter inkombne Acter skriffter och producerat obligation, gif"
13,RO_1684-1687,0014_0014,"ooms dato alt här till à 6 procents åhrligen- som giör 13 RD: 15 öre Smt:, Skräddaren Mäst.r Gilius hustru Kiärandhe Mons Hans Hinrich Tobin Swarandhe,"
14,RO_1684-1687,0015_0015,"r my: bötzena, Rei Fullmächtig legitimerar sin Persson igenom en af Reo utgifwen Fullmacht; Actoris hustru, klagar så öfwer slagsmåhl, som öfwer skieldzordt, som Rius hafwer henne öfwerfallit medh, och berä"
15,RO_1684-1687,0015_0015,"igen hennes man dhen lydten hafwer basat up henne; klagandes der jämpte accon- veniendo at Giliuses hustru injurierat honom; Aiteix; nekar alldeles till injurier, som Rius henne tillmähler; Sententz. Effter"
16,RO_1684-1687,0015_0015,"ekar alldeles till injurier, som Rius henne tillmähler; Sententz. Effter som Klaganden Johan Gilius Hustru straxt på Färska giärningen framwijst åth- skillige stora blånadher på armen, som Swa- randen Hans "
17,RO_1684-1687,0015_0015,"swaran- dhen der jämpte för behållet, lagligen at uthföra sina förmente injuriesak, emoth förbem:te hustru; Fiscalen Eskel Thomason kiarandhe Erich Närman; Swarandhe Die 9 Aprill Actor klagar at Swaranden h"
18,RO_1684-1687,0016_0016,"otillbörligit ställe, och medh ett orättmä-  tigt mått: Reus Exciperade detta wara skedt uthaf hans hustru uthi hans frånwahro, berättandhes der jämpte sig hafwa en prætension på dragarens Kupparen Pec- kou"
19,RO_1684-1687,0016_0016,r sådhan otillbörligheet; S:r Bröker nomine S: Jost Stewen kiärandhe Skräddaren M:r Johan Giliusens hustru S: Die 16 Aprill Actoris fullmägtige inladhe sin libell in p:n injuriæ verbal: jämpte några Articla
20,RO_1684-1687,0016_0016,"h hon wet om denne saken, hwar på han attesterade på sit samwe- te, sig haffwa hört på gatan at Rei hustru män han kom uthur H:r Stewens huuß sadhe du äst en skiälm och en hundztiuf, men testes för- stodh i"
21,RO_1684-1687,0017_0017,"juramenti, att Rei hustru sagt hundztiuf, mehra hadse hon intet hört Test: 3: Sahl: H: Claus Wargens Krögerska Walborg Mattzd"
