,parent,file,context
0,RO_1684-1687,0025_0025,"rne förman- te at hålla fredh sin emillan wedt 40 mk:r böther Fiscalen Eskel Thomason kiärandhe Een kona här i Stadhen Brijgita Hinrickz Dotter ben:t från HeppoJerfwi; Swarandhe; 22 Die 27 Augusti, Actor "
1,RO_1684-1687,0033_0033,"he, Carin olloffs dotter ben.dh Actor gifwer tillkiänna at Swaranden hafft, lä- gersmåhl medh bemt; kona tillhopa, och aflat ett flickobarn, Swarandhe tillstå Factum, och at sådhant wore skedt, då dhe war"
2,RO_1684-1687,0141_0141,"ll sielfwa hafwa uphållit, har medh uphäfne; Actum et Supra Stadz Fiscalen Almenius, emoth in Lööss kona Maria Martens dotter benembd angående Lönske, läger; dhen 8 Aprill. Stadz Fiscalen Mons:r Almenius "
3,RO_1684-1687,0141_0141,"adz Fiscalen Mons:r Almenius C: Maria Mårthensdotter een Lößkona; Kärandhe klagar, at denne ogiffta Kona har hafft otillbörligit Lägersmåhl och fådt barn; Swarandhen tillstår, sig hafwa i förledet åhr war"
4,RO_1684-1687,0144_0144,"cht förwijst ad forum Competens; 141 37. Dhen 11 Aprill. Stadz Fiscalen Almenius. Contra Een ogifft kona Walborg Erichzdotter benembd ifrån Nötheborg, Fiscalen klagar, at denne kona har aflat et barn uthi"
5,RO_1684-1687,0144_0144,"ius. Contra Een ogifft kona Walborg Erichzdotter benembd ifrån Nötheborg, Fiscalen klagar, at denne kona har aflat et barn uthi olofl:e lägersmåhl, Rea tillstår sig hafwa warit några åhr för i Stadhen och"
6,RO_1684-1687,0159_0159,"de båda warit i tienst hoos Handelsman S:r Dittlet Jochims; kens tillstår sådant så wyda, at bem:te kona tubbat honom der till och lagt sig i hans Säng; men barnet som hon aflädh kommer intet honom till, "
7,RO_1684-1687,0187_0187,"som Tun- der uthi pouslön anfertrodde at föra till karandhe Stadz Fiscalen Almenius, emoth een Löös kona Maria Mårtens dotter benembd, angående a) lönske läger............. Stadz Fiscalen Almenius, emoth "
8,RO_1684-1687,0187_0187," Almenius, emoth kunne Maria Erichzdotter in p:to Supri- Stadz Fiscalen Almenius i emoth een ogifft kona Walborg Erichzdotter benembd in p:te Stapre Sondelssman Hans Pölke emoth Tyska Kyrckians Förståndar"
9,RO_1684-1687,0279_0280," och förordnas, effter Kongl. Executions Placat, vd: p: 220: Stadz Fiscalen Matthias Almenius sampt kona Beata Cristersdotter, kärandhe Emot StadzHökaren Thomas Erichson Myhlare Swarande, Stadz Fiscalen g"
10,RO_1684-1687,0366_0367,"olijden till 12 öre Sm:t effter denne Stadzens Rättegångs ordinants, Samma dagh hadhes för Rätta om kona Elsa Christers dotter hemmledt föddh i wekallar hwilcka beskylles haf:r för eet åhr sedhan afladt o"
11,RO_1684-1687,0378_0379,"364. och ingen annan, Man eller kona; hwilcken Kongl. Maijt förklaring hwidh hwar och een domstohl bör observeras. A:o 1686: d: 4 Decemb"
