,parent,file,context
0,RO_1697,0004_0005,"iel Hinnell och Baltha- har hado med Rådmännerne Christi an Hueck, Lars Malm och Jacob Bois- E.O.J. man. Handelssmannen Hans Jürgen Lackman gaf igenom inlagd Supplication tillkäna de, det han wed sin hee"
1,RO_1697,0004_0005," sin heemkombst ifrån Wijborg förnummit, huru såssom denne Rätten honom Sipärer öfwer Ciembnärs do- man i Engen- Lagens Saak. honom pålagt Handellssmannens i Lö- beck S:r Engenhagen förmeente fordring at"
2,RO_1697,0011_0012,"tijdh laga broen, hade han ingen nekat. Sedan berättade Rådz Tienarne Måns Gadde och Augustin Long. man opå tillfrågan, att dhe sedt rummet der hästen brutit sitt barn, som warit emellan Kopoinens och Sa"
3,RO_1697,0016_0017,"t han sedt Annikas Moder Carinhaff på fingren 2ne Sölfwer ringar, och att Annicka sagt, dett hennes Man dem hittadt, mehra wiste han intet och togh så affräde. vid: 40. Thomassons gårdh här i Staden för "
4,RO_1697,0017_0018,"derkastat sig i detta måhl Stadz Rättens Jurisdiction, hwilken 2:o icke heller skall wara konungens Man eller 29 een Cronobetient, uthan Licentmest:n Lindm. med mehra som han ej dess Exception så wijda a"
5,RO_1697,0018_0019,"ns uthförande, effter som han, som opsagt sin handtering å denne ohrten torde resa här ifrån, innan man kun- de erhålla något remiss i detta måhl. Mart:s Martens förklarade sigh willig att stella. för si"
6,RO_1697,0019_0020,"ne det intet giöra kunde? hwar till hustrun swarat; det hon såldt sin kiortel åth Anders Tyskä, men Man- nen då warit aldeles höpen; tilläg- giandes wittnet, att denne Johan som är hans granne tillförend"
7,RO_1697,0026_0027,"aria, sampt 2ne barn med henne samman aflat. Rätten til sporde honom, hwarest och af hwilken Präst- man dhe wijgde woro? hwar till Jacob gaf till swars, att een Präst på Stzka- ri h:r Samuel Lentz ben:dt"
8,RO_1697,0029_0030,"ppå yt- terligare, att emedan hon uti denne sin uthsago wore aldeles skilliachtig med sin förmeente Man Jacob Kifwienen, i ty hon wille påstå sig i Narfwusi wara med honom wijgder, men han föreburit såda"
9,RO_1697,0031_0032,"tet mehra öhl då H:r Lieut:n Duben och Fendrichen Jordan sagt till Hebenstrijdt honom sielf sedt at man icke kände bekomma Öhl, hwarföre det wore bäst att hålla opp, hwar på Ste benstrijdt sig högt oblig"
10,RO_1697,0034_0035,"e instälte sig och åf:n be:te Soldat An- ders Anderßon, berättandes att denne rättens wakare Lijsas Man Soldaten Gustaff Pehrsson wa- rit een rum tijdh borta ifrån Lyssbeta, men hon lijkwäl blifwit hafwa"
11,RO_1697,0035_0036,"eskylte Lijssbeta tillstod att hon warit hafwande Hr då hon gådt uthur åf:r be:te Krig af sin ächta man Soldaten Gustaff Pehrsson hwarföre hon intet orsaak haff sitt foster att förgiöra, berättandes huru"
12,RO_1697,0035_0036,"r befalt att gå bort, hade begifwit sig in hoos Snickaren Jöran Petersson, och där tillijka med sin Man, som då warit siuklig, oppehållit sig i Snickarens Bad- stugu 63 stugu; Enär nu Snickaren fastlagzf"
13,RO_1697,0035_0036,"h högel: nekade sigh med någon fremmande den tyden bedrifwit otucht, uthan hade hoon Barnet med sin man aflat. I lijka måt- to nekade och lyssbetas Moder sig således tahlt, som Anders berättadt, uthan so"
14,RO_1697,0037_0038," effter som han icke straxt i hennes Mans Lijfztijd, uthan först om Pingsttijden, som ma dag hennes Man blif:t dödh, giordt saken anhengig, och bracht henne därige nom uti arrest, oachtadt honom icke kun"
