,parent,file,context
0,RO_1697,0004_0005,"S:r Engenhagen förmeente fordring att betala, emedan nu han förspordt det Organisten Peter Wolfgang Moder, hwil- ken han befullmechtigat emoot Ciembnen Rättens doom att protestera, sig altzen- tet å hans w"
1,RO_1697,0014_0015,"wer ket tillförene pantt satte ringar inlöst derest han och öfwer tåget, sampt fodret hoos Annickas Moder igenbekommit, ehuru- wähl hon /: Modren :/ der till i förståne nekat, skolandes och Modren såldt bo"
2,RO_1697,0014_0015,"an fådt spaning der opå sampt h sampt sökt der effter utj Soldat Baragven på Skantzen, hade Annikas Moder nekat, sig af Pelsen weta, ändock hon sielf der opå suttit och Pelsen då genstan hoos henne igenfan"
3,RO_1697,0015_0016,"fallning säger sig sisterat för denne Rätten, inty- gandes han uthan exception Edeligen aff Annikas Moder Soldatens Bengt Erichsons En Carin Thomasdotter an- budit honom een Pelss till kiöpz, sampt begiärt"
4,RO_1697,0015_0016,"att een pelss wore för honom borta, hwar- opå witnet gådt med Besökaren till Ba- raqven der Annikas Moder Carin hafwr sitt quarter, hafwandes Carin opå tillfrå- gan nekat Pelsen eller fodret wara hoos henn"
5,RO_1697,0016_0017,"26 tens Compagnie, hwilken uti Eedhstadh in- tygade, att han med Annickas Moder sampt föregående witne Pehr Larsson ligger utj ett Qwarteer på Skantzen, och han uthaf det tillfäll"
6,RO_1697,0016_0017,"ngh blifwit warse, huruledes Annika, den tijden hon tiente hoos Besökaren Lindberg hemptat till sin Moder een hoper swar ta band, af 2 fingers bredd, då Nielß henne frågat, hwar hon fådt banden? och Annika"
7,RO_1697,0016_0017,"före bandet uti Marknadz bodorne; hwad Pel- sen angår så säger witnet, att sedan Och Annika med sin Moder ifrån Kolijoki hemkom, hade dhe föregifwit sig fådt Eelsen uthaf Leutnanten Schulman, och kom ut de"
8,RO_1697,0016_0017,"t öfrige med föregående, witne öFwer ens Messing knapparne säger Niels sigh sammaledes hoos Annikas Moder hafwa sedt, hwar af hon några åth honom förährt Annika förklarade sig, att desse knappar wa- rit he"
9,RO_1697,0016_0017," Pelsen giorde lijka relation medh föregående föregående wittnen, tilläggandes att han sedt Annikas Moder Carinhaff på fingren 2ne Sölfwer ringar, och att Annicka sagt, dett hennes Man dem hittadt, mehra w"
10,RO_1697,0021_0022,"efalt honom sökia effter dhet då om natten bortstullna häste läget, dess uthan och i fall hans Maat moder honom emot dess willia utur tiensten drifwit, så hade Jacob ålegat lagligen att biuda sig i Tienste"
11,RO_1697,0024_0025," Licent Besökaren Daniel Lindberg och des förra Pijga Annicka Mattzdotter, hwar wed framkom annikas Moder Carin Thomas dotter; hwilcken förehöltz aff Rätten, hwad dhe emoot hennes dotter Annicka producerad"
12,RO_1697,0026_0027," Staden och för åfde beskyllning äfwen wäl fast satt :/ påståendes Jacob högel. att han swed hennes Moder Walborg Jörens dotter be:de, intet skall wara wrygder, uthan wed förbe.tt Maria, sampt 2ne barn med"
13,RO_1697,0026_0027,"- wandes han reest Siölades till Ingris, men först warit 2. Wekor i Sesta by hoos denne sin hustrus Moder Syster, seijandes opå wijdare tillfrågan, det han uti Ingris Godz oppehållit sigh wed pass 7. åhr, "
14,RO_1697,0027_0028,"ef sätter i Stockhuset, för Anders tillstådt, att 47 att han wed denne sin förmeente hustrus Marias Moder Walborg warit wygder, och Maria, hwilken han nu föregifwer wara dess hustro, wore hans Styfdotter, "
15,RO_1697,0028_0029,"och kommit med een Båth till Ingris, men i medler tijd intet warit i Sesta, ändock hon hade der sin Moder syster. Maria till- spordes ytterligare om icke hennes Mo- der warit wijgder wed Jacob Kifwienen. M"
16,RO_1697,0028_0029,"eitz: kari hollma förr än han blef med hen ne wigder i Narfwusi by, hon till- frågades om då hennes Moder wetet ock denne wygningen och warit där wed tillstädes? hwar opå hon swarade, att fuller, Modren we"
17,RO_1697,0028_0029,"Hakaja by sig samma gång instelt, och då detta dem emellan blef slutit, hwar effter Maria och henes Moder reest med hööbåten tillbaka, och enär Maria andra gången reeste med Båten effter höö, hade hon blif"
18,RO_1697,0029_0030,"afningz stelle der på Seitzkari. Rätten tillsporde Maria om Jacob warit wygder wed hennes kiötzlige Moder och om den samma än nu lefwer, sampt förstådt och wetat hen- nes otilbörlige omgänge med Styffa- dr"
19,RO_1697,0029_0030,"ffa- dren, och at hon wore hafwande? R. Walborg, som Jacob warit wijgder med, wore hennes kiötzlige Moder, wetandes hon intet om Modren än lefwer, men så skall hon den tijden warit wed lijfwet, dock icke f"
20,RO_1697,0034_0035,"ses Swärmoder An- nika och hans hustro Annika Påhls dotter tagit tillfälle, att seija till lysbetas Moder Annicka Jörensdotter, då hon för leden Påsktijd kom till dem i Borgmester Lador Krogh: den stackars"
21,RO_1697,0035_0036,"62 lan lijkwäl ährligen bordt skiöta det: hwar till Lysbetas Moder skulle swarat: hwad som skiedt är det än skedt, om icke elaka Menniskior det uppenbarade, så skulle"
22,RO_1697,0035_0036,"en bedrifwit otucht, uthan hade hoon Barnet med sin man aflat. I lijka måt- to nekade och lyssbetas Moder sig således tahlt, som Anders berättadt, uthan som så wähl Anders, som hans hustro hoos en och anna"
23,RO_1697,0037_0038,"Anders inwende det han intet wetat där af, seijandes sig icke wijdare beskylla henne än hwad hennes Moder sielf sagt. Tyssbeta bad att hennes wittne Juffmakaren Hin drich Sigfredson måtte blifwa afhörder R"
24,RO_1697,0045_0046,"Borgmestarens Lados Krogh, och då hördt att Liessbeta Jöransdotters Moder Annika Jö- rens dotter wed det hon med Anders ban- natz, lagt: det är nu skiedt, som skedt äro den "
25,RO_1697,0046_0047,"84 tu Moder Annika Jöransdotter wid sin förra uthsago, williandes med sin Edh er- hålla, det hon icke annorlede"
26,RO_1697,0046_0047,"ers Andersons hustro Annika att så wäl hennes Man, som och Gertrud Andersdotter sagt, att Lyssbetas Moder Annika af annat tahl blifwit föran- låten till dhe formalier som han skall bru- kat, hwilket icke ö"
27,RO_1697,0046_0047," formalier som han skall bru- kat, hwilket icke öfwereens stemmer med hennes uthsago, att lyssbetas Moder utan föregången ordwäxling i samma orden skulle uthbrustit. Annika Andersdotter explicerade sigh, a"
28,RO_1697,0046_0047," af weet; eij hel- ler huru med Lyssbetas foster är gångit och tog så affträde Tyssbesta och hennes Moder Annika Jörens dotter påstode begge, att han 14 dagar där effter, som hon blifwit öfwerkiörder födt,"
29,RO_1697,0047_0048,"er förgiordt; Men Anders uthlät sig, att han intet wijdare hade an- gifwit Lyssbeta, än hwad hennes Moder sielf om thenne tahlt, seijandes att han henne intet för Barnamord beskylt, effter som han icke wee"
30,RO_1697,0049_0050,"yndare för Påhl Bu- ohårdt utj Sal. Rådmannens Diedrich Blans stelle, effter som icke allenast hans Moder hu- stro Elisabeth Gamberg uthan och Handelss- mannen Govinius det åstundar, åliggian- des deße För"
31,RO_1697,0049_0050,"wad lyssbetas foster anbelangar icke hel- ler wijdare beskylla henne därföre, än han af hennes egen Moder hördt, och Rätten allareda tillkänna gifwit; Men att lyss- beta beta lefwat löössachtigt, enär han "
32,RO_1697,0049_0050,"Sommars straxt effter det lyssbetas Man Soldaten Gustaff Pehrßon blef begrafwen sedt att Lijssbetas Moder Annika Jörensdotter med en Krögares Christers hustro och en annan hustro gådt tillhopa, bärandes ut"
33,RO_1697,0056_0057,", instellandes sig opå Hyros wägnar dess Sölf Swärson Borgaren Mårten Grän, med berättelse att hans Moder och Styffader honom ombedit gå opp för sig, effter som Modren hade befalt uth- föra Tiggiaren, hwar"
34,RO_1697,0071_0072,"0, åhr stådt orubbat och hafft laga krafft, dess uthan skall och han emot 20 åhr födt sin Sal. Swär moder, hwar emot Jöns altz- intet beswär för henne hafft, beropan- des Ryttaren Teck och hans hustro sig "
35,RO_1697,0084_0085,", och gaf Biörn Finne till- känna, det Johan Lupiains Lilla dotter skall sagt, att hennes Fader och Moder an- dra Båskdagen bortfördt någre saker uti 2ne Säckar, förmenandes der ibland wa- 2ne Nästl rit af"
36,RO_1697,0112_0113,"dess Syster Sons Petri Both neri wägnar hafwa slutit med hwar an- nan, angde Arf effter dheras Sal. Moder och Moder Moder, fordom Rådmannens Peter Schlyters effterlefwerska dygdesame Matronan Dorothea Fedr"
37,RO_1697,0112_0113,"r Sons Petri Both neri wägnar hafwa slutit med hwar an- nan, angde Arf effter dheras Sal. Moder och Moder Moder, fordom Rådmannens Peter Schlyters effterlefwerska dygdesame Matronan Dorothea Fedrell, som s"
38,RO_1697,0112_0113," Petri Both neri wägnar hafwa slutit med hwar an- nan, angde Arf effter dheras Sal. Moder och Moder Moder, fordom Rådmannens Peter Schlyters effterlefwerska dygdesame Matronan Dorothea Fedrell, som sielff "
39,RO_1697,0112_0113,"n Surij för sigh och dess Systerson Bothnerus, anhållandes där jempte, att som förbem:de hans Sahl. Moder honom satt till förmyndare för dess Syster Peter Schlu- ters och Alexan der Sunistrans action inpro"
