,parent,file,context
0,RO_1684-1687,0017_0017,"uthi H: Ziliax Krogh, och der hört at Rei: hustru enär hon kom uthur H:r Stewens huus sadhe Stewens Son hwem är en hundztiuf, mehra wiste wittnet intet; Test: 4: Thomas Erichßon som har tillförenne tient"
1,RO_1684-1687,0017_0017," Krögare bekiändhe hus fidejuramenti att Rei hustru, för än hon blef slagen sadhe åth kiä- randhens Sohn Cort, du har dölgt undan min hundh, mehra wiste han intet af Saken; Test: 5: Denne Krögarens hustru"
2,RO_1684-1687,0017_0017,"org oloffzdot- der, intygadhe sig hafwa intet förstådt, hwadh som Rei hustru talte medh H:r Stewens Sohn på Tyska men detta har hon hört, at för bem:te Hustru trätte medh H:r Stewens små Söner och skiälde"
3,RO_1684-1687,0021_0021,"m- men inför Rätta, må der före straffas effter Lagh och dertill constringeras, at han sielf i Per- son upkommer, så länge han ähr här tillstädz och denne Saak concernerar injurier;"
4,RO_1684-1687,0025_0025,"la, eller sedt at kiärandhen blif:a slagen medh Klubban; Test: 3:tio Johan Paulson en Stadzdragares Son, bekiände det samma, som dhe förra wittne hafwa uth-  sagt, och at han jämpte dhe förra wittne hafw"
5,RO_1684-1687,0025_0025,"r anklagar Swarandhen in p:te Stupoi; Swarandhen bekiänner, at hon ähr belägrat af Kyrkio- herdhens Son i Nykyrkian bak om Eurepä, Johan ben: och sådant ähr skedt i sahl Andreas Ryggens Krogh här i Stadh"
6,RO_1684-1687,0025_0025,"ch sådant ähr skedt i sahl Andreas Ryggens Krogh här i Stadhen, hafwandhes hon afladh medh honom en Sohn, som blef födder förleden Påsk här i Stadsen och är ännu i Lijfwet; Qu: när hon ähr belägrat? R: fö"
7,RO_1684-1687,0025_0025,"dhan Konan Brijta Hindrichzdotter sielf tillstår sig hafwa hafft ett lägersmåhl, medh Kyrkioherdens Sohn i Nykyrkia bakom Europä Johan bemte, och medh honom aflat en Son; ty blifwer hon effter Kongl: Stra"
8,RO_1684-1687,0025_0025,"tt lägersmåhl, medh Kyrkioherdens Sohn i Nykyrkia bakom Europä Johan bemte, och medh honom aflat en Son; ty blifwer hon effter Kongl: Straffordning, denne såsom första gången för wärdz- lig straff, befri"
9,RO_1684-1687,0031_0031,"- ser åtskillige gånger, så och af Mag:r Carstenio, af Fältskiär Tobias, nyligen och af min måg och Sohn 4: Om icke han minß at h:r Pölken gick för honom i lyffte, at han skulle hålla sig nychter och wara"
