,parent,file,context
0,RO_1697,0038_0039,"samt en annan i den aflednes ställe consti- tueras, där till hon åstundar fram för någon annan dess Swåger Claes Berg, att hon så medelst kunde få tillfälle giöra sig så myckit mehra underrättadt huru henne"
1,RO_1697,0064_0065," Grän för honom suttit, hafwandes dhe ibl. annat begynt tala, om den hästen, som Ackerfelt af Gräns Swåger Quartermest:n Erich Nääs sig någon tijd tillförene tilbytt, och Acter- felt denne hästen åth Gran t"
2,RO_1697,0071_0072,"76, d: 27 Aprilis dömbdt emellan Jöns Jeppe- sons Antecessor Matrimonij Hindrich Knut- son och dess Swåger Anders Staffanßon och dess Sal. Swärmoder Carin Nilßdot- ter, sampt då dheras Arfz prætension ogill"
3,RO_1697,0074_0075,"racticerat; altså pröfwer Råd- stugu Rätten skiäligit, att Jacob Michel, hon till Anders danielsons Swåger. så Erich Wainicka såssom kiärande och Måhlssägande i denne Saaken, böör re- stituera Säcken och Br"
4,RO_1697,0107_0108,"os Sahl. Kröger igenom Handelssmän- ner Christian Diedrich Lange, och Henrich Gråån, såssom Krögers Swåger hafwa låtit påminnelse giöra, som af dhe vidimerade Langens och Grans bref, Extracter af Dat: d. 29"
5,RO_1697,0122_0123," dhe kunna öfwereens komma. Deremoot tillsäger och försäkrar hustru Anna Sophia Debin på åf:de dess Swågers försäkring, att blifwa för allom wijdare otilltalter och att han dem, i fall af någon upkommande d"
6,RO_1697,0124_0125,"240 hemma hoos sigh att berga, så hade hwilåtit läggia det utj des Swågers Sahl. Hinrich Kösters kiellare, hwarifrån sedan Stadz Mäkla- ren Sahl. Bogislaus Röling det till B"
7,RO_1697,0137_0138,"f Swarandens Patron Abraham Levi Möller inbekommit, och Han- delssmannen Debin sitt Toback uti dess Swågers Sahl. Handelssmannens Kösters kiellare inlagt, hwilket dhe sedermehra igenom Sahl. Bogislaus Rölin"
8,RO_1697,0140_0141,"ten, han af Ackerfelt kiöpt? hwar på han gaf till swars: att Acterfelt enär han samma häst af Gräns Swåger Qwar- termest:n Nees bytt, föregifwit samma häst wara lijtt och Taam opå alla fötterna hwarföre han"
9,RO_1697,0155_0156,nnens Sahl. Hin- rich Lösters Enckias dygdesahma hustro Anna Sophia Debins wägnar inlefwererade des Swåger Musicanten Hans Hinrich Zindt een Cessions Skrifft om Handelssmannen Carl Pohin d 30 Aprilis A:o 69
10,RO_1697,0179_0180,"hafwa, såssom den deröfwer uprättade Attesten af åhr 1688 d. 8 Apri- lis af Alexander Suns och dess Swåger H:r Andrea Rothnero underskrefwen, det när mare skall dictera, så blifwer och alt des som effter sa"
11,RO_1697,0211_0212,"412. swara hans Swågers Slächtinge, hwilken henne intagit, och hade Matz fuller sedt henne bör ra blåkåhl under armen, men"
12,RO_1697,0249_0250,"et stå hoos henne orördt Sedermehra lät Rådman Blomens Enckia hustro Catharina Barckman igenom dess Swåger Rådman Hinrich Luhr sig förklara, att hon Sr Langerack och Nissing icke kenner eller det ringaste m"
