,parent,file,context
0,RO_1684-1687,0104_0104,bekände och Gåssen det han hafwer fått förnimma af en ander gåsse att pijgan hafwer bekändt för sin syster och sagt der icke han will ächta migh så will iagh angifwa honom d: 8 Septemb: höldtz laga Rådh stu
1,RO_1684-1687,0104_0104,"ers swarat hwadh kom mer det tigh weedh, iagh lågh hoos henne och be- l. p. Eder! kändt för Lyskens Syster Margeta att han lysken hafwer tagit om hållßon och kijst henne, hwil ket och gåssen tillstodh sigh "
2,RO_1684-1687,0120_0120,"sten nembl:n Rådhman Hendrich Jäbell och Samuell Forsman frijmans Sölfwer bleef upwägit som han sin Syster wille gifwa emoth betal:n nembl:n Een Sölf.r kiädh wäger 2 3/4 lodh noch den andra, 3¼ lodh, en för"
3,RO_1684-1687,0156_0156,"å åtskillige förmaningar intet skaffa dhen ifrån sig; Suaranden exciperadhe, at pigan wore han- nes syster dotter som han håller hemma om Swaranden sielf går uthur huuset; Emedan Swarande Frögerska Elle Daw"
4,RO_1684-1687,0181_0181,"sammes bänck ginge aldrig klagat öf.r trångt rum, uthan 2: af egit behagh fört Handelssmans Buschet syster medh sig i samma bruuk, uthi hwilken 3: alla som då tillstädes woro, wäl hafft så mycket rum, som d"
5,RO_1684-1687,0182_0182,"rdz- mästarens hustru Anna då littade igenom badstugu fönsteret, och sedan påiken tillijka medh sin syster kom till bem:te hustru hadhe han sagt till honom afy skiäm dig hwadh du har giort medh skyndan, men"
6,RO_1684-1687,0183_0183,"t till giöra, uthan ohem gafahl för 3 månadher om een afften sent hafft till beställa medh sin egen syster som är ungefehr af sine 5 åhr, i dhet han lyfftat upp hennes kiortel och Särk, lagt henne ned på go"
7,RO_1684-1687,0185_0185,"418 barn, men ingendera af barnen hade någons sagt, at påiken bedrifwit någon odygdt ended deß Syster, som han mente wäl af barnen wara efftertalt, om dhe sedt något; men at kåcken intet hafwer sit ful"
8,RO_1684-1687,0185_0185,"r och så actui provimus, änn at han hafft rem in re, antingen hoos hunden eller Swijnat, e- och des Syster, nekade han nu alldeles till, så randes sig intet hafwa förstådt, hwadh han senast för Rätta hafwer"
9,RO_1684-1687,0186_0186,deslykest och straxt der effter medh een hugga 3: sampt sedhermehra hafft beblandelse medh sin egne syster som warit af sine 6 åhr; Så emedhan lijkwäl samma påike befinnes 1: då dhen tijdhen warit allenast 
10,RO_1684-1687,0240_0241,"; Stadz Fiscalen Matthias Almenius Emot, Hinrich Gottschalks hustru Annika Johans dotter och hennes Syster Beata Jöns dotter Käranden gifwer å Embethes wägnar till- kenna, huru såsom den andra påskdagen uth"
11,RO_1684-1687,0304_0305,"richsons Assignation authlefwereras, uthan blifwa des barn för des Möderne till bästa ly hans Styff syster wiste intet af detta gieldh, uthan räminner sigh, at hennes Man Tomas för een liten tijdh sedhan af"
12,RO_1684-1687,0310_0311,"lande, säijandes skall då hundz et, som ännu äst een poike, wara een Echtenskap diefwul emellan min syster och minhafwa ty wylka Soldan altijdh in till honom igen, men Evert: Stock stelte sig i dören och wi"
13,RO_1684-1687,0353_0354,i denne Saken at producera; Anno 1686: d: 11: Octob: Constabeln Staffan Ranthan Förlijktig medh sin Syster ursula Ränttan anwående deraf Sal. Faders huuß och Tempt att han förunte sin Systerandh des barn at
14,RO_1684-1687,0409_0410," at sedan han slap bort uphölt han sig mäst i Skogen, men stundom hade han warit om natten hoos sin Syster som då tiente hoos förre Rådztienaren hans, men hwarken hade bem:te Rådstienaren eller dhes hustru "
15,RO_1684-1687,0414_0415,"af det upsåth at stiffta oreeda, helst emedan han strax effter Måhltijden begynte at piquera på Rei Syster den han reda tilförene hoos hennes Man welat förolempa, hwarföre och Reus kom med honom uti Strijd "
16,RO_1684-1687,0426_0427," Lars Anderßon Arfwingar, såsom deras förre pupiller! Fiscalen urgerade på Sluut uti det som bem:te Syster och Erland på deras förre Pupiller effter ingifwen Reek- ning prätenderar D.r Cort Tunder såsom Ful"
17,RO_1684-1687,0470_0471,"nd ähr af Lagmans Rätten; begiärandes derföre hon Dilation i saken, till dess hon finge skrifwa sin syster Assikains änkia till derom. 4. Skulle Bröker af Sahl. Wallenstendell offta wa- Råd rit mant om ett "
18,RO_1684-1687,0475_0476,"Replicam. 1 sig hafft orsaak att referera sig emot sin förbittrade förfölliare Otto Soldan och dess Syster och broder hans Be- rendt Soldan sampt Carl och Berendtdobbin, som honom osanfärdeligen angifwit, l"
19,RO_1684-1687,0478_0479,att få hennes huus i possess. Brichtens Änkia lät igenom Hardeloff produ- cera een Attest af hennes Syster Maria Törne att Nembl. hennes Systers Sahl. Man Claes Warge- Emot
20,RO_1684-1687,0548_0549,"r siunka. Samma Supplique blef Sahl. Timmermans Enkia tilsändt. Wijdare anhölt bem:te Blix, att deß syster måt- te een Rekning gifwas om hennes Sahl. Mans löhn, blef swarat att Stadz Cassa Räkningar skall e"
21,RO_1697,0011_0012," och Conrectorens Afanders Gårdar, wore där brede wed belägen; 3:o föregaf Material Skrifwaren dess Syster förlängst hafwa skolat lagat dess gatubron, der icke Christopher Össling, som hafft opsyn öfwer Bro"
22,RO_1697,0011_0012,"gt med hästen, och således Kite denne olyckan sielf förorsakat; Altså bad Materiaa skrif:e att dess Syster i detta måhl kunde befrijas; där emot bybrachte Conrectoren Wyrdige och Wällärde Hr Johan Agander a"
23,RO_1697,0026_0027,"es han reest Siölades till Ingris, men först warit 2. Wekor i Sesta by hoos denne sin hustrus Moder Syster, seijandes opå wijdare tillfrågan, det han uti Ingris Godz oppehållit sigh wed pass 7. åhr, men hon"
24,RO_1697,0028_0029,"mmit med een Båth till Ingris, men i medler tijd intet warit i Sesta, ändock hon hade der sin Moder syster. Maria till- spordes ytterligare om icke hennes Mo- der warit wijgder wed Jacob Kifwienen. Men hon "
25,RO_1697,0046_0047,"samma or- den, wetandes intet härad tilförende parterat Sedan inkallades Anders Andersons hu- strus Syster Pijgan Maria Andersdotter hwilken förmahntes att bekenna sannin- gen, som hon det framdeles wed påf"
26,RO_1697,0046_0047," Soldatz Enckian Lystbeta Jöransdotter war Kröger. ska der i krogen hwarest hon när sin Mo- der och syster då jembwäl wistades, med een eller annan i synnerheet Skomakare gesällen Peter Johanson hafft otill"
27,RO_1697,0066_0067,"ker och fahra om hans Lijf- begärandes Grän, att som Ackerfelt ibl. annat fahl refererade att gräns Syster Borgarens Johan Kyans hustro skiält dren gen för hundz etc. altså sådant måtte anno teras och Acter"
28,RO_1697,0076_0077,"mähler Rätten tillsporde Handelssmannen Wulffert, som han detta slutne kiöpet om gården, dess Styff syster Catharina Wulffert såssom Sal. Menckens Enckia notificerat"
29,RO_1697,0077_0078,"orde- rest hon förtijden wistas, men hon der å altzintet swagat, andragandes derhoos att hans Styff Syster, enär hon Ao sidst här å ohrten warit, och dhe förtyden opå Tompten stående husen blifwit opbygde, "
30,RO_1697,0112_0113," 2 sidstlne Maij, som han och hans Styff- broder Handelssmannen Alexander Jüns å sine egne och dess Syster Sons Petri Both neri wägnar hafwa slutit med hwar an- nan, angde Arf effter dheras Sal. Moder och M"
31,RO_1697,0112_0113,"rus, anhållandes där jempte, att som förbem:de hans Sahl. Moder honom satt till förmyndare för dess Syster Peter Schlu- ters och Alexan der Sunistrans action inpro- tocolleret. Sästersson Petrus Rothnerus, "
32,RO_1697,0139_0140,"Mårten legrän exciperade emot Carl, föregifwandes att karl för detta skall frijat till dess hustrus Syster, och emedan han henne icke erhållit, Bro dij förmeente Brän att han hade derföre någon owänskap emo"
33,RO_1697,0158_0159,"tysk för ett lagt witne icke kunnat ansees derom uthan Eed berättadt hafwer, Hwar- emot dock hennes Syster ogiffta Maria An- ders dotter, som den tijden äfwen wistatz der i krogen uthsagt sig slijkt om Lies"
34,RO_1697,0179_0180,"nsporterat och förlijcktz, att sedan först af drages dhe 6000 D:r K:mt Alexander Junj med dess Sal. Syster Hr Andreæ Rothneri hustro, af deras Sahl. Styffader fordom Råd mannen härsammastädes Hr Peter Schly"
35,RO_1697,0179_0180,"ill een fält begäre. Sammaledes till- står Handelssmannen Suns att och dess half broder aflagt hans Syster Sons Petri Bothnerj dehl äfwen med 800 RD. à 646. Smt: sampt 200 RD: i wahror, och i lijka måtto af"
36,RO_1697,0180_0181,"wara. Och till yttermehra säkerheet och styrckio att Handelssmannen Sunp och dess hustro sampt dess Syster Son nu aldeles här med äre blefne förlykte och Dr 6 M förnöigde, sampt aldrig mehra hafwa nå- gon R"
37,RO_1697,0180_0181,"ltså och emedan be- finnes att Handelssmannen Alexander Sunj icke allenast för sig, uthan och å deß Syster Sons Petri Rothneri wägnar /: såsom om hwilken han så wäl effter dess Sal. Mo- ders disposition, so"
38,RO_1697,0211_0212,"koos. Matz förehöltz hwij han hyst ågneta som är een löös hustro? hwar till han swa- rade: att hans Syster henne intagit. här wed bekande Agneta Mårtensdr ja ytter- lagare tillfrågan sig hafwa sedt, det båd"
39,RO_1697,0211_0212,"t. här wed bekande Agneta Mårtensdr ja ytter- lagare tillfrågan sig hafwa sedt, det både Matz, dess Syster och Syster Man med den för rymbde Wendela ätit blåkåhl. hwar till Matz nekade, seijandes att dess S"
40,RO_1697,0211_0212,"bekande Agneta Mårtensdr ja ytter- lagare tillfrågan sig hafwa sedt, det både Matz, dess Syster och Syster Man med den för rymbde Wendela ätit blåkåhl. hwar till Matz nekade, seijandes att dess Syster giftz"
41,RO_1697,0211_0212,"r och Syster Man med den för rymbde Wendela ätit blåkåhl. hwar till Matz nekade, seijandes att dess Syster giftz honom kokat kåhl som hon sagt wara Rättikeblad hwar till Agneta regererade, att iblt kåhlen w"
42,RO_1697,0215_0216,"g opå Agneta Mårtensd:rs wed senaste Rådst: dag giör de uthsago, att Nembl:n hon sedt Matz med dess Syster och hustrun Wendela äta blåkåhl Men Agneta sade nu, det hon icke sedt el.r wiste Matz hafwa ätit bl"
