,parent,file,context
0,RO_1697,0007_0008,":r af samma slagh som den bortstulne Rågen warit. 2o skall een wäg gå ifrån boden twärt öfwer stora gatan alt in till krogen, der Johan boor utj, och 3:o Johans hustro Maria Jöransdotter beslagit sig ett a"
1,RO_1697,0008_0009,"fwa sedt, att Snöen under Bodan wa- rit bortdrifwen, och där ifrån gådt en lij- ten wäg öfwer stora gatan in till Johans port, hwilcken wäg elliest ingenwerts sig wendt, det så mycket bättre kunnat skönias"
2,RO_1697,0010_0011,"elgen fördt hijt till Staden någon Cronones Spanmåhl, och enär han med någre andre Bönder kiörde på gatan emellan Sahl. Borgarens Påhl Kopparens och Conrectorens pr §. H:r Johan Aganders gårdar, skall Broe"
3,RO_1697,0018_0019,"örende nögat, så hade han sedt footspåren ifrån Bodan gå in till Johan Bertilsons gårdh öfwer stora gatan, hwar uthaf witnet blifwit föranlåten med Handelssmannen Blix"
4,RO_1697,0030_0031,"ßo dagh, enär han war förordnat att collige- ra Quartahls Penningarne för Tyska Kyrckn opå een frij gata låfwat, han wille een gång då Bertram icke skulle det förmoda komma till honom, sönderstå alla hans"
5,RO_1697,0043_0044,"e qwinnes personer, som suttit utj en genneen släda sampt kiördt neder för örget och Berendt Debins gata, men så skall han dem icke kiendt eller weta hwem det warit, mehra wiste han in- tet och tog du aff"
6,RO_1697,0060_0061,"allen och Thomas Topis gård dersammastädes för 40 D:r Km:t, hwilken gård håller i bredz den uth med gatan 13. Reinkändiske Rutor och 10. i lengden, bediandes att detta kiöp opbiudas och Lagl. confirmeras m"
7,RO_1697,0170_0171," så skall Annicka lyfftat kläderne opp om sig, bedt /: Salv. ven:/ kyssa sig der och där, och ifrån gatankastat orenligheet i Bodan, hwar hoos hon skall uthfarit med skiälssord emot Bagaren sielf, och ibla"
8,RO_1697,0197_0198,"386. äpnat farstugudören, honom effterfölgt, dess Kiepp och hanskar honom opå gatan wåld- sambl:n uthur händerne tagit, och honom opå gatan med smödes ord förfölgt intill Sal. Rådman "
9,RO_1697,0197_0198,"fterfölgt, dess Kiepp och hanskar honom opå gatan wåld- sambl:n uthur händerne tagit, och honom opå gatan med smödes ord förfölgt intill Sal. Rådman folckz Enckian gårdz hörn; an hållandes fördenskull, att"
10,RO_1697,0219_0220,"pel medh Handelssmans Sums skedt, hwilken nu af Johan producera- des, påståendes sig den hittat opå gatan uti Soporne; Men omsijder tillstod hon att haf- wa tagit skeden if:n Kiökz spijsen hoos een Borgare"
11,RO_1697,0220_0221,"a måhl afhörder, hwilken intygade, det 16. han förleden, Lögerdag affton Kl. 8 wed pass gådt uth på gatan, att /: Sal: ven :/ giöra sitt tarff, då han sedt een karl komma ifrån Möraset, hwilken uthan att b"
12,RO_1697,0221_0222,"bl. förleden högerdag affton sedan Kl. war 8. slagen dess wärd föregående Staffan Bengdtson gådt på gatan, och wed det han igen inkom, sagdt en karl hafwa gådt i Badstugun, hwarföre han tagit opp Eldh, och"
