,parent,file,context
0,RO_1684-1687,0043_0043,"bekommit en Tompt igen. Rp: hadhe blif:t henne förordnat af Ewert Huuk, at bebo en liten Platz widh Torget. H:r Syndicus swaradhe der till at hon och icke wore capabel at bebyggia någon tompt; skulle dhen t"
1,RO_1684-1687,0053_0053,"Biörn dantza rens nährwaro för ährt Wönsken en hundh, hwar ifrån de sedan bortreest och hunnit till Torget och Wönsken widh affreesan befalt Ryttaren Erich taga hunden i fambn den till Wönskens hemwist att "
2,RO_1684-1687,0053_0053,"aga hunden i fambn den till Wönskens hemwist att framföra dett Ryttaren och giort, och sedan dhe på Torget kombne woro hade Wönsken sagdt welle wij rijda till bakars då Dubben swarat Ney Neij, iagh kan dett"
3,RO_1684-1687,0054_0054,"digh om du icke tager hunden, Erich endtelligen hunden Jagit de sedan bort rydandes och kommit till Torget, då Trumpeter Davitz ropat broder Wönsk bijda och kom hijt iagh will blåssa på Trompetten för digh "
4,RO_1684-1687,0239_0240," 12 5: D KM:t tillbakas, för hwilcka penningar sedhan bem: Buschert skall hafwa twå krambodhar wedh Torget af Staden på 2½ åhrs tijdh at åthniuta, S: Hinrich Luhr lät bemelte gårdz kiöp nu andre gången upbi"
5,RO_1684-1687,0246_0247,"11 samma och Kyrkioherden i Hel- shrewyrdighet således eij kanbjsinget Jurgen Wultert den yngre; på torget, hwarest han och att uthropa Wulfert, frågandes om dhet icke wore taalt i så måtto om Böisman, Wulf"
6,RO_1684-1687,0440_0441,"stenii åstundan mins Amma och een barnflicka; några dagar der effter då Referent wille kiöpa höö på Torget kom- Tunder åter til honom, seijandes ästu härigen din röfware. Tunder bedyrar sig intet sedt denne"
7,RO_1684-1687,0493_0494,204 Actor berättade der emot att Valentin gådt rätt nu öfwer torget som och af androm blef in- tygat. blef altså Lorentz Valentin för Stembning för- sittiande förste g
8,RO_1684-1687,0517_0518,etahla. Borgaren Urban Slyter Gaf tilkenna huru såsom dess Son för 14 da- ger sedan här i Staden på Torget kiöpt een hwijt hästl uthaf een karl af Eurepä Matz Ja- cobßon ben:dh och dess Cammerad Johan som s
9,RO_1697,0129_0130," tilbödh sig att erhålla indock Simon nu wille föregifwa, att han kl. 8, samma affton med Johan opå Torget tahlt. Hwarföre och emedan Kiäranden för- meente sig wela bettre oplysning och be- wijs i detta måh"
10,RO_1697,0170_0171, att Båtzmans Mårten Toijoses hustro Änwicka Hindrichzdotter näst för- Röödhmånaden såldt brödh opå Torget emot Magistratens förbudh; hwarföre Prophossen Hinrich Långa tillijka med Bagarens dreng Bertill Ma
