,parent,file,context
0,Nyen/RO_1684-1687,0129_0129,"et han minnes har falleg Swarandhen begynt om een Saak, som ähr Rå- wanden och Swarandhen emellan i Duderhoff nasserat; hwar i blandh Swarandhen sagt, iagh håller Leutnant Rohr for een skiälm igen, men ord"
1,Nyen/RO_1684-1687,0130_0130," sin exception jämpte een at- tet af bårgaren Herman Bröijer sub sig: O, om dhet som ähr passerat i Duderhoff, och Swaranden föregifwer wara orsaken som honom gifwit anledning till at retorquera; kärandhen"
2,Nyen/RO_1684-1687,0130_0130,"om gifwit anledning till at retorquera; kärandhen swarar, flera personer hafwa dhen tydhen warit på Duderhoff till städes, som först mästa tillijka medh Herman Broijer endeligen afhöras, emedlertydt anhåll"
3,Nyen/RO_1684-1687,0131_0131,"nti examinerad, då han bekende; All Actre. 1: Sådant hadhe Hupen talt för uthan någon påminnelse om Duderhoffz eller an- nan Saak; Ad artri: 2. Affirmat, wid Artri: 3: R: Han har sagt at hwarast han möter "
4,Nyen/RO_1684-1687,0132_0132,er sin Duplie och slutzskrifft jämpte at Attestatum af häradzskrifwaren Mons:r Staff om dhet som på Duderhoff ähr passerat; desslijkest een Expens Räckning af 362 D:r Kopp:r Mymt komandhen producerar än yt
5,Nyen/RO_1684-1687,0132_0132,"t komandhen producerar än ytterligare een attest af Hans Hinrich Dobbin, angående dhet samma som på Duderhoff kan wara förelupet; Swarandhe anhåller at Herman Bröijer må bekräffta sin attest medh Edh; hwar"
6,Nyen/RO_1684-1687,0132_0132,"net märkia at leutnanten hafft nå- gon strijdh medh Hupen, lijkwäl hadhe ingen- annan wägrat sig på Duderhoff at dricka, än Hup allena; H: Borgmästar Stiernman berättade, at Hå radzskrifwaren Lars Staff i "
7,Nyen/RO_1684-1687,0134_0134,"rifft, hwaruthi han (t till under sigh, at wela medh sin Edh bekräffta sig intet hafwa ment Hupen i Duderhoff medh dee ordh een skiälm som intet giör beskedh, (2) begärer at Hans Hinrich Dobbni må och besw"
8,Nyen/RO_1684-1687,0134_0134,"en gångh uthi Saken, sedhermerna hadhe 2:ne opartiske personer redha aflagt deras Edh nu dhet som i Duderhoff ähr passerat, och bor altså ingen deremoth tillåtas; kärandhen begärer än ytterligare till san "
9,Nyen/RO_1684-1687,0135_0135,"18. budit sig at bewijsa, dhet han på Duderhoff inteck ment skiempfa Swaranden, i dhet han har uthi et Lanf sagt, een skiälm som intet giör bes"
10,Nyen/RO_1684-1687,0135_0135,"thfahrande hoos bem:te Cuming, intet ment Rä- randen wijdare, om Rämndsan honom Skiempfat hafwer på Duderhoff, och Ödhe afwarandhen juode- rerade Wittnen medh deras uthsago bekräffta, deels at Swarandhen i"
11,Nyen/RO_1684-1687,0135_0135,"gynnelsen af des tillwyte njurierande, deels och Södermehra der effter restic- terat på dhet, som i Duderhoff kan wara förbu- pit (3) Swarandens eedelige Wittnen intyga at karandhen på Duderhoff sine widh "
12,Nyen/RO_1684-1687,0135_0135,"på dhet, som i Duderhoff kan wara förbu- pit (3) Swarandens eedelige Wittnen intyga at karandhen på Duderhoff sine widh een skiälm som intet giör beskedt, fast han tillefwentyrs in- tet ment ondt der medh,"
13,Nyen/RO_1684-1687,0141_0141,"n har Stadhen; Lutz nähr han kommit bort ifrån Parkala? 8: förledhan Johanni, såsom har hon warit i Duderhoff och skurit Rågh för penningar, Qu: Om någon elliest hafft till giöra medh tenne? R: Neij ingalu"
14,Nyen/RO_1692,0032_0032,"a Ha- de att förbön, föruthan Dorothea som en gammal brän¬ wijns panna än skulle få, hwilka ord med duderhofsko bonden Samuel Kåkos och Stadz Snickaren här samma¬ städes Johan Sigfredsons attester, som Rea"
15,Nyen/RO_1697,0073_0074,"er Rättens i går håldne Ransakning öfwer löössdrijfwa ren Jacob Michelsson, hwilken af Bonden ifrån Duderhof Erich Wainika och hans hustro Susanna Danielssdotter Häsanen är angifwen, för det han skall prac"
16,Nyen/RO_1697,0198_0199,bij Dy resolverades: att Eskell måste sökia ho- nom wijdare bäst han kan och gitter./. Bonden ifrån Duderofz godz och Cal- palasby Tynni Wexseyn lät igenom dess nu coram Protocollo constitu constituerade f
17,Nyen/RO_1697,0201_0202,"et, sampt derföre och så wijdee han föregifwer sig till Mårgons hafwa stembdt tillsamman Allmogen i Duderof på Jacht att skalla, begärt det samma wit¬ nes förhör måtte i dag för Rådst Rätten förestagas; Al"
