,parent,file,context
0,Nyen/RO_1684-1687,0016_0016,"räsens berättadhe at Rius har låtit föra till honom öhl till sahlu, 14 dagar för, än han reste till Åbo; och tillstår at Swaranden har kiöpt af honom sit huus för d, 17 D: Kopp:r m:t Rius bekänner änteli"
1,Nyen/RO_1684-1687,0039_0039,"lagdt, ty blifwer Appellationen in honorem Supe- rioris till dhen höglofl: Kongl: Aboiske hoffRätt i Stor furstendömb Finlandh har medh effter- gifwit och näst kommandhe juridica pro te"
2,Nyen/RO_1684-1687,0041_0041,"lations penningar erlagdh, ty blifwer Appel- lation in honorem Superioria till dhen Höglofl: Kongl: Aboiske HoffRätt: i Storfurstendömb Finlandh här medh effter gifwifwen och nästkom- mandhe juridica pro"
3,Nyen/RO_1684-1687,0130_0130,":r Bogislaus Röhling edeligen nu i saken må afhöras, emedhan han står på resandhe foot at resa till Åbo, och kom ske intet så snart kom- mer hyt igen; men Emedhan Swaranden be- rättar, sig intet för slå,"
4,Nyen/RO_1684-1687,0150_0150,"yrkio tiuf- nadh, ty skiuter Rätter henne under Gudzdom, till des den höglofl: Kongl: Håff Rätten i Åbo wijdare gifwer des nu- dige anledning huru medh henne yttmehra ma förfåhras, eller sanning igenom a"
5,Nyen/RO_1684-1687,0151_0151,"traffordnin- gen till Lijfwet och at hängias, hwilket dock till dhen höglofl: Kongl: Håff Rättens i Åbo wijdare Liuteration uthi Underdånighet blifwer hemstält; d: 14 Septembr. Uppå inkomne ordres och be"
6,Nyen/RO_1684-1687,0151_0151,"uren högwälborne H:r Jöran Sperling af d: 8 innewarandhe, sampt der hoos slutne den höglofl: Kongl: Åboiske håffRättens Resolution af d: 3 Augu: sidstledne, angående Kyrkio tiufwen Thomas Kompo, och at h"
7,Nyen/RO_1684-1687,0153_0153,s Excell:tz H: Gen: och Gouverneuren sub Dato Narfen d: 6 hujus och hoos slutne den höglofl: Kongl. Åboiske HoffRättens Resolution af d: 24 oc- tobri sidstleden at Stadz Magistraten skall Sen- tention if
8,Nyen/RO_1684-1687,0154_0154,"h Rijss för Rådh- stugu döran, och sedhan förwijsas Staden, dock detta alt till den höglofl: Kongl: Åboiske Hoff Rättens wijdare godtfinnan- de; Den 17 Junij Stadz Fiscalen Almenius C: S: Petter Schlüter"
9,Nyen/RO_1684-1687,0163_0163,"tså blef dhen samma hela Senatui förrläsan och som tyckt at öfwerskickas till Kongl: Hoff- Rätten i Åboo; Parterne blef der på sagt, dhe skulle här widh nå- got bero låta, Rätten wiorde dhem framdeles ku"
10,Nyen/RO_1684-1687,0168_0168,"Almenium emellan, angående injurier, blifwer effter inlagde Wadhpenningar till dhen höglofl: Kongl: Åboiska haffRät- ten, har medh effter gifwen och Appellant skall wara skyldig widh nästa Kongl: HoffRät"
11,Nyen/RO_1684-1687,0192_0193,"otter. Blefwo denne gången upkalladhe, och bem:te Hustru förehållit, huru såßom den höglofl. Kongl. Åboiske HåfRätten har så wijda approberat Borg mäster, och Rådz doom af d 14 Novemb: sidst- leden, at h"
12,Nyen/RO_1684-1687,0268_0269," Rätt, som Joon Jisti tii effter det 1: Cap: dräp M: wil: Stl hwilcket alt till den höglofl: Kongl: Aboiske HoffRätz wijdare nådige gådt finnande blifwer hemstält; Räkenmästaren Melchior Hardeloff å Arto"
13,Nyen/RO_1684-1687,0268_0269," Eedh bekräffta; och emädhan kiärandens Full- mächtig der till samtyckte ty aflade bemte Elias Eedh åboken, på alt det, som han i detta måhl in för Rätta bekendt hafwer, hwilcket och honom än ytterli- ga"
14,Nyen/RO_1684-1687,0308_0309,"il Militiens behof äro angrepne effter det 26: Cap: Eedzöre Stl och sådant till den höglofl: Kongl. Åboiska hoffRättens Nådige Resolution; vid erin Fiscalen Almenius; Emot Stadzdragaren Olle Somelain, oc"
15,Nyen/RO_1684-1687,0354_0355,316 Gartanoff då dem blef föreläsen den höglåfl. Kongl. Aboiska håffRättens Resolution af den 26: Septemb: sidstledne hwar uthinnan bemte Ryßer blifwa dömbde a
16,Nyen/RO_1684-1687,0362_0363,"ns Re- solution blifwa åthskildhe; vnt. p: 337. Dito Ankom den höglåth Kongl. HofRättens bref ifrån Åbo af d: 29: Octob: sidstledne, att Rådstugu Rätten intet skall uthgifwa peremtoriske citationers, uth"
17,Nyen/RO_1684-1687,0372_0373,"hielpa dem till be- handen thalning af det, som sal. Clas Wargens Änckia effter den höglåfl. Kongl. Åboiske Hoffrättens dom uthi Capital och intresse åth Lars Andersons Arfwingar blifwit skyldig, och sin"
18,Nyen/RO_1684-1687,0372_0373,"en Communice rade, på det de kunna förklara sig derpå; vd: p: 362. Uppå inkomne den höglåfl. Kongl. Aboiska håfRätz bref af d: 2: Novemb: innewarande blef Ryßen Daniel Co- nonoff och drengen Mattisci Gar"
19,Nyen/RO_1684-1687,0386_0387,"at uthi gifwa Handelsman Conradt Ziliax Lätt igenom S: Jochin Bröster producera den höglåfl. Kongl. Åboiske håffRättens Resolution af d: 16. Julij sidst leden, begärandes at, producerum derpå må skrifwas"
20,Nyen/RO_1684-1687,0421_0422,"n till nästkommande Pingeshelgen deße böter att erläggia. Ankom Kongl. LijoffRättens breef Sub Dato Åbo d. 12 Januarii sidstleden, hwaruthinnan betalles Kongl. Maij:tz trenne förordningar den första Date"
21,Nyen/RO_1684-1687,0444_0445,"n med Executi- onen må blifwa förskont in till deß han per- Supplicum kan sökia den höglofl. Kongl. Åboske hoffrätten. blef swarat att uti slijke injuriӕ saker ingen Ap- pellation kan effterlåtas, doch f"
22,Nyen/RO_1684-1687,0449_0450,"ne, Förmyndarne owit terligen uthur Wargens boda derpå anammat, Men 2 nu igenom den höglofl. Kongl. Åboske HoffRättens dom af den 20 Junij 1685 ähre tilhåldne, att swara jembwäl för 200 rD, och att betal"
23,Nyen/RO_1684-1687,0489_0490,"penser i detta måhl å både sijdor e- mot swarandra upsäfne, doch alt detta till den höglofl. Kongl. Åboske Hoffrättens wijda- re nådige godtfinnande och resolution. vid: fol: 315. Den 25 Dito. Stadz Fisc"
24,Nyen/RO_1684-1687,0507_0508,"Tyr- man, och William Ramses stulit hafwa, grundan- des sig denne befalning oppå den högloth Kongl. Åboske HoffRättens Resolution af d. 28 Juli sidstleden i detta måhl. altförtij anhölt Stadz Fiscalen Al"
25,Nyen/RO_1684-1687,0548_0549,. W: fol: 322. Sergeanten Sergeanten Lorentz Valentin 315 blef upkalladt och honom föreläsen Kongl. Åboske HoffRättens Resolution af d 8 Octobr: 1687 angående een Saak honom och Sahl. Hans Soldan sampt O
