,parent,file,context
0,RO_1684-1687,0011_0011,"en fram- stuhlen; Reus sadhe sig hafwa hittat knijfwen i höstas under Luhrskans huus, då han fördhe balkar up från Stran- dhen, och dhen såldt åth foreraren för en kanna öhl, bekiännandhes der jämpte sig ha"
1,RO_1692,0074_0074,"erman Matt Christerson kärde Emoot Handelssman Diedrich Blom Swarande; Käranden fordrar för 100 st: balkar, som han för 5 – åhr sedan med honom hade tingat, en rest der af 2 Dr K:mt. Reus producerar dess sk"
2,RO_1692,0074_0074, Timmerman Matt Christerßon och dess då interesserande 3 st: Bönder betingat 100 st: färdige bylade balkar å 1 D:r Kopp:r mt p. och peningar derföre richtigt betalt; Bem:te Timmerman och än utj 5 åhrs tijdh
3,RO_1692,0119_0119,"h har Michel Hackara meent, det wore Brökers eger Broker exciperade emoot samma attest, såssom obe- balkar. wuren, där jempte så wore flere Bröker än en här i Staden, där doch i attesten ingen blifwit nämbt"
4,RO_1692,0119_0119,"wilken honom berättat, huru såssom Berg begärt, det Julin Bröker skal stå för des bortkombne 20 st: balkar, och tilseyas eij wijdare att låta sönder hugga des balkar, hwilket gerichz¬ fougden besannade Brok"
5,RO_1692,0119_0119,"röker skal stå för des bortkombne 20 st: balkar, och tilseyas eij wijdare att låta sönder hugga des balkar, hwilket gerichz¬ fougden besannade Brokar tilstår, att dess hustro swarat åth Rådztiena¬ ren Bened"
6,RO_1692,0127_0127,"244. den dhe balkar, som där lågo, doch icke af dhe som hade i flottar i watnet, utan af dhe andra, som lågo uthom watn"
7,RO_1697,0096_0097,"moot lögerdagen ifrån Possola stulit een Handelssmannens Balck Plåta om 10 st: Sex fambnars bijlade Balkar eller så kallade Sparrar, som skola kosta honom 2 D:r 6 ö: Km:t st:n begiärandes straff opå dem, ef"
8,RO_1697,0096_0097,"llade Sparrar, som skola kosta honom 2 D:r 6 ö: Km:t st:n begiärandes straff opå dem, effter om han Balkarna igen bekommit, enär dhe warit i wärcket begrepne dem till andra att försällia. Swaranderne tillst"
9,RO_1697,0145_0146,"annen Claes Berg bedian- des, där hoos att den arrest som Bergen låtit läggia opå någre dess bylade balkar kunde emoot Sufficient Caution relaxeras Bergen inwänder, att denne Saak utj skiem- ner Rättens Pro"
10,RO_1697,0145_0146,"lssmannen Dobin repeterar priora, förmenandes lagen medgifwa, det han emoot Caution kunde få lyffta Balkarne effter som han warit Possessor H rå. dessuthan och som Ciembnen Rätten opå hans andökiande skall "
11,RO_1697,0145_0146,"Advocat till denne saak uthförande, som skall angå ähra och redligheet; men så wijda desse twi tige Balkar icke ännu befinnes wara be- sichtigade, dij resolverades här öfwer således: att 283. 283. Carl dobb"
12,RO_1697,0145_0146," sichtigade, dij resolverades här öfwer således: att 283. 283. Carl dobbin Claes Berg eng: twistige balkar. + Ciembner Rätt:n blif:t anhölt giör d: det han och medh"
13,RO_1697,0146_0147,"t alldenstundh den arrest, som opå dhe emel- lan Handelssmannen Carl Dobbin och Claes Berg twistige Balkar blifwit lagder, intet kan relaxeras, så wijda berde Balkar icke än nu äre besichtigade, warandes de"
14,RO_1697,0146_0147,"nnen Carl Dobbin och Claes Berg twistige Balkar blifwit lagder, intet kan relaxeras, så wijda berde Balkar icke än nu äre besichtigade, warandes denne saak allareda utj Ciembnär Rätten anhengigh giord. Förd"
