,parent,file,context
0,RO_1684-1687,0007_0007,"företagit medh öhl, dess uthan hafwer han kiöpt dragarens Josephs gårdt för några dagar sedhan, hwilcket kiöp dragaren Heicke tillstod, säijandhes"
1,RO_1684-1687,0007_0007,"agit medh öhl, dess uthan hafwer han kiöpt dragarens Josephs gårdt för några dagar sedhan, hwilcket kiöp dragaren Heicke tillstod, säijandhes sig hafwa fådt för huuset 50 D: Kmt; Actor; sådhant kiöp wore "
2,RO_1684-1687,0007_0007,"lcket kiöp dragaren Heicke tillstod, säijandhes sig hafwa fådt för huuset 50 D: Kmt; Actor; sådhant kiöp wore intet bewijsligit och olofligit effter som dhet intet ähr lagligen upbudit; der-  jämpte hadhe"
3,RO_1684-1687,0012_0012,"r, hwart dhen har blifwit; Fiershrotz pijga Maria Pedersdotter, upkalladhes, som bekiändhe at hafwa kiöpt brännewijn för ½ mark, som hon war skyldig åth Swarandhen, och sendt honom dess lijkest något toba"
4,RO_1684-1687,0012_0012," om alt detta, hwar på han swaradhe, pijgan Walborg wara skyldig honom 7 mk:r kopp:r mt: för ett af kiöpt bresk, men af Tobaket wiste han intet, af pijgan Maria minnes han ingen giäld hafwa at fodra, sedh"
5,RO_1684-1687,0016_0016," föra till honom öhl till sahlu, 14 dagar för, än han reste till Åbo; och tillstår at Swaranden har kiöpt af honom sit huus för d, 17 D: Kopp:r m:t Rius bekänner änteligen sielf, at ähl är fördt till drag"
6,RO_1684-1687,0023_0023," hans krog, emoth borgmästare och Rådz förordning; Reus: han har intet ännu kunnat få Tenstoop till Kiöpz; Sententz. Alldenstundh Swaranden Pavo Ropponen sielf till- tår, sig hafwa bruukat olofl:t mått ut"
7,RO_1684-1687,0026_0026,"Die 27 Septemb:n Actor inlägger sin libell, angåendhe i synnerheet een last Smör, som han i Sommars kiöpte af Swaran¬ then a 5½ D: á ℔: och Swaranden nu skulle åth, honom lefwerera, men Swarandhen will nu"
8,RO_1684-1687,0026_0026,", der jämte klagar Actor öfwer injurier som Swaranden har honom anfahrit medh; Swarandhen exciperar kiöpet wara i så måtto slu- tit at kärandhen låfwat – 5½ D för L℔:, men skul- le Smöret i höstas giälla "
9,RO_1684-1687,0026_0026," der jämpte alldeles, till injurierne, producerar derjämpte sin hufwud book, der uthinnan han detta kiöp i så måtto antecknat hafwer, som han här förmält hafwer; Actor anhåller, at en af Parterna må Eds d"
10,RO_1684-1687,0026_0026,"tz kiärandhen intet bewijss producerat, hafwer, ty ehrkiännes, at om kiärandhen will förblifwa widh kiöpet, han då måtte betala Smöret, effter dhen nu warandhe markgången; Leutnanten H:r Jochim Rater kiär"
11,RO_1684-1687,0026_0026,"måtte betala Smöret, effter dhen nu warandhe markgången; Leutnanten H:r Jochim Rater kiärande C: En Kiöpman ifrån Stockholm Gustav Hup benembd Swarandhe; Die 1: Octob: Actor klagar ratione officij at Mons"
12,RO_1684-1687,0029_0029,"ristian Dierich Lange blef och så på Lieutnantens begiäran infodrat, som uthsadhe sig haf:a hört at kiöpman Hup skälte, men då war Wach-  26 then reda borta och ropade Swarandhen at man skulle slå S:r Pol"
13,RO_1684-1687,0029_0029," S:r Polckens poike Johan, som der gick medh lycktan, mehra wiste han intet af saaken; Qu: Hwarföre kiöpman så ropadhe. R: han wista dhet intet; Leutnant Rater lät igenom en Underofficerare anhålla om uth"
14,RO_1684-1687,0029_0029,"onom; Sententz. Saken Leutnant Rater å sina Soldaters wäg:r som hafwa hafft wacht Kiärandhen, emoth kiöp- gesällen Gustaff Hup Swarandhen, angåendhe klagadhe injurier och slagzmåhl, som ähr föröfwat på Wa"
15,RO_1684-1687,0031_0031,"ster- na afskurne, kom han nu drucken kastadhe klädet på bordet, iag skulle sendha samma kläde till Kiöpman; och han begiärte sit afskedh, men- 28 doch sendhe han medh sin sohn en Supplic in, när han hadh"
16,RO_1684-1687,0042_0042,ennes Sahl: man innehafft helt och hållet förändrader. 3: at för Feiden hadhe man här icke macht at kiöpa någon Tompt. 4: beropar sig på en Rådstugu doomb af d: 3 July A:o 1672: bem:te des Sahl: bro- dher
17,RO_1684-1687,0042_0042,"Lado för rätta ägandhe af den nu strijdige Tompt ansees; 5: will derför nu hålla sig fast widh dhet kiöp han medh sin Swägerska om denne Platzen giort hafwer, emedhan hon och dhen sam- ma altijdh härtills"
18,RO_1684-1687,0042_0042,"s förkla- ringz skrifft emot henne ingifwit, kiärandhe frå- gades, 1: om hon kundhe framwijsa något köpe- bref, eller om der medh någon sin lagligen för- fahrit R: hon hadhe intet bref förmente at borgmä"
