,parent,file,context
0,RO_1684-1687,0023_0023,"ån Karilla godz Swarande Die 9 Junij  Actor: klagar, at Swarandhen såldt Hans Jürgen Jänish 10 mk:r Smör, hwar i blandh man har hittat 2 st. stenar som wäga tillhopa 6 mk: pundh; Reus uhrsächtar sig, at f"
1,RO_1684-1687,0023_0023," stenar som wäga tillhopa 6 mk: pundh; Reus uhrsächtar sig, at fahn hafwer förfört honom, Sententz. Smöret blifwer confiscerat, och Swarandhen för be- drägerij och falskhet straffat till 10: slag för Rådh"
2,RO_1684-1687,0026_0026,"cob Boisman, Swarandhe; Die 27 Septemb:n Actor inlägger sin libell, angåendhe i synnerheet een last Smör, som han i Sommars kiöpte af Swaran¬ then a 5½ D: á ℔: och Swaranden nu skulle åth, honom lefwerera"
3,RO_1684-1687,0026_0026,"arandhen exciperar kiöpet wara i så måtto slu- tit at kärandhen låfwat – 5½ D för L℔:, men skul- le Smöret i höstas giälla mehra, will han dhet samma upfylla, nekandes der jämpte alldeles, till injurierne"
4,RO_1684-1687,0026_0026," det kiäranden Diederich Buschert promitterat och till sagt honom at wela betala högsta prijset för Smöret, om dhet styger högre nu 5½ D: Kmt. der emotz kiärandhen intet bewijss producerat, hafwer, ty ehr"
5,RO_1684-1687,0026_0026,"producerat, hafwer, ty ehrkiännes, at om kiärandhen will förblifwa widh kiöpet, han då måtte betala Smöret, effter dhen nu warandhe markgången; Leutnanten H:r Jochim Rater kiärande C: En Kiöpman ifrån Sto"
6,RO_1697,0071_0072,"nit garn, item Saltfisk såssom Syk, Strömming, Rär och Luuth gieddor, ringast till een fierding med Smör och kåhl hwars quantum han så just intet weta kunde, anhållandes att som denne Stadzdragaren Johan "
7,RO_1697,0079_0080,"n desse föregående stöfder begådt, jämbwäl if:n dem stulit een skiorta och een bytta fott och något Smör uti, hwilket Anni till- stodh, seijandes att Blåfärgaren fådt 151"
8,RO_1697,0080_0081,"igen skiorttan och Byttan, men kiöttet och Smöret skall hon tillhoopa med Lupiains hustro Carin Petersdotter förtärdt. Karin 152. wille det icke ti"
9,RO_1697,0119_0120,"re Rätten ho- nom een weka där öfwergifwit, han lade och där till, att Bomgardt anbudit honom 15 Tr Smör i afbetahlningh på denne giäl- den innan 4 eller 5. wekor att lefwerera, men han der med såssom haf"
10,RO_1697,0127_0128,"wärandes sigh, att i går Natt för honom blifwit bortstulen ½ Ta Brödh, een fierding Salt Cap, 1 L℔: Smör och 2:ne Säckar, och eme- Hinrich Mat son C: några Tiufwar."
11,RO_1697,0128_0129,"på Bodtaket, hwarifrån dhe sluppit i Bodan och der uthtagit någre stycken Bröd, salta Lap och något Smör hwilket dhe lägt utj Säckar, dem dhe äfwen uthur Bodan tagit Och tilläggiandes Simon dett han burit"
12,RO_1697,0128_0129,"ett han burit 2ne st. brödh under hwardera armen, och Johan dhe öfrige Bröden, men Grelß fisken och Smöret förandes det således opå Moraset baakom Mallat Mattis gårdh, derest dhe allenast een tridiedehl a"
13,RO_1697,0133_0134,"fnaden, dömes att restituera åth Henrich Mattsson dess afhände ½ t:a brödh, 1/4 T:a Salt Cap, 1 L℔: Smör och 2ne Säckar, eller betala dem med 20 D:r K:mt: sampt dess uthan böta 3 dubbelt så myckit som Tiu"
14,RO_1697,0152_0153,"drichson, och alldenstund effter oprättadt Specification Styrmannens underhåld uti Råg, korn, kött, Smör, Salt och Humbla Humbla, som han åthnutit dhe 3, Mågoder han in- gen Tienst giordt, sig belöper 35 "
