,parent,file,context
0,RO_1697,0002_0003,"iperat af dhe hoos ajantakan stullne saker Borgaren Benjamin grän för en blånad han gifwit Arendat: Stokerfelt, drengen Parl Carlson för det han stött Borgaren Bsenjamin grän.. Dito Benjamin grän för det "
1,RO_1697,0027_0028,"förl: Sommars uppehållit utj Oseritz by. Elliest skall Jacob, sedan han i desse dagar blef sätter i Stockhuset, för Anders tillstådt, att 47 att han wed denne sin förmeente hustrus Marias Moder Walborg war"
2,RO_1697,0035_0036,"atorens Hans Klopstokz huus kiört med een sleda öfwer henne det icke allenast 2ne fruer, som i klop stockz huus den tijden logerat, utan och annat folck skola hafwa sedt, hwar aff hon alt sedan spottat blo"
3,RO_1697,0080_0081,"on, att hafwa emottagit, samma Wallmar, och det sedermehra panttsatt hoos Tyska Kyrkioheerden Witt- stock; hwilcken opå Rättens tillfrå- gan igenom Rådz Tienaren Måns Gadde lät swara, att Carin samma Walma"
4,RO_1697,0097_0098,"f- wer Rätten skiäligit, att dhe tillhoopa skola böta 12 mC:m:t, orka dhe intet botum war de wijder Stockin slagne, efftersom ährskills i det 20. Cap: Tiufmbl. St:, I mangell af Penningar plichtade desse m"
5,RO_1697,0103_0104,"45 Då androg Stadz Fiscalen Matthias Wedman, att det högl. Kongl. Cammar- och Commercie Collegium i Stockholm till Siö- Fiscalis D. C: Peter Siertz förwijses till Siötter. Siö Rätten härsammastädes remitte"
6,RO_1697,0120_0121," honom före- ställa, effter som dhe wore sinnade denne saak uti det Högl. Kongl. Satisf- Collegio i Stockholm att incaminera, hwa- rest dhe förmeente hans uthsago till saak, ens uplysning reqvireras. Blef "
7,RO_1697,0150_0151,"n.d, som een Kort bijdh sedan hemkommit ifrån Åbo, och nu 293. med een Rysk fahrkåst skall wara åth Stock- holm förrester, nyligen uti Stadzens Corps de Guarde för honom /: Påhl :/ berättat, att för- in be"
8,RO_1697,0173_0174,"am Jöranßon och gaf tillkänna, huruledes dess hustro Carain Erichzdotter wed nampn begifwit sig uti Stockholm opå Borggens i Sorda- wala Anders Immonens lodia, i mening att komma hijt till sin Man; Men som"
9,RO_1697,0173_0174,"är wed Guor- nizonen, skohlandes Ryttmest: Byswansk, mehr än ett åhr sedan fördt honom med sig till Stockholm, derest han effter Rytt- mest:ns afreesa, som icke welat tagan med sig tillbaka, sig een rum ti"
10,RO_1697,0183_0184," å Öhrten lärer inställa, att uthföra denne saken, emedan han, som förliudes, skall ährna reesa åth Stockholm, och derifrån intet torde så snart inkomma; Fördenskull Rät- ten honom täcktes tillåta berde 10"
11,RO_1697,0204_0205,"ampt så medelst erhölt, att bem:te Räste låf wat honom såssom Styrman opå dess ledig till och ifrån Stockholm 110 D:r Km:t Contant och 1 tr Råg; hwar opå Ryssen Elisai dhe af han af dem emellan strijdige 1"
12,RO_1697,0207_0208,"lärfft hittat på dett rummet, än som Blekerskan af henne igenfådt, hwar effter Ingeborg straxt från Stockholm d 1 Skola Dn Smp 12 Dr gat och fådt det besked som åf:r förmäles hwilket Ingeborg nu tijt in 1 "
13,RO_1697,0250_0251,"iscalen Matthias Wedman satti saken emellan ho¬ nom och Borgaren Johan Ulrich Walter Borgaren Oloff Stocksiö till witne, ang:de det Walter skall sig berömt der af at han icke achtade Ciembnär Rättens Proto"
14,RO_1697,0250_0251,"lter skall sig berömt der af at han icke achtade Ciembnär Rättens Protocoll. Walter exciperade emot Stocksiö, så wijda dhe skola hafwa något sins emellan, i tij han fordrat af Stocksiö Räckning, men han så"
15,RO_1697,0250_0251," Walter exciperade emot Stocksiö, så wijda dhe skola hafwa något sins emellan, i tij han fordrat af Stocksiö Räckning, men han sådant åtskillige gånger afslagit, sampt honom /: Walter :/ snäst Stycksiö reg"
16,RO_1697,0251_0252,492. förklarade Rätten Walters exception e¬ moot Stocksio ogill; Walter påstod det måtte Fiscalen nembna sin Sagusman hwilket Fiscalen i förstone förwägra
17,RO_1697,0251_0252,"äl och bewijs, så wijda det anginge dheras ähra och wälfördh, Sedan urgerade Fisca len der opå, att Stocksio måtte afläggia deß witnes Eedh och giöra sin berättelse hwar emoot Walter protester protesterade"
