,parent,file,context
0,RO_1684-1687,0047_0047,"ör Tullstuguorne. Markgången här i Staden ähr wedh denne tijden Rågh 7 dahl:r korn 6 D:r och 6½ D.r Tiäran 4 D:s Den 9 Januarij höldh Rådstugu närwarande Bård mestaren Johan Laurent och Rådet, Hindrich Hin"
1,RO_1684-1687,0058_0058,"ian hustro Maria A 16 stet giordt 3 „ 10 16, 8 dij afskrifwes - - - „ 21. - Transport: På 15 läster Tiära i forent, - 15 35. 25 Johan Erich Clemetßon, 3, – Tillhållenskskepparen, 8 „ – 675 års Arrende affö"
2,RO_1684-1687,0068_0068,"ore wänligen förlijckte, således att han suuterfors låfwade lefwerera nu straxt Rådhman Beckman sin tiära igen å samma sätte som den försåld är till gunterfors Rådhman Johan Beckman beswärade sigh öfwer ål"
3,RO_1684-1687,0068_0068,"s Rådhman Johan Beckman beswärade sigh öfwer ållderman Petter Gertsson at han icke Clarerat för den Tiära som A:o 682 till Skepparen hadde Heddes försålt ähr, Petter hålt grofwe sade sigh icke wijdare åthn"
4,RO_1684-1687,0069_0069,"Stadzens haga af deras öfwer modh och sielf wåld, hwilket ärende heemskiutes Sohlmästaren att rätta Tiäru wräkarne blefwe alfwarligen förmantte att noga achta sitt Embete att Borgerskapet ingen skaada lijd"
5,RO_1684-1687,0070_0070,Wel:n Johan Beckman och Tullmeeen Erich Brusse bewilliades att förbudh skall skee dett Hans Claßons Tiäru intet blifwer kulret af Tiära hollmen förän han förnöijer dheras prætentioner Stadzfougden Hindrich
6,RO_1684-1687,0070_0070,een Erich Brusse bewilliades att förbudh skall skee dett Hans Claßons Tiäru intet blifwer kulret af Tiära hollmen förän han förnöijer dheras prætentioner Stadzfougden Hindrich Sigferßon blef wedh sin tiäns
7,RO_1684-1687,0099_0099,"enne Rätten icke wijdare bem:te klagomåhl Attendera, än förbiuda par- terne alle i gemeen, at ingen thera af dem S"
8,RO_1684-1687,0112_0112,"rgerskapet hafwa 8 /: kopmt på hwar t:n Salt tagit och han tillbytt sighen t.n Salt för emoth 1 t:r tiära till sin egen Nyttig hon Replicerade Borgerskapadt sigh intet weta, till ståendes det Hålt Grefwen "
9,RO_1684-1687,0112_0112,"full- macht gifwit heller herom anmodat, alle- nast han skulle förnimma af Rätten hu- ru medh samma Tiäras uthskieppande, hwar före Bårgmäst: och Rådh Caverat wore till gångit, förmenandes sådant dem emell"
10,RO_1684-1687,0220_0221,"n af wederle-emädhan hon låg under bara himmeln, och uthi een godh tijdh inthet ähr drifwen el- ler tiärat, förmenandhes desse män, at samma torga wäl kundhe blifwa reparerat och laget igenj wärderandes dh"
11,RO_1684-1687,0287_0288,"ända omkostningar uthi Licent och annat Swaranden godt giöra, doch at Swaranden för 285. dhe 96 T:r Tiära intet den förhögningz Tullen, som först Anno 1683 här ähr introduuceradt, uthan al- lenast den då w"
12,RO_1684-1687,0287_0288," introduuceradt, uthan al- lenast den då warande lindrige Tullen, som sigh belöper för bemte 96 T:r Tiära 15: D:r kopp: kan upföra, blifwandes altså omkåstnadt på alt detta godz 98: D:r 19: öre kopp: Såsom"
13,RO_1684-1687,0290_0291,"e måtto reda mistar mehra än halfparten af Tobak någodt medh skiäl prætendera, 288 11:o dhe 72: T:r Tiärarsom Swaranden uthi sit Fracht breef af d. 4. Maij 1681, berätter sigh wela kä- randen Cämbna å 8 D:"
14,RO_1684-1687,0290_0291,"ör dhe då iämwäl i Commiss insände 10: Läster Salt, stå gewin och förlust och den derföre undfångne Tiäran effter inländsk Pryß medh derpå anwände Expenser godt giöra, 3: hwadh som Käranden, för Swarandens"
15,RO_1684-1687,0317_0318,"t, wiste han intet, men så mycket minnas han, at bem:te Tullnärn den tijdhan intet finsk fick eller Tiära här ä orten funnit; Handelssmannen S: Dettleff Jochims; minnes ey heller huru mycket Tullnärn då få"
16,RO_1684-1687,0317_0318," befrämia een frijhandel, och igenom Tullnärn blifwa dertill befordradt; Men för finnisk peck eller Tiära hade dhe intet resack at gifwa något, emedhan Tullnarn då funnit hwarken finnigh peck eller Tiära h"
17,RO_1684-1687,0317_0318,"r Tiära hade dhe intet resack at gifwa något, emedhan Tullnarn då funnit hwarken finnigh peck eller Tiära här å orten; 5: handelßmannen S:o Diedrich Blom; producerade et Extract uthur sin Cladde, at han 5."
18,RO_1684-1687,0317_0318,"m; producerade et Extract uthur sin Cladde, at han 5. RD:r den tijden åth Pösken hafwer gifwit till Tiära Frijhet Con- erverande och hade alla hollensk skippare då"
19,RO_1684-1687,0318_0319," at bem:te Tullnärn fåt der af hade han fullerhördt, doch intet huru mycket Men finningh peck eller Tiära hade Tullnämndö intet här i Staden funnit, 2: d: Andreas Alberti, seijär i lijka måtto, sig hafr gi"
20,RO_1684-1687,0318_0319,":r – - ungefähr, åth Bölken, till at förekomma at ingen högh Tull her effter skulle blifwa lagdt på Tiära här i Staden; Men hwem sådane sedermehra fåt, wiste han in- tet; 10. Handelßmannen S:r Eric Warge; "
21,RO_1684-1687,0318_0319,fwa Contrituerat till at befrija dhe dhå härwarande skip för arrest och at förekomma höge Tullen på Tiäran; vid: p: 26i- Anno 1686: d: 9: Augustus d:o Jacob Böisman Emot Mons: Gustav Hup. H: Boisman anhåll
22,RO_1684-1687,0351_0352,"310 theras intet förfärdigat den Silfkanna som han åthkäran- den Hindrich Hyfwoinen låfwadt hade, uthan nu ef"
23,RO_1684-1687,0486_0487,". be- kräfftar; Säijandes Muschert derjempte emedan för 2 åhr sedan dess fönsterlukor om Natten med tiera, blefwe smorde och han derigenom mykit skumpfat sampt till stoor omkostnad bracht, ty beder han att"
24,RO_1684-1687,0514_0515," swara sig intet sedt honom, warandes Skieppa- ren den tijden oens med hennes ellom för ett partije Tiera skull; Tridie dagen der effter kom Tyska Kyrckioherden Mag: Witstock till henne tröstan¬ des jembwä"
25,RO_1692,0013_0013,"t heelt swagt och hon altså i des öron komhörd, 2do med en dyn- ge gaffel, och til det 3:io gued en Tierutamp obarm- härteligen slagit, sådant alt om en dagh, hwar effter hon Elin Larsdotter Jacob Backmans"
26,RO_1692,0013_0013,"en Markuson Swarade, Beckmans hustru wäl hafwr slagit henne med ett reepstycke, men intet med någon tierutamp, kan hända att kärande fådt der af nå- gon blånad, medan hon hafft på sig allenast Öfwer- delen"
27,RO_1692,0019_0019," då Mårten grän swarat, Magistraten hade honom för högt taxerat, och om han fåår så stor quantum på Tiera, som des wederhäker, wil han dhe öfrige 2 RD:r betala, men intet förr. Reus nekar fuller til sielfw"
28,RO_1692,0019_0019,"örmenandes eij helr myckit få der af, fast Borgerskapet skulle wårda i Stockholm någon tilökning på Tieran. Resolutio: Emedan Magistraten pröfwer skiäligt, att dhe aff Borgerskapet, som intet wille uthlegg"
29,RO_1692,0019_0019,"utio: Emedan Magistraten pröfwer skiäligt, att dhe aff Borgerskapet, som intet wille uthleggia till Tiera handelens befrämiande, ey heller kunna få niuta nå- got deraf til goda; altså haf:r Handelssman Mår"
