,parent,file,context
0,RO_1697,0008_0009,"em intet kunna föhra till Ryssland? hwar till- han swarade, att Ryssarne låfwat kiö- pa sig derföre Tobak: Sedan frågades Johans hustro huru många Cappor Rågh dhe in alles kiöpt? R:t sig hafwa kiöpet, een "
1,RO_1697,0062_0063,"älte desse Parter sig nu wed opropet och bad Fiscalen, att Juden Welss måtte tillfrågas, om alt det Tobaket, som han förledne Sommars opå Stadzens Wåg wä- ga låtit, wore fördt utj Handelssman, nens Hans Hi"
2,RO_1697,0062_0063,det senare hade han i Stadzens Pack- huus hafft stående. Fiscalen frågade huru åffta Juden bekommit Toback? hwilken
3,RO_1697,0063_0064,"hwilken swarade, att han fådt förl:ne Wåh- ras och höstas något Tobak med Skiepparen Johan Jerisen Enhusen ifrån Amsterdam S D om Wåhren een gång med Skieppn Wolcke Douv"
4,RO_1697,0063_0064,"t mechtig, och sig derföre heller skrifftel.n wille förklara. Än begärte Fiscalen weta, huru myckit Tobak wa- rit utj Sahl. Handelssman Köster kellan re, jembwähl huru mycket Tobak Juden hafft utj Rådman D"
5,RO_1697,0063_0064,"scalen weta, huru myckit Tobak wa- rit utj Sahl. Handelssman Köster kellan re, jembwähl huru mycket Tobak Juden hafft utj Rådman Duhrens kellare? Juden sade, att Kösters Enkia och Rådmannen Luhr måtte det "
6,RO_1697,0063_0064,"uhr berättade att han igenom dess Com- misshafware i Amsterdam Dötgens ben:d införskrifwit 2ne faat Tobak, som af en Jude Abraham Levi Möller wid nampn eller denne Welssens Patron, skola med det wilkor war"
7,RO_1697,0063_0064,"öpte; att i fall Toba- ket icke wore dugeligit, det då skulle liggia för Judens Räckning, enär nu - Tobaket 119 Tobaket här ankommit, härer Rådmannen sig funnit det så beskaffat, att han det icke behålla k"
8,RO_1697,0063_0064,"fall Toba- ket icke wore dugeligit, det då skulle liggia för Judens Räckning, enär nu - Tobaket 119 Tobaket här ankommit, härer Rådmannen sig funnit det så beskaffat, att han det icke behålla kunnat, uthan"
9,RO_1697,0063_0064,"Bogis laus Röling låta sällia, sampt giöra sig där af betalt så långt det tillräckt, effter som han Tobaket allareda i Holland betalt. Fiscalen berättar det Judenspels för Ciembner Rätten skall tillstådt, "
10,RO_1697,0063_0064,"Holland betalt. Fiscalen berättar det Judenspels för Ciembner Rätten skall tillstådt, att han låtit Tobaket sällia 4 m hwar till Juden nekade. Fiscalen urgerade där på att Sal. Handelsmannens Kösters Encki"
11,RO_1697,0063_0064,"iscalen urgerade där på att Sal. Handelsmannens Kösters Enckia måtte på dess Edh tillfrågas, om det Tobaket i hennes kellare legat, jem- wäl Rådmannen Luhr giör dess Edel.r uth sago i detta måhl; Rätten af"
12,RO_1697,0063_0064,"tienare Måns gadde och Augustus tin Lohman, att förnimma uthaf Kösters 38 Enkia, huru med mehrberde Tobak förewet, ter och hwad för slag Tobak hon af Juden- uti dess kellare hafft; hwilka wed åter- kombste"
13,RO_1697,0063_0064,"ohman, att förnimma uthaf Kösters 38 Enkia, huru med mehrberde Tobak förewet, ter och hwad för slag Tobak hon af Juden- uti dess kellare hafft; hwilka wed åter- kombsten berättade, att Enckian är på landet"
14,RO_1697,0068_0069,"z Fiscalen Matthias Wedman har åter låtit stemma Juden Levi As. bert Welos för det han skall hållit Tobak uti private kellare, sampt det med Pyn- dare försåldt, producerandes til bewijs der af ett Extractu"
15,RO_1697,0068_0069,"n- de Martij, som förmähler, att wed det Handelssmannen Casper Martini och Juden Wels om ett partie Tobak med hwar hwar annan confronterat i Fiscalens Wed- mans närwaro, är Handelssmannen, Martini tillspor"
