,parent,file,context
0,RO_1684-1687,0010_0010," resan hafwer warit tillijka medh andra Stadzdrän- giar inne hoos honom och drucket öhl och bränne- wijn för penningar, då någre drängiar blifwit druckne, och någre der af reste bort igen, och hafwa Stadz"
1,RO_1684-1687,0031_0031,"föruthan hans löhn, 10: Om han icke fick öhl näst hwar dagh, så och när han begiärte en suup bränne wyn; 11: Om iag honom intet skiänckt, et hwit läder axel gehängh, medh de hwilkor, at han skulle hålla "
2,RO_1684-1687,0058_0058, ett ankar - - „ 1 „ 16 1 faat Munma till H. landzhöfdingen 1/3 deel _ „ 5 „ 18 4/6 Differentzen på Wijn Räh- ningen - - - – „ 14 „ 16 Rester som Sahl. Stens Arfwingar skyldigh blifwer _ _ „105 „ 5 Sum:a 
3,RO_1684-1687,0080_0080,"n och Johan Israelsson på Stadzens källare medh Krig Commissariens Skriffware Gisk An derson drukit wijn i Stugun, då sitter han Baltzar, Petter Steen och Carll Westman i kammaren drickandes öhl och tubac"
4,RO_1684-1687,0084_0084," och sins emellan tahla, då kommer Corporal: Abraham Isackßon frågandes om dhe icke mehra skulle få wijn påkällaren, då swa- rar Petter Steen iagh troor intet om källar swän gifwer något wijn såsendt i af"
5,RO_1684-1687,0084_0084,"ra skulle få wijn påkällaren, då swa- rar Petter Steen iagh troor intet om källar swän gifwer något wijn såsendt i affton mehra der till swarar Corp: i måstewara hehl klock Der till Petter Ste een suarat "
6,RO_1684-1687,0084_0084,"af sine patroner dett han ingen sedan tijden af lijden ähr på hwilken källaren stängias böhr, något wijn uth tappar, då säger Corparali äst du icke klook så måste du wara ett stort Took, der till swarar P"
7,RO_1684-1687,0091_0091,"n honom på gatan mött, då biudadhe honom på källaren der till han swarat iagh har ingapeningar till Wijn, uthan måste migh medh öhl behielpa, då dhe igenswärat, stoor saak dett wore illa iagh med min Camr"
8,RO_1684-1687,0091_0091,"h medh öhl behielpa, då dhe igenswärat, stoor saak dett wore illa iagh med min Camrat eij ett stoop wijn för eder Spendera kunde, och widh dhe så¬ to, dåkommer qwartermäst: Remkin inne medh deß andre Camr"
9,RO_1684-1687,0101_0101,"n allenast när gåssen upkom ifrån källaren hade han medh sigh bitterwijn och icke en qwarter spanst wijn som Smidfält begiärt, och effter Gåssen så länge warit och drögt utj Källaren, hafwer han slagit gå"
10,RO_1684-1687,0115_0115,"össe och faste egendoom der doch Ränttemästarn honom för sträckt af Crono medell så myckit han till Wijn kållarens behoff skulle upphandla, men icke uti några Cram och andra wahror som han bekommit ifrån "
11,RO_1684-1687,0130_0130,"nner, blef inbuden af Cuming, och hade drucket några gånger kring, har dhen ena af sälskapet begärt Wijn, den andra öhl at dricka, hwar på Swarandhen begynt att säga; leutnant Rohr, ähr een skiälm, en Tiu"
12,RO_1684-1687,0394_0395,"6 des Graan sig hoos koster; Men Wargz doom Bren- wijn för sig allena, och då Graan sågh att koster spel- te olycklig, sade han till honom, lät mig spela "
13,RO_1684-1687,0394_0395,"måtto een Rommare och dräck den uth; Een liten stund der effter befalte Capit: åter ett glaas bren- wijn at hempta och köster sammalunda, som hwar för sig uthdrack intet långt dereffter wille Capit: hålla"
14,RO_1684-1687,0401_0402,"d ett glans för 12 öre K.M:t i sänder; Altderfö- re han och köster som tilförne jembwäl sugit Bren- wijn warit deraf mykit drukne; då Graun war bortförd, och Gulsmedens Swåger Gullarbetaren fölgde honom, "
15,RO_1684-1687,0411_0412,"ius blef hon sidstledne Wintras belägrat af dhes poike Claes Johan Steffens ben:d hwilket skedde om win- teren, och nu om Andrex dag, födde hon ett poike barn, som blefwet Christnadt af Diacono här som m"
16,RO_1684-1687,0500_0501,"t will tilägna, som berättes under Morbo, egenteligen höra, derföre han ähr nödgad sådant lagligen, Vin- dicera tilbaka, emedan detta synes lända till Stad- gens bästa, begierandes till den ändan af H. R"
17,RO_1684-1687,0528_0529,enningar ungefehr 10 D K. M:t jembwäl och här i Staden wid deras hijtkomst druckit 2 kannor Franskt wijn sampt förtärdt här i Corps de guarde den tijden dhe sutit fänglade 3 RD:r
18,RO_1697,0070_0071,", att Ryttaren emoot domen icke appellerat, uthan det upsåtel. för- summat, och således låtit domen win- 133 Jöns Inppeson Anders Tocke ang: Arff."
19,RO_1697,0157_0158,"tten nu wed effterfrågan ingen effterrättelse om hennes Persohn be- komma kunde, icke heller Anders win lagt sig medh andre wittnen att bewij- sa dess angifwande i detta måhl; Altså skoor Rätten effter S"
20,RO_1697,0167_0168,"an Berendt Heidwenkel och honom d: 13. Julij sidstlne D. 8. Feb. ågången, måtte å Spieringens sijda win- na laga krafft, effter som dess fullmech- tig Heidwinkel sine gravamina appella, tiones intra fata"
21,RO_1697,0221_0222,"rättat, att Hinrich fördt Penningar i Badstugun, då dhe alla tree å nyo gådt dijt, och Hinrich o- B:wijn h:r på witnetz och Staffans tillfrågan omsy- der tillstådt, det han samma Pengr uthur Ty ska kyrcki"
