,parent,file,context
0,RO_1697,0002_0003,"des laakfält till. Borgaren Hans Hinrichson för uthe- blifwande öfwer lijden sampt Fiscalen Mathias Wedman Handelsmannen Mårten Grän såssom fullmech- tig för dess broder Benjamin grön, för det han Aprili"
1,RO_1697,0002_0003, grän- för otilbörligit tåhl Juden Levi Assert Welsh för det han otilbörl. angrijpit Fiscalen Math: Wedman i dess skriffter - 3 Timmermannens Mårten Toijoses Timmermannens Mårten Toijoses hust:o Annicka 
2,RO_1697,0003_0004, Borgaren Johan Elofoot för någre och förgrijpelser emot Ciembnen Rätten. Dito för det han Fiscalen Wedman under actionen med handske ord angripit Borgaren Johan Ulrick Wolter för någre förgrijpelser emo
3,RO_1697,0003_0004,"it Borgaren Johan Ulrick Wolter för någre förgrijpelser emot Ciemb:r Rätten Dito Något han Fiscalen Wedman medh jämske ord angrijpit för 8 Dr Förutan åfde 2ne al någre Personer wed bemte Rätt sakfälte, h"
4,RO_1697,0003_0004,"ito Något han Fiscalen Wedman medh jämske ord angrijpit för 8 Dr Förutan åfde 2ne al någre Personer wed bemte Rätt sakfälte, hwilka mangell af Penninge böter med Krop pen haf:r plichtadt, som Protocollet"
5,RO_1697,0003_0004,"Christian Huock och Jacob Böisman. Dhe öfrige Rättens ledamöter lätte andraga sine förfall- Collega wed Swenske Scholan här sammastädes uthyr dige och Wällärde Hr Erich Barckhusen, an- håller förmedelst "
6,RO_1697,0003_0004,"ation, att få hyra Sahl. Handellssmannens Johan Krögers gård effter som han för sitt antagne arbete wedh Scholan och kyrckian säger sig nödwändigt böra wara när dred handen, det Suppli- cationen ad acta w"
7,RO_1697,0004_0005," E.O.J. man. Handelssmannen Hans Jürgen Lackman gaf igenom inlagd Supplication tillkäna de, det han wed sin heemkombst ifrån Wijborg förnummit, huru såssom denne Rätten honom Sipärer öfwer Ciembnärs do- "
8,RO_1697,0005_0006,re Colle- gan dess förra petitum wijdare recommen derade; Hwaröfwer resolverades: Att emedan Rätten wed förledne Rådstugudag allareda befalt den ena af Sahl. Handelss mannens Johan Krögers Sterbhuus Cura
9,RO_1697,0005_0006,"e till Creditorernes bästa för lyra Krögers huuss för det högsta som dhe kunna betinga åth Collegan wed Swen- ska Scholan Hr Erich Barckhusen, förnim- nandes Rätten nu af bem:te Collega, det sådant än ic"
10,RO_1697,0005_0006,"ndag giöra ett sluth, dhe då för en slijk oludno oundwijkeligen måste plichta med 40 mkr S:m:t. Här wed påminte Stadz Fiscalen Matthias Wedman, att Sahl. Handelssmannen Johan Kröger, warit Licent förwalt"
11,RO_1697,0005_0006,"slijk oludno oundwijkeligen måste plichta med 40 mkr S:m:t. Här wed påminte Stadz Fiscalen Matthias Wedman, att Sahl. Handelssmannen Johan Kröger, warit Licent förwaltarens här Lammastädes Hr Oloff Lindm"
12,RO_1697,0006_0007," Licent förwaltaren Oloff Lindman warande twisten, härrö- rande af ett Privilegio som Martens hafft wed Licentet, hwilcken Suppliqve commu- nicerades Licent förwaltarens Fullmech- tig d. 18 hujus med des"
13,RO_1697,0006_0007,"s Son drengens Wall- mars Jacka igenbekommit, fördenskull Rätten henne tillhålla täcktes, att gifwa wed handen hwart hon dhe öfrige saaker, ne lagt, jembwähl och ansee henne med laga straff, som kan emoo"
14,RO_1697,0007_0008,"Suppliӕ; dy skall Procuratoren effter Kongl. Maijtz Förordning angde wijdlyfftig heeters afkortande wed Rättegånger och des 7 punct böta 6 mkr Smt. Rättens Cen- saak, sampt wara skyldig tillkommande Råds"
15,RO_1697,0008_0009," funnen, af någre Ryssar köpt med Swänska pengt. à 6 Á� Sm:t kappan och hwad dess hustrus Twetahlan wedkom- mer, så föregifwer Johan, att hon sagt sig hafwa såldt dess kläder, men icke nembt Anders Tyskä"
16,RO_1697,0009_0010,"aste producera, hwar före detta ährende i medler tijdh wardt differerat. /. vid: 31. Fältwäbeln här wed Guarnizonen Gunnar Galle löt igenom dess Full- mechtig Rustmest:n Samuel Krook inläggia Regementz k"
17,RO_1697,0010_0011,"Johansdotter några gångor uti Fältwäbels Gunnars huus, med meh- ra som Ciembners Ransakningen gifwr wed handen. Men som tyden nu war förfluten; Så differerades denne Saak till frambättre. /. vid: 70 No 1"
18,RO_1697,0010_0011,"- land, Jeremiӕ lät excusera sig för dess opassligheet skull. / Kom för Rätta Bonden ifrån Kolijoki wedz och Kuussåja by Wasel Mackoson, gifwandes klagel. tillkänna, huru såssom dess Broder son och Bolag"
19,RO_1697,0011_0012,"arsons Wägers, Sahl. Öfwerstl:ns Schantzenstiernas och Conrectorens Afanders Gårdar, wore där brede wed belägen; 3:o föregaf Material Skrifwaren dess Syster förlängst hafwa skolat lagat dess gatubron, de"
20,RO_1697,0013_0014,": dem han och till witnen kallat :/ skola åhördt, men så skall Ritter nu intet wela wara bunden där wed, förfrågandes sig dy Schmid ten hwad han giöra skulle. Stadz Fiscalen Mattias Wedman påminte härmed"
21,RO_1697,0013_0014,"a wara bunden där wed, förfrågandes sig dy Schmid ten hwad han giöra skulle. Stadz Fiscalen Mattias Wedman påminte härmed att Rätten pålagt Krögers Sterbhuus Curato- rer Plään och Schmidten denne gården "
22,RO_1697,0013_0014,"ård åth Collegen Barckhusen för så högt som een annan skulle biuda, hwarföre han bordt gifwa Rätten wed handen det hög sta bådet som skiedt, förmenandes sigh således swara oskyldig i detta måhl och till "
23,RO_1697,0015_0016," Besökaren omsijder funnit fodret under Carin, effter hon der opå suttit, då Besökaren straxt kundz wed pålssen, 25 men Carin begynt seya, att hon den fådt på Norijoki. Elliest berättade witnet att Carin"
24,RO_1697,0015_0016,"iare hust:n bortgådt, läst och sin kista och der uthta- git någre Lijnkläder, dem hon först bre- de wed sig i längen och sedan under kior telen stoppat, men hwad hon wijdare där af giordt, wiste han inte"
25,RO_1697,0016_0017,"aste att wärdera Gullsmedens Mr Hinrich Thomassons gårdh, och der öf- rer forderl:n inkomma med een weder- börl. relation. /. vid: 89. Öfwersågz Apothekarens Johan Chri- Såssom Gullsmedens M:r Hinrich"
26,RO_1697,0019_0020," hwar till Rätten förunte honom dilation till nästkommande Lö- gerdagh. /. Vid: 58. Sahl. Rectorens wed Swenska Scho- lan härsammastädes Bergeri Fröling Enkia hustro Christina Lyding, lät igenom dess Ful"
27,RO_1697,0022_0023,. Jören Kiskonen Mårten Anderson och Arfwed Erich- on in pto Jurdi. wilker dhe äre och om dhe hafwa wederbörande Hr Landzhöfdingens Påsk och tillstånd att komma på desse Öhrter? hwar opå Mår- ten swarade
28,RO_1697,0023_0024,d: 108 Hans Hinrichson låter opbiuda Hin- rich Thomasons gård. 396 hwilker dhe äre och om dhe hafwa wederbörande. Hr Landzhöfdingens Pass och tillstånd att komma på desse Öhrter? hwar opå Mår- ten swarad
29,RO_1697,0024_0025,"ades Saken emel- lan Licent Besökaren Daniel Lindberg och des förra Pijga Annicka Mattzdotter, hwar wed framkom annikas Moder Carin Thomas dotter; hwilcken förehöltz aff Rätten, hwad dhe emoot hennes dot"
30,RO_1697,0024_0025," uthi sago skulle hafwa försåldt. Hwar till Karin äfwen wäl nekade. hwad det an- belangar att Carin wed effterfrågan emoot Besökaren Lindberg nekat pälsen wara hemma, så säger hon hennes dotter hafwa war"
31,RO_1697,0025_0026," skiäligit, att Annika för det- ta sitt första förseende bör stå 2 tijmar uti halsjärn och skiämmas wed Rådst: wäggen; Men dhe öfrige Pertzeler wed kommande som Besökaren Lindberg be- skyller Annika före"
32,RO_1697,0025_0026,ta förseende bör stå 2 tijmar uti halsjärn och skiämmas wed Rådst: wäggen; Men dhe öfrige Pertzeler wed kommande som Besökaren Lindberg be- skyller Annika före; Så emedan han inga nöijachtige bewijs så w
33,RO_1697,0025_0026,"ma hijt till Staden seijandes Fureren sigh befalt Klåckaren att gifwa sådant Justitiӕ Borgmesta ren wed handen, men han föreburit sig intet hafwa tijd där till, dock som för bemält, begärt att Jacob mått"
34,RO_1697,0026_0027,"Jacob högel. att han swed hennes Moder Walborg Jörens dotter be:de, intet skall wara wrygder, uthan wed förbe.tt Maria, sampt 2ne barn med henne samman aflat. Rätten til sporde honom, hwarest och af hwil"
35,RO_1697,0026_0027,"sin hustrus Moder Syster, seijandes opå wijdare tillfrågan, det han uti Ingris Godz oppehållit sigh wed pass 7. åhr, men hon detta talet Nembl.n som skulle han med sin Styfdotter ifrån Seitzkari bordt- r"
