,parent,file,context
0,RO_1684-1687,0006_0006,"n klagar, at då han förledhen mondagz på Magistratens befallning visiterat Krögar- ne och olofligit öhl funnit hoos dragaren Häi- ke Josephsson, hafwer han lagt samma öhl uthi arrest, men swarandhen, haf"
1,RO_1684-1687,0006_0006,"siterat Krögar- ne och olofligit öhl funnit hoos dragaren Häi- ke Josephsson, hafwer han lagt samma öhl uthi arrest, men swarandhen, hafwer icke dess min- dre bortagit öhlet uthur arresten; Reus exiperad"
2,RO_1684-1687,0006_0006,"sephsson, hafwer han lagt samma öhl uthi arrest, men swarandhen, hafwer icke dess min- dre bortagit öhlet uthur arresten; Reus exiperade sig intet hafwa warit hemma då denne arrest ähr lagdt, uthan då fö"
3,RO_1684-1687,0007_0007,"företagit medh öhl, dess uthan hafwer han kiöpt dragarens Josephs gårdt för några dagar sedhan, hwilcket kiöp dragaren"
4,RO_1684-1687,0007_0007,"tet ähr lagligen upbudit; der-  jämpte hadhe samme dragare tillförendhe olag- ligen sålt främmandhe öhl, Krögaren Heicke bekiändhe, at Swarandhens drängh, hafwer upbrutit kiällaren, och utstagit dhee arr"
5,RO_1684-1687,0007_0007,"n Heicke bekiändhe, at Swarandhens drängh, hafwer upbrutit kiällaren, och utstagit dhee arresterade öhltunne, och då referenten ne-  kadhe honom sådhant at giöra, hafwer han ändå swarat, han måste effter"
6,RO_1684-1687,0007_0007,"randes sig Reus wijdhare, at han hafwer förbrutit emoth Magistratens för- budh, och sålt främmandhe öhl, emedhan hans barn skulle begrafwas, hwar till medell requireres; Sententz Ehuruwäl Johan Brun uhr "
7,RO_1684-1687,0007_0007,"fwa wist af sin hustrun otilbörlige procedeurer som hafwer låtit upbryta Kiällaren, och bortföra en öhl tunna som lågh under Magistratens arrest, så effter det ähr res mali exempli, som uthi saken ähr fö"
8,RO_1684-1687,0007_0007,", altså dömes han, så för sin hustrus pecerande, som han för dhet på et otill- börligit ställe sålt öhl, denne gången allenast till 10 mk: Smt, och krögaren för otillbörligit sälljan- dhe sammaledhes 10 "
9,RO_1684-1687,0008_0008,"ijdhan han honom tient brukat Stallnycke- len, som han under händher hafft, till kiällaren, och des öhl bestulit, har och Fiershrot mist uthi dess Kiälla- ra ungefehr 17 Rullor Tobak, hwilket han och bem"
10,RO_1684-1687,0008_0008,"som der en gångh druket, och sedhermera låtit wärfwa sigh, har hon hört, at dhe sagt, wij få fuller öhl i affton, när öhlet kommer i kiällaren, emedhan man då hållet på at tunna öhlet; hwilket han berätt"
