,parent,file,context
0,RO_1697,0088_0089," beståendes det förnembligast uti een un- derhåldz och aflöning Staat ett Inventa rium öfwer den på Skutan befindtlige Redskapen, som Skiepparen sig åtagit att hwara före, såssom och ett memorial Rytt- mes"
1,RO_1697,0088_0089,"stycken willia effterkomma; Men så berättade Skiepparen der hoos några Saker förleden wintras ifrån Skutan wara bortstulne, för hwilka Båtzmannen Mattz Jörenßon, den Ryttmestns Son lembnat att achta på Sku"
2,RO_1697,0088_0089,"utan wara bortstulne, för hwilka Båtzmannen Mattz Jörenßon, den Ryttmestns Son lembnat att achta på Skutan allena måtte swara Snickaren Zanten uthlät sig att han å Rytt, mestns wägnar det som i winttras bo"
3,RO_1697,0149_0150,"l Hinrichson som för någon tydh sedan här i Staden låtit lega sigh till Styrman opå bemte Ryffmest: Skuta Maria Magdalena ben:d, sampt des accord uti denne Rättens Protocoll d. 26 Aprilis sidstl:ne intekna"
4,RO_1697,0149_0150,"Aprilis sidstl:ne intekna, att Påhl sådant oachtadt rymbt ifrån denne dess lagstad de tienst, sedan Skutan kommit till Narven hwarfört och som Påhl allareda skall opburit in dehl af dess löhn och betingade"
5,RO_1697,0149_0150,"n Påhl Hindrichson kan intet neka till angifwandet och att han dess Skieppare påthspordt gådt ifrån Skutan, förebörandes till dess ursächt, att han blifwit siukligh och det andra folcket honom inrådt att r"
6,RO_1697,0150_0151,"mest:ns Wälb: Johan von Königstedts wägnar dess saak uthfördt, angde det han if:n bem:te Ryttmest:s Skuta Skiepparen owitterl:n skall bortrymbdt, badh Ränttmäst:n och Rådman nen Wälbde Lars Malm, att Påhl "
7,RO_1697,0150_0151,"t:n och Rådman nen Wälbde Lars Malm, att Påhl måtte frågas, huruledes det tillkommit, att ifn denne Skutan intet är uthlefwererat så mycken Rågh i Narven, som här uthur Ma- gazinet är emoottagit, uthan emo"
8,RO_1697,0150_0151,"om händer; men omsyder Lars Malm län- ter förhöra Påhl Hinrichson om något bort- kommen Spanl. if:n Skutan. om sijder berättade Påhl, att Skiepp:r Johan Lar son hafft en låås kunna full med Rågh sammaledes"
9,RO_1697,0150_0151," berättat, att för- in ber :/ Langens Lodia till Åbo afgick som kiedt ungefehr den tijden afr sagde Skuta med Cronones Spanmåhl här ifrån till Narven skulle segla, skall icke allenast Skiep paren Johan Lar"
