,parent,file,context
0,s1,0009_0009,"åår bu- dit ½ tunna Rågh i betahlningh, då sadhe Pullkin att när iagh i gåår gick och tänckte sökia Arrest oppå hans häst och waror, haf:r Kockain igenom sine Camrater låtit  practicera sin häst och släda b"
1,s1,0024_0024," fordrar och förledhen Sommars för bem:te Giäldh låtit hans häst för i Skadhan hoos Rådman Pusa för Arestera, hwilken häst denne Lukas Son Thomas Anderson Luckis bårt stulit om fadheren här siölf bekänner,"
2,s1,0024_0024,"här siölf bekänner, men säger sigh intet honom det att giöra befalt, men Rådman badh att sådane som Arester bryta skolle straffas, som och Fadhren, hwilken till ingen Liquidation medh Kyro sedermehra sigh "
3,s1,0024_0024,"ro Mironanpoika till sine 3 m:r för det han O- skyldigen Anders Luckas anklagat och låtit hans häst Arestera, så stånde och Thomas Luckas saak öppen för dhet han hästen uthur laga Arest stulit. Feltes Jöra"
4,s1,0024_0024,"och låtit hans häst Arestera, så stånde och Thomas Luckas saak öppen för dhet han hästen uthur laga Arest stulit. Feltes Jöran Räppoin till sine 3 m:r effter dhet 9 Capp: Råd- stu B: Emedhan han Inspectore"
5,s1,0035_0035,ninger som han för sine öfwersändhe warror igenom Oloff Pullkin och Johan Sijlfwoin bekommit :/ för Arrestera 20 D:r Koppar hoos Handelsman H:r Peter Schlyter wedh det förregifwandhe som berördhe Putkoin 16
6,s1,0039_0039,"n H:r Johan Tist[ell]  hwilken sedan uthi Borgmästarens från warro till Åbo, låtit för berörde Ryse Arestera till 60 kannor bränwijn, till Borgmästa[rens]  hemkompst, dhem Rysen sedan Emoot laga förbudh bå"
7,s1,0039_0039," dhem Rysen sedan Emoot laga förbudh bårt fördt till Ryslan[dh]  begiärthe fördenskull nu Borgarena Arrest oppå det saker till dhes fåå bewijsa honom alt sådant, dhet dhem och bewilliat bleff Anno Anno 1678"
8,s1,0039_0039,"Borgmästarens frånwaro till åbo haf:r af H:r houptman Tistell och Rådmännen uppå hans bränwijn nådt Arest och wedh 40 mk:r Wijthe blifwit förbudit brenwijnet  bårtföra för än Borgmästaren hemkommit, och ig"
9,s1,0040_0040,"äppoin, hwilken effter afflag- dan Edh bekändhe det han för 4 åhr sedan aff det Brenlaijn som sedan aresterat bleff medh Måth och Runstikztahlss kiöpt, och drukit i hans qwarter, Men Juske säger sigh eij d"
10,s1,0040_0040,"en Juske säger sigh eij der aff wetha, mindre att han honom känner, houptman inladhe uthi Rätten En Arest skrifft Daterat, Sordawalla den 4 Maij 1674 som han tilllijka mz Rådmannen slagit Arrest oppå Juski"
11,s1,0040_0040,"i Rätten En Arest skrifft Daterat, Sordawalla den 4 Maij 1674 som han tilllijka mz Rådmannen slagit Arrest oppå Juskis Bränwijn uthi Borgmä- starens från woro till Åbo, och til des hemkompst wedh 40 mk:r wi"
12,s1,0040_0040,"traffas måste effter Konungl:gh Executions stadgan, såsom och wärden Samson, at han brenwijnet, som Arresterat war olageligen uthleth, dertil Juske # men kunde hwarken medh Grentz- Commissairies Pass, el:r "
13,s1,0041_0041,"dhe, alt effter det 33 Cap i Kiöpmåhla B Stadz L:n. Sedan böthe och Juske 40 mkr att han Emodt laga Arrest och uthan Cautions præsenterande sit brenwijn uthtagit och bortfördt  förän å gången laga doom, och"
14,s1,0063_0064,"fälltter ähr, och som Oloffz Mö- derne ähnu hooss fadhren innestår, altså badh hopman der oppå Laga Arest, hwilket effterkommit bleff så wij- da hans stoldh och Saköre betyger och förbödh fadhren ingestäde"
15,s1,0091_0092,"r han den genast bordt hem sände, han före- bähr att Sahl. Rådman Jören Pussa gifwit honom hästen i Arrest, till dess Kägräins Son betaltt H:n Schlyter i Nyen, det denne Halloin förre Caverat, detta hans fö"
16,s1,0094_0095," Borgaren Isack Mackoin, Ehuruwähl Johan Poutias 6 tunnor Tiära i Jacob Afwins qårdh liggiande blef Arest pålagdt sidstleden den 20 Junij att han dem intet någre- städes förföra heller röra skolle, utan ef"
