,parent,file,context
0,s1,0013_0013," nu  ingalunda kunna förenas som klimpo alt stadigit säger, uthan menar, att dher dhe längre skulle intressenter i Lådian wara, kun- dhe medh tidhen opwexa större twistigheeter och omsidher förorsak  till Man"
1,s1,0042_0042,"ntet barnen ifrån undandöllia will, och dätta effter det 13 Cap: Giffter- måhla B: StadzL:, Men för Intresse böhr han wara frij effter hans barnen hoos sigh hafft och bespisat. Anno 1678 den 17 Aprilis höltz "
2,s1,0043_0043,"Tuckoins Brunn fallit och druncknat :/ bleff affhördt och Resolverat att Tukoin och Matz Juain, som Intressenter i Brunnen ähr betahlar ox en medh 3 D:r K:mtt, som Borgarena Jacob Aflwin och Anders Pullij hon"
3,s1,0050_0050," hästelego gifwit – 5 D:r i förtärningh opförer  den gångh – 7½ D:r, och för denne reesan – 12 D:r, Intresse - 7 ½ D:r, och 1½  D:r åth Ryske Diacken som skriffterne uthtålkat, Men Ryttken ähr  icke håller nu"
4,s1,0051_0051,"an effter sin obligation dhe 5 Rub:r denningar han skylldig ähr, medh 50 D:r koppar, som och 4½ D:r intresse effter dhen dagh  Tipan betahlt Michifara, sampt 14 D:r Kopp:mtt för 3:ne hit ree- sor och omkåstna"
5,s1,0081_0082,"skrifwer, fram Eskades först Johan Haltuin af hwilken fordras 113  D:r 12/öre, inräknadt någre århs Intresse, men så bewiste Haltun der  Emodt att Enähr honom blifwer gådt giordt dhe 34 D:r Koppar som Schlyte"
6,s1,0081_0082,"redan af Alexander haf:r quittans  på berördhe 34 D:r, ty dömdes dhe för full betahlningh, Enähr nu Intresse här jämpte afdragas som Schlyter opförer, blifwer Haltuin in- tet skylldigh. Samma"
7,s1,0100_0101,"effter han Eij allena så mycket på een kort tijdh dricka kunnat, säger ingen medh wedh stölden wara intressent mena medh Börgell Hanska och dess Son haf:r han som offtast druckit, som och Börgell sielf tillst"
8,s1,0101_0102,"ordes hwadh han mehr om sine gärningar wiste att berätta, och om någre andre medh honom i Tiufnaden intresserad wore, här till swarar han och säger Börgell Hanskas Son Peter, hwilken på dett högste nekar, Jör"
9,s1,0113_0114,"23 lodh Sölfwer för 45 D:r Koppar inlösa wille, Emedan samma Sölfwer och der på länte peninger medh Intresse förskrefne ähre, som sigh redan belöper 17 D:r begiärandes Hoppmannen samma Sölf:r lageligen opbiud"
10,s1,0128_0129,"bnat jäm- wäll af sin egem talgh otullade, och säledes förorsakadt Confiscation öf- wer fahrkåstens intressenter att komma, ty dömes Ondruska att betahla Käckarain 10 Llb Talgz wärde medh 6 D:r för Llb: det s"
11,s1,0132_0133,"wthan och sedan till Nyen styrdt 6 D:r Koppar, Men här till eij än betalt, ty dömmes intressenterne i Lådian Mackoin och Jufoin att betahla samma 6 D:r Koppar. Förekom Jacob Torfwinen här i Sta"
12,s1,0136_0137," at befordrat blifua af dhee moth w lige, uthaf Martimo Canuti fordras än 10 D:r Capital och 15 D:r intresse, dhem än restera skall på 94 D:r Martinus redan 1675 i waror och 40 D:r Contant tagit, Intresse med"
13,s1,0136_0137,"D:r intresse, dhem än restera skall på 94 D:r Martinus redan 1675 i waror och 40 D:r Contant tagit, Intresse medh Capitalet denne fordringh angående, som Härrörer En deel af Contant länte peningar, jänkades f"
14,s1,0141_0142,"wliken denne Sochnn Kyrkia bestullit) berättellsse och på klagan att denne Brusius medh i Tiufnaden Intresserat warit, ähr af amptman- nen Hinrich Johansson gripin worden; och till Kexholms Befästningh tillli"
15,s1,0142_0143,ligh att betahla. Effter bröderne Staphan och pamphilia Klimpos Edeligen bekräffta månde sigh intet intresserat wara uthi dhen 6 D:rs Plåth som Olof Afwinen åth Advocaten Erich Kiällman för 6 åhr sedan i Stoc
16,s1,0144_0145,"dt för Juhl denne Sochne Kyrckia bestullit) beckiännel- se att denne Laitinen medh Kyrkio Tiufnaden intresserat warit, skall fasttagen wahra och fängzlader förder jämbte Tiufwen till Kexholm, dem  143 der han"
17,s1,0163_0164," för Saltz fraht skyldigh 2 D:r 19 / öre Kopp:r, dem Immoin dömmes att betahla till Mattz Juain som Interessent ähr medh Makoin i Lådian. Emedan Johan Pelckoin och Bertill Christersson medh deras Edher ehrhölt"
18,s1,0177_0178,"ing som Thomas Immoin, och Mårthen, Taskin, giöra emodt Johan Sippoin, Nembl. att effter desse 3:ne Interessenter uthi Een stoor lådia ähre, så att Immoin hällfften modt Taskin och Sippoin äger, dhe 2:ne då en"
19,s1,0306_0307,"koins Enckia Brita Olofsdot. som han låndt, Nembl. om wåren 1688 4 t:r tiära och den 5te låfwat för Intresse, hwar på han medh En gam- mal quinfolckz Myssa betahlt 2 trs wärdhe denne år men dhe 3ne som ännu r"
20,s1,0306_0307,"ka hoos Enckian i pant stådt, ty Cederade och Enckian 3 D:r af dhen 5te tiäru tunnan han låfwat för Intresse, be- tahlan altså nu Enckian åth 6 D:r åth Ujmonen efter beg- ges deras förlijkningh; Olof Soikell "
21,s1,0336_0337,"ärer haf:a längst resolverat: Skomakaren Brusius Lai- tinen anbelangade, som Tiufwen beskyller wara intressent utj Tiufnaden, Så aldenstundh 1:o honom eij witzordh gifwas kan, pro 2:o haar Tiufwen förr i Kexh"
22,s1,0360-83," förnöija, att näst een lindrig be- grafningz omkostnadh, betala först denne Hulckoin  desse 15 D:r Intresset, Hulckoin pratenderar i 6 pro  Conto, kan honom så mycket mindre förnekas, som at  han i Contante "
