,parent,file,context
0,s1,0015_0015,"git opskiötz till Näste Rådstudagh, då han sine wittnen om han sigh på beropar skall framhafwa. Den pratention Olof Pullkin emodt Påhl Ryttken haf:r Angåendhe 8 D:r Kopp:r m:tt, som han menar Ryttken uthi Räck"
1,s1,0027_0027,"stodh Råd- man H:r Martinus Canutij som Enkians fullmächtig och effterfölliande skiähl Emoot Ondres pratention bijbeachte som 1: Att hon nu op saligh woro, och intet siölff komma kundhe och Coroll till swars s"
2,s1,0027_0027,"h Johan Berentz: enkia hustru Elisabeth Holm- bäck, iblandh andre sine insagor Emodt Ondri Corollss pratention aff hännes Sahl:gh Man, låter och pro 3:tio förmärkia, det Borgmästaren medh hännes Sahl:gh Man nå"
3,s1,0133_0134,"aldrigh öf:r 1 D:r för huarth 100de gifua pläga; altså förEntes och Bröderne sins Emellan och denna pratention, och Isack gifuer Ondruska för hella tijdhens hafde omack till dess Godz föryttrande, Ett ungdt sw"
4,s1,0149_0150,", och han den för 1 D:r ringare än andre Tunor haar måst försällia, altzå ophäfwes och Sijlf- woins pratention som han än af Meloin på sin Tiäru handell fordran Nembl: 2:ne Capp:r Salt. Anno 1685 den 16 Aprill"
5,s1,0158_0159,"kött för Halloin att Ehr läggia, dhesamma 40 D:r, af sades Halloin i höst igen Mutka refundera. Den pratention som Eskell Råiha giör till Anders Jurf- wains Son En Unge poike bestående Uthi 4 D:r Kopp:r ophäfw"
6,s1,0198_0199,"ådstugu i des protocoll antecknad, hwilket förden skull blef ad notam  tagit, och således all deras pratention  haf:r  dhe mont hwar andra uphufwen. Anno 197 F. 4. Anno 1687 d. 25 Maij hölt ordi- narie Rådstug"
7,s1,0295_0296,"iöp 22: 23 / K L M Matz Mannikain mot Martinus Canuti Fol 5 Mårten Poutiain, mot Maria Pit- käin om pratention i een lodia F 12: 13  Maria Andersd:r Taskin mot Stenko  Rådifwans d:r om beskyllning Folia 23: 24"
8,s1,0329_0330," Thomas Immoin fordrar af honom een Post af 40 D:r K:rM:t Säijandes sigh icke weta hwar uthaf denne Pratension flyter, emedan han menar sigh nästan alt så medh Spanmähl som annat sin giäldh hoos denne Immoin a"
9,s1,0360-83,"re där medh nöig- der; Rätten slööt så; att såsom H:o Anna Mutka ähr benägen  at betala H:r Slörens pratension af 15 D:r kopp:r M:t Så kan hon  affinna sigh medh honom, wedh sielf hans hijtkombst, dät bä- sta "
10,s1,0360-83,"des och om handeln där disponerade,  måtte lagl: tillhållas at betahla honom denne 157 D:rs  17 /:s pratension, emedan Åndre Ifwanoff till Moskou här  ifrån sigh flycht och wedh sin afresa så lådian, han honom"
11,s1,0360-83," Cronones Contribution  wedh H:r HoppMan Methers heemkombst, såssom och H:r  Rådman Huskens 12 D:rs pratension blif:a ehrlagde, helst  bem:te gårdh till förende d. 21 Martij nästförweekne  till bed:de giäldz a"
12,s1,0360-83,ch Herres Nådigste förklaring af det re- solution [1]680 wedh Rickzdagen gifwen an gående pri- vate pratensioner och skulder de Dato d 3 Novembr:  Jempte den Högl: Kongl: Hoff Rättens Nådige befall- ningh af d
13,s1,0391_0391,ng och Herres Nådigste förklaring af det Re- solution 680 wedh Ricksdagen gifwen angående pri- vate prætensioner och skuldes de Dato d 3 Novembr Jempte den högl. Kongl. HoffRättens Nådige befal- ningh af d. 16
14,s1,0394_0394,anoffz fordran af Huisma Levonseff - - ran Wallij fordran af Anders Haloinen Isack Mackoins Rådmans Prætension af sat Mickoin Johan Sipoin tilltahlar sin Båtman Staffan Put- kurjan sin Päls förfahrande. Olofss
15,s1,0399-423,"laises begiäran, så stoor deehl, utj den lådian  han begynt uppå at byggia, som swarar emoot denne  pratension; ställandes såledz Lappalain Borgaren Si- mon Hurrj till sin fullmechtige, som här om wij- dare sk"
16,s1,0399-423,"ma dagh, lijkmätigt det 16 Cap: i Rådst B.  Ryssen Tijmo Tubain påminte wijdare om den 5 D:r 12 /:s pratension han till Borgaren Anders Haloinen haar,  flytande af något fläsk Haloinen af honom för någre  Åhr "
17,s1,0399-423,"uthan  någons förfång så mycket mehr orubbat niuta, behål- la och beboo, som att ingen hördtz någon pratension el:r  hans naborer något klander här uthinnan giöra, som  kiöpet kunnat till för förhinder war och"
18,s1,0423_0423,"an- de Skrifft af d. 28 sidstledne Julij opdragit honom Nembl. Brun, för hans giorda 60 D:r för alt prætension uthi pant sin skutas Segell och Anckar, innom 8 dagar at inlösa, så at Brun allenast uthaf deße if"
19,s1,0424_0424,as Hulckoin 4 D:r 16 ö: dito mt: Altså dömbdes Haloinen att betala till Tasckin och Hulckoin dheras prætensioner innan Sohlsätter 14 da- gar effter det 16 Cap: Rådst: B: Rådman Jöran Wallij Swährson Lars Mårte
20,s1,0426_0426,"Extraordinarie håll- ne Lagmans Rätten af Borgmestaren i Kexholm H:r Carll Frese tilldömbde Expense prætension at undfå af for- dom Borgaren Petter Wallio, hwar uppå han sedermer och d 12 Augusti hujus Anni fö"
21,s1,0427_0427,"75 D:r K:r m:t han för sin Gård bekom, är så för denne Ziliakus fordran  som andre hans gäldenärers prætensioner in seqvestro hoos Rådman Mårthen Taskin d. 2 nästförwerkne April satt, dy relateres dhe, och ans"
22,s1,0431_0431,ch Lars Pitkäin fordra af Anders Rautia för försåldt lådie deehl - 16 H: Mårthen Thoranius giör een Prætension till Petter Jö- renson Wallij Sterbhus - 19 Mats Jufwoin afwittrar sin Son Hans Juffwoin ifrån sig
23,s1,0432_0432,et hos honom i pant stå- ende Sölfwet Petter Wallij Enckia tillhörigt - 37 Thomas Hulckoin giör een Prætension på Peer Hipsoin i Safwolax - 4 Thomas Hulckoin Arresterar Anders Rautias hoos Petter Hulckoin ståe
24,s1,0439_0439,"ren Johan Nijrain betygade, at swara grentzInspectoren H:r Johan Mether för 14 D:r 17 öre Kop:r mt. prætension han på honom giör, flytande af undfångne Peningar och Toback, men han icke comparerat eller sitt f"
25,s1,0443_0443,", som ähr arfftagande, honom ombi- dit införskaffa, att han förnöijer Borgaren Johan Lem- binen den pratension af 23 D:r 8 ö: K:r m:t han till Hylcka än giör, flytande af Begrafning omkåstnaden och huuß- hyra;"
26,s1,0444_0444," e- moot det han legat inne hoos honom een tijdh, Så at deßme- delst uthaf denne 106 D:rs Suman och pratension afgår 90 D:r 16 ö: K:r m:t; Betygandes Rådmanerne Mårthen Taskin och Johan Mutka, hwilcka blefwo a"
27,s1,0444_0444,"skin och Johan Mutka, hwilcka blefwo af Rätten uthskickade till Sahl: Marti- num åtslefara om denne prætensions sammanhang och hwadh han här till skulle swara ell:r om han något hade där emot at säija. Att han"
28,s1,0463_0463,"förnöigde Creditorer: denne Sigfredh  Pukari frågades dy om han något hade att säija emoot  Ryssens praetension eller hwar icke betala honom, emedan  han medh sin Brodher Tarasia uti ett Bolagh warit? Här  till"
