,parent,file,context
0,s1,0028_0028,"h aff een Gamal Ährligh hustru här i Staden Helena Rautia benämdh hafwa hördt, det hon medh Klimpos Modher här om tahlat haf:r Klimpos Modher sagdt det Enkian skall fåå strumporne, men korn äga wij intet, d"
1,s1,0028_0028,"i Staden Helena Rautia benämdh hafwa hördt, det hon medh Klimpos Modher här om tahlat haf:r Klimpos Modher sagdt det Enkian skall fåå strumporne, men korn äga wij intet, doch will hon hafwa Rågh skall hon o"
2,s1,0041_0041,"h sin Räkningh inkomma skulle om sin ägendom i Contant och löösöhren, hwadh effter blifwit då deras Modher dogh och Han i annat Giffte medh denne sin hustru, H: Sijsia Mårthens dåtter trädde, som redan A:o "
3,s1,0069_0070,"dher medh sigh något i boo fördt, då han förr rupturs tijdhen trädde uthi giffte medh denne Rytkens Modher, der till medh seijer Ryttken att då Ryssen i Landet inföll, hafwer all förälldrarnes ägendom blifw"
4,s1,0071_0072, honom och hans Käresta olydheliga wijsor till gehörs; Badh altså dett Rätten wille till deras Matt modher sändha och Ty
5,s1,0073_0074,"h wedh påfordran lofwadhe medh Edh bekräffta willia sigh hooss warit och anhördt, då Mäckelläin sin Modher aff sin Dragun löhn tillsagdt een ta Rågh, 1  Tunna Korn och 1 llb humbla att bekomma, uthaf gården"
6,s1,0082_0083,"den tijdh han der tienthe, så haf:r det Mårthen allena  intet till godo kommit, Emedhan des Sahl:ge Modher och 3:ne des andre brödher  medh i bolagh warit, uthom det så hafwer och altijdh Johan hemman ifrån"
7,s1,0098_0099,"ändt till denne Margaretha igenom dess egen flicka, doch alt med förtäckte ordh, och sagdt, säg tin Moder att hwadh hon om migh tahlat, må hon alt sticka i sin egen barm, säger denne Margaretha sigh intet "
8,s1,0100_0101,"rdera effter den luth dhe Erfft, så fadern effter sin förige hu- strun som Sonen effter sin Sahl:ge Modher. Företog"
9,s1,0126_0127," affton hadhe Tråssi sigh litet förrekommit gådt till Halloins Porth och begiärat inkomma, Halloins Modher säger honom hafft En bahr knif i handen, hade doch intet wittne, Stadztienaren säger sigh honom sed"
10,s1,0157_0158,"n flere wittnen hafwa om dhe Skälssordh Daniels hustru föresändt igenom Hurris piga till dess Maath Modher, dhe eij till städes ähre, Ty opskötz saaken till annan Rådh- stufwodagh. Rådmannen Jacob Thomasson"
11,s1,0183_0184,"ill swaradhe Petter Låikas med sin hustrun att hoon samma kårs som Pukari wed käns Erfft Effter sin Modher, Men dett 3:die dess Sohn funnit, der hemma på åckeren, hwilket och Pulkare säger sig fremmandt war"
12,s1,0184_0185,"teligh frågades Broderen Påhl om han igen känna kunde dhe kårs som han säger sin Syster effter dess Modher Erfft, grep altså till ett af dhe strij- dige, Men dett andra han togh, ward af dhe fremmandhe kårs"
13,s1,0184_0185," Fedotza Carpasdotter benemd, som sadhe sig jäm- wähl igen kiänna ett kårs som Pukaris hustrus Moor Modher hafft, aldenstund han i den gården födder ähr som kårset uth kommit; denna Fedotza tog icke mindre "
14,s1,0184_0185,"traxt till grep dett andra kårsset, säjandes detta ähr dett kårset, som Pukaris hustru aff sin Moor Modher fick, hwar oppå bägge hustrurne dhe optagne kårssen kyste, och således swore, att Puckari dessa kår"
15,s1,0200_0201,"e och deelning emedan bem:te Saf- fan Climpo och hans Swåger ryska Diacken Ifwan Kounon eftter hans moder Irina Rådifwans dotter. Staf- fan Climpo säger sigh dem der till hwarken begiärt, eller låfuo att d"
16,s1,0273_0274,"- poser, och diachan Ifwan Conous hu: deras Syster, Ogulina Jörans d:r, an- gående arf effter deras moder; hwar- före såsom bem:te Diach Ifwan Co- nou befinnes hafwa på sin deel  till dem för deras omaak g"
17,s1,0305_0306,"ra sigh till An- ders Ringins gårdz, dernest han fattat Hämäläin i håret, kommandes sedan Hämäläins Moder Helga honom tillhielp, att skilllia dem åth, hwarpå An- ders Tuchkonen kommit drengen Mickel till h"
18,s1,0325_0326,"an warit, skulle Tuhkoises E:a tilltahlt henne medh desse orden; hwadh will du här din Pijga hooras Modher, då Suomalaises E:a henne ombidit, hon intet skulle öfwerfalla henne, men hon opstijgit ifrån Borde"
19,s1,0332_0333,"ör den goda giorda effter begiäran, anstalten, utj arfskifftande d. 10 Huij. emellan honom och hans Modher, effter hon wore sinnat uthi ett annat giffte att träda; Beklagandes sigh här jempte där öfwer att "
20,s1,0343_0344,"nte sigh intet mehr wara honom skyldigh; Uthi denne Saken kunde Rätten intet giöra, för än Parphois Modher effter hellgen framkommer, och öppenbarar all sin egendom hon hafft, då hon i gifftermåhl un- gefäh"
21,s1,0346_0347,"ckel och Tygz försälliande af Eskell Råiha 28. Anders Andersson Tuchkuin om Arffskifttande medh sin Modher H:o Brijta Oloffzdotter 40, 40, 46. Anders Tuchkuins fordran af Simon Hurri för een giordh Reesa ti"
22,s1,0360-83,"tun:n gifwit,  heemkommer, dy bleef och det honom förundt.  Anders Tuchkoin klagade sidst öfwer sin Modher Rytta- ren Tynnis Ellingz H:o Brijta Olofsdotter, för det  då Bonden ifrån Wårsunsalmj och denne S:"
23,s1,0393_0393,er uthöfwer Jordawalla Stadzdoombook. Pro Anno 1691 Lit: A: Fol: nders Tuckkuins Arffträta medh sin Modher hustru Brijta Olofsdotter hoos Taskins käran till Bonde Johan Hittuin om Een Sölfwer Bägares bårtst
24,s1,0399-423,"ruka i afbetahlningh till des den fordran af Bonden // [TK 401] 2 wore ehrlagdt, hwilcken Engh hans Modher H:o Brijta  Olofzdotter alredo utj någre åhrs tijdh innehafft;  Beklagandes att bem:te hans Modher "
25,s1,0399-423," Modher H:o Brijta  Olofzdotter alredo utj någre åhrs tijdh innehafft;  Beklagandes att bem:te hans Modher i förledne Som- mar tillwällt sigh allena heela Engen, där doch han  menar sigh böra niuta halfwa d"
26,s1,0399-423,"Smör och 24 Kop:r M:t i penningar, hwar till hon eij heller  neka kunde. Son Anders öfwertygade sin Moder  at han, wedh det han skall reest något för rätta höö- tijden till Norrlähnet uppå sine kiöpenskape"
27,s1,0399-423," kastar, till- kommer; dy tildömbdes Anders Tuchkuin halfwa höö  som är 3 Winter lass, at få af sin Modher Brijta  Olofz dotter, sedhan han betahlt till henne för half:a  slåtter löhnen, som är för 1 Karl i"
28,s1,0399-423," Bobln ifrån Rieckala Thomas Snickarin, som  [1]691 d. 9 Novemb:r angifwen bleef af Oloff medh des  Modher Anna Thomas dotter, emedan Pulckin där  på pulserade och uthslag i Saken begiärte, Men Snic- karin "
29,s1,0399-423,"rthen Taskin.  Då urgerade Stadzens Inwånaren Oloff Pulckin uppå  den Saken emellan honom medh hans Modher Anna Thomas- dotter och bobln ifrån Riekala och denne Sochn Thomas  Snickarin, angående någon dhem "
30,s1,0399-423,"lan opwuxen  oenigheet, och Tuchkuin illa handterat Anders Hulckoin, / 29 skall allenast Hulckoises Modher uthan och denne Tijain  gåt emellan at skillia Tuchkuin ifrån Anders, I den weefwan  dhe då fattat "
31,s1,0430_0430, Sordawalla Stadz Protocoll el.r doombook Pro Anno 1692 Lit:a _ A. Anders Tuhckuins klagan oppå des Modher Brijta Olofz- dotter om något höö hon sigh tillwält – 1 - „ - Anders Jurfwaises fordran af Johan He
32,s1,0436_0436,"5 des Modher Anna Thomasdotter kärande, angående nå- got dhem emellan föröfwat Slagmåhl, medh där wedh lupir ska"
33,s1,0436_0436,"tewärck emellan hwar ifrån dhe ärnat gå till Tinget på Sordavalla hoff stodh, haar Pulckin medh sin Modher kommit till dhem på gården, doch Modhren lijtet för uth gått och fält dhe or- den, du min dotters B"
34,s1,0436_0436,"kerias Stugu, men Snickarin blifwit qwar på gården, doch straxt effter kommit, och Pulckin medh sin Modher på hans häkar fölgdt in i Stugun, derest Pulckises Modher ropat, du ähr 3 gångor min dotters Bolare"
35,s1,0436_0436,"traxt effter kommit, och Pulckin medh sin Modher på hans häkar fölgdt in i Stugun, derest Pulckises Modher ropat, du ähr 3 gångor min dotters Bolare, mehra sade han sigh eij hördt alle- nast detta, och dett"
36,s1,0438_0438,"gen i häradzRätten af Mackoin för denne saken uthgif- ne 2 D:r 8 ö: K:r m:t att betala, effter hans modher af begge så uthaf afnämaren Bonden Manickain som Cautioni- sten Räpos Enckia giordt sigh betahlt. D"
37,s1,0438_0438," /: flytande af det at denne Ryttarens hustro Brijta Olofzdotter Orduska, som war Anders Tuchkuises Modher, genom döden afgådt och inga Barn eller arfwinge medh sin andra Män El- lingh ägdt, hwar af dy denn"
38,s1,0441_0441,"t. Borgaren och Ryßen här i Staden Staffan Climpo stälte  sigh för Rätta, medh förr gif:de det hans Modher Iriana Ro- dijfwansdotter, effter fadhrens dödh, och Barnen emel- lan all hennes Egendomb, som afli"
39,s1,0442_0442,"ron Wassilioffs till denne Rätt insändna Skrifft och Attestatum uti denne saken, att deße Clim- pos Modher Iriana skall, då han henne skrifftat för honom bekändt, att Pano betahlt henne för hennes tridie de"
40,s1,0445_0445,"de sigh på Rådmen- nerne Påhl Waroinen och Isack Mackoin, hwilcka witnade här uti; att deße Climpos Modher, då dhe woro äskade till henne att höra på hennes tahl, fält på sitt yttersta dhe orden; Ingen- der"
41,s1,0445_0445,"anoff Climpo frij ehrkändes ifrån des Brodhers Staffan Climpos giorde fordringh, angående den deras Modher i gården till- hörige Tridie dehl, otill tahlt. Effter Citation infan sigh Borgaren Johan Tijain kä"
42,s1,0465_0465,"nnandes hennes Son  Hemming, som kallades för Rätta, emedan föräldrarna  icke hemma warit, att hans Modher kiöpt det Brennewijnet  hoos fordom Borgarens Thomas Parckoises Enckia  Carin Wijkarin, som och äsk"
43,s1,0471_0471,"lyfft det under Stugu gålfwet,  eller som dhe det heeta karsina; I daggningen skall hon  ombedt sin Modher att gå i Badstugun och taga bårdt  hallmen, hwar uppå hon födt, det Modren och giordt  Beklagandes "
