,parent,file,context
0,Sordavala/s1,0004_0004,", uthan att dhen om eet och annat willw underrättat blifwa, kunde han stadse ige- nom gåå, dhen ene gatan uth och dhen andre opföre, och  effterfråga hwadh uthi hans tijdh Passerat warit, och  borgarnas na"
1,Sordavala/s1,0027_0027,"ch klagadhe att Anders Tuckoins hustru Brita Oloffzdåtter, skall honom förleden Söndagz affton uppå gatan hatten uthaff tagit för 1 stop öhl, bediandes hon derföre straffas måste, hälst effter hans Myssa m"
2,Sordavala/s1,0028_0028,"en medh dhe sidste pen- ningar töfwa. Påladhes samptelige borgerskapet hwardera wedh sine gårdar på Gatan balkar utläggia, att folket höst och wår kan framkomma i stadhen, och dätta wedh 3 mk:r Sölf:r m:tz"
3,Sordavala/s1,0028_0028,"ätta wedh 3 mk:r Sölf:r m:tz wijthe. Stadzbönderne Oloff Ollikain och Ifwan Pukello åthwarnades den Gata som igenom deras åkrar wara bör låta oprätta, Emedhan Landzwägen böhr oprättas, som och offta hände"
4,Sordavala/s1,0037_0037,"n säger aff öfwer sigh eij stilla kundhe, effter han hans hustru uthaf håret från förstufwon uth på gatan dragit, hwilket Reinholt stän- digdt nekar sigh giordt, Sussanna bekänder och att Reinholt kallat P"
5,Sordavala/s1,0046_0046,"icklige lefwerne som dhen  dagen här begickz föröfwat, uthan Oloff Läsknin dhen samma warit  som gå Gatan skrikit och kyrkiofolket kullstödt, sampt medh piskan effter slagit haf:r sedan Könönen affreester "
6,Sordavala/s1,0051_0051,"drika :/ högeligen bedher denne gångh att må tillgiffwas, hwarföre som han ingen sla- git mindre på Gatan något owäsende fördt, allenast hemma i huuset Emodt sin broder något och öhöfligh warit, och skriki"
7,Sordavala/s1,0052_0052,"dätta tahlet kommit och hwilken först begyndt, swaradhe Agata Klingh att Sommalains hustru hänne på Gatan mödt och sagdt läth oß gåå och besee Reinholdtz hustrus lijk, och då dhe kommo till dören som stäng"
8,Sordavala/s1,0053_0053," igenom och tahlet sampt Rychtet lärer opkommit wara, som hon och der effter Agata Klingh nödgat af gatan medh sigh att gåå lijket till besee"
9,Sordavala/s1,0054_0054,"ahlet och uthi hans Gårdh warit, då han innom lychta dörer Examineradt bleff, och tillstodh sigh på Gatan hördt någre hustrur hafwa samtahl här om, der och denne Gertrudh dhen förnämbste warit som tahlet a"
10,Sordavala/s1,0064_0065,"ch Johansson låtit här till Rätta stembna Peter Peukorin att swa- ra till dett han denne Henrich på gatan för någre  weckor sedhan öfwerfallit, och uthaff hästn nedher rifwit  uthan nogor orsak eller träta"
