,parent,file,context
0,Sordavala/s1,0060_0061," honom sönderslagit. Mattz Juanen kom för Rätta och anklagadhe Staffan Klimpo, att han haffwer wedh Ingris Åå 2 ½ Mijhl från Nyenskandtz der han medh sin fahrkåst in fräst då dhe från Stockholm kommo, denne"
1,Sordavala/s1,0077_0078,"på Staphan Klimpos Lådia fracht 3 D:r 24 /öre der till han sigh för  wägrar, Effter Klimpos lådia i Ingrisåå wedh Nyienshantz infrusen bleff,  och eij hem till stadz stranden kom, men alldenstundh Saltet re"
2,Sordavala/s1,0079_0080,"istamo Pågost Elin  Oloffzdåtter Kasuratz fordran om 80 D:r Koppar af Sahl:gh Anders Mätäins  Enkia Ingredh Påhlssdåtter Kosman wedhkommer, som redan för 12 åhrs tijdh  giordh ärh, igenom lerfft och Blagar"
3,Sordavala/s1,0102_0103,"101 allför angående löössdrifware och Inhysses folck i Inger- manlandh och Kexholms lähn, att dhe som icke medh godo hoos Borgare heller Bönder willia tienst ta"
4,Sordavala/s1,0158_0159," lådian wachta kunde, blifwer för Eskils till tahlan frij. Förestälte sigh Oloff Jacobsson födder i Ingerman Landh Een Amptmans Son, men här i Landet hoos sin broder Fordom Kyrkioheerden i Tochmajärfui Sah"
5,Sordavala/s1,0189_0190," Thoranius, een kåna Maria Nilssdotter benämbd, hwilken denne höst der 188. till höst, kommit ifrån Ingermanlandh hit till Godzet och Staden begiärandes att henne tillfråges mått hwar ifrån hoon kommer, sa"
6,Sordavala/s1,0189_0190,"ramb läggiandes i Rätten till bewijsa hwarest hoon sedan een tijdh tiendt Ett breff uthaf Probstens Ingermanlandh och Gubanitz Kyrckio Sochen herr Johan Schytz, Coajutere herr Matthia Salamnio, skrifwit Pr"
7,Sordavala/s1,0189_0190,"en wore i wägen, Effter den tijdh till denne höst, då hoon sigh hijt begifwit, säger hoon sig der i IngermanLand Uppehållit"
8,Sordavala/s1,0358,"en Johan Mether   anhengigh giordt, Nembl:n att han den Bägaren sig till-  handlat af een Amptman i Ingermanland, då han någre   hästar där försåldt; Littuin swarade sigh i hastigheet   såledz råkat bekänn"
9,Sordavala/s3,0003_0004,"det, att då dhe under Walamo legat, har ett  Stormwäder Nattetijden opwuxit och så hefftigt lådian  ingrijpit, att Anckar Tåget brustit och Anckaret medh nå- got Tågh i Siön blifwit: det af begge parter på"
