,parent,file,context
0,s1,0019_0019,"ch förgifft, hälst uthan Pass, och att han Intet gådt i sinnat  hwarföre som wedh sin genom reesa i Salmis från Ryslandh icke togh aff Grentz wachten pass, sadhe han det Commissa- ren intet hemma war, då be"
1,s1,0019_0019,"ngen eij att förtiga, kiöpte iagh dhem att igen försällia, ty begiärte Eskill Thomson Dilation till Salmis Tingh, då han förmenar sigh än widare kunskap bekomma om Heiskans handell det och honom tilllet, me"
2,s1,0020_0020,"bättre oplysningh framlade eet laga bewijss aff lagläsaren H:r Zackaria Daalman, underskrifwit uthi Salmis Tingh ställe uthaf Dato den 3 huius, hwaruthinnan förmähles och saaken igen hit till Rådstu Rättens"
3,s1,0049_0049,"som Tipan winteren för än dhe Sommaren effter Spanmåhle i Ryslandh kiöpt, uthi Nyein och fördt till Salmis Godz och # by, det bonden Michita Pritatzenpoika sedan Emodt tagit och in uthi Ryslandh i denne Tip"
4,s1,0050_0050,"gångh gifwa, sedan på Grentzen och wedh  Kondu igen 16 öre hwar reesa, åther igen wedh war Grentz i Salmis  hwar gångh 1 D:r, förledhen wåras allenast för det ährän det hit (kom)  kommit och då för Båth och"
5,s1,0068_0069,"sin Edh ehrhöll sigh förledhen wintras till Taskins hustru alt bettalt, uthi Taskins frånwaro  till Salmis, dett han uthaf Taskin ländt. Dett förkiöp som Bårgaren Matz Kuppoin förmenar Jo- han Pautin giordt"
6,s1,0082_0083,"er hoos före- gifwer Mårthen och säger, att fast han något Spanmåhl hitsändt huuset till goda ifrån Salmis den tijdh han der tienthe, så haf:r det Mårthen allena  intet till godo kommit, Emedhan des Sahl:ge"
7,s1,0160_0161,den till anklaga och i från sin Kappa skaffa. Så frampt den sigh hit till Staden fogat Smedh i från Salmis Lähn Nils Eskellson inttet skaffar sigh inom 3 wekors tijdh bewijss ifrån den orth han kommen ähr u
8,s1,0238_0239,"gades effter Poiken Bertill Papulain hwar han är? Pur- hoin R:de, det han nogh söckt effter honom i Salmis der han tient, men nu reest der ifrån, wettandes intet hwar han är  till att finna igen.  Ytterst f"
9,s1,0299_0300,"Clemet Pesu att till kommande Måndagh 8 dag:r tillstår och swarar Peter Weitika från Mansinsari och Salmis S:n för Rätta, angående rest af ett landh som han Päsu ännu till honom skyl- digh är Nembl. 10 D:r "
10,s1,0315_0316,lagzmåhl 11 P Påhl Peterson Waitins klagan till Peter Pullin angåen tiufwerj 2 Peter Weitikas ifrån Salmis Pågost och Mansinsari by anklagan till  Clemet Pesu om giäldh 3 Peter Ahokas i Hellylä by försäkras
11,s1,0322_0323,"In- wåhnare som böra reparera dhen tillkommande halfwa dehlen af den widh Stadhen liggiande Wachku- salmi förfalne Broon, det dhe och nu där med fortfara, hwar på bem:te Borgerskap förklarade sigh att will"
12,s1,0334_0335," hwad för een domb han fådt, förmedelst begångit kyrckiotiufwerij här i kyrckian wedh Sordawala och Salmis Sochners häredz Tingh dom skohlat skedt uthi Eimajerfwi by d. 9 Martij A:o 685? hwar till han swara"
13,s1,0477_0477,"ran Wallius,  Isack Mackoin, Mårthen Taskin och Borg:n Thomas Immoin. Patrick Polack een Bobl ifrån Salmis klagade uppå  Borgaren Thomas Hulckoin, för det han skall för någre  dagar sedan, då han kommit til"
