,parent,file,context
0,Sordavala/s1,0012_0012,"e Grefwe Gustaf Adam Baners Nådigste behagh, dhet Borgmästaren här i Stadhen sigh till dhen Kongl:n Åboske håffRätt förfoga skulle hans högh Grefl:gh Excell:ss Action, emoot Maijoren Wällb:e H:r Didrich "
1,Sordavala/s1,0015_0015," eij han förledhen wåras införsittiandhe RådstuRätt 12. RådstuRätt uthi Borgmästarens frånwaro till Åbo eet laga bewijs om sit förrehållandhe uthi sin här warandhe tijdh begiäradt, der  Emodh haf:r han f"
2,Sordavala/s1,0039_0039,"dhe sådant kungiordt houptman H:r Johan Tist[ell]  hwilken sedan uthi Borgmästarens från warro till Åbo, låtit för berörde Ryse Arestera till 60 kannor bränwijn, till Borgmästa[rens]  hemkompst, dhem Rys"
3,Sordavala/s1,0039_0039,"ågot bränwijn medh måth uthmånglat, och ändåch Borgarena den gångh uthi Borgmästarens frånwaro till åbo haf:r af H:r houptman Tistell och Rådmännen uppå hans bränwijn nådt Arest och wedh 40 mk:r Wijthe b"
4,Sordavala/s1,0040_0040,"m han tilllijka mz Rådmannen slagit Arrest oppå Juskis Bränwijn uthi Borgmä- starens från woro till Åbo, och til des hemkompst wedh 40 mk:r wijthe bränwijnet att bårtföra, för än laga dom öf:r gången war"
5,Sordavala/s1,0071_0072,"he förlåfwat ifrån dheras Ländher till Stadhen sigh att nedersättia, effter bröderne ähnu Ländherne åboo willja, och som desse den eena Staffan Käckoin från Pirti Pohja by och Brusius Lem- binen från Läp"
6,Sordavala/s1,0124_0125,"om gifua, Alle desse ähre förreste och eij hem ma, särdeles Mutka och Afwinen till Tafwastehuus och Åbo Lähn, huilkas hemkompst Eij snart skee lährer, medler tijdh opskötz medh widare Ransakningh i denne"
7,Sordavala/s1,0262_0263,"br 1687 afgångne Nådige Bref, medh hoosfogat Copia, af denn högl. Kongl. Hofrätz resolution de Dato Åbo d. 3 Decembr jusdemetr- ni, Uthi Saken emellan Johan Purhoin moot sin hustru Walborg Thomas- dotter"
8,Sordavala/s1,0319_0320,"kin Publicerades den höglåfl:a Kongl: Håffrättz till denne Rätt Nådige inkombne Skrifwelse, Daterat Åbo den 12 sidstleden Febr:, hwar uthi förmäles det Kongl: Maij:tt allernådigst resolverat, det alle re"
9,Sordavala/s1,0334_0335,"n den andre Pitkä Christer gått sin koos till sitt heemwist, som skall wara 2 Mijhl på denne sijdan Åbo Stadh och Somero Sochn utj een gästgif- ware gårdh: denne Nasaaken bleef frågat, hwad för een domb "
10,Sordavala/s1,0425_0425,"hwar uthaf han i dhe tanckar är att hans oxe i stället för denne andra är tagen, helst han åth alla Åboar på åfftabem:te holma dätta skall med diaken  iembwähl här i Stadhen, uppenbarat och i kyrckian ly"
11,Sordavala/s1,0439_0439,". Efftersom pröfwes högel:n af nöden wara, att dene Staden /: som åhrl:n tilltager medh Borgare och åboar, hwilcka kunna till Stadzens nyttigheeter något contribuera, där det förr  enär dhe fåå warit ick"
12,Sordavala/s1,0455_0455,"r å, hwar före han och dhem dijt fördt; men då dhe utj någre dagars tijdh såledz där fiskiat, skall åboerne i Tuoxlax dhem medh hugg och slagh öfwerfallit, hwarföre dhe och begifwit sigh hädan, Och hans "
13,Sordavala/s3,0005_0006,"j:tz Allernådigste förordningh af  sidstledne d 30 Octobris ifrån den Höglofl: Kongl: HofRät- ten i Åbo d 23 Decembris till denne Rätt öfwersändt, Om  Eedgångers wedh doomstohlarne förhållande; Så att de"
14,Sordavala/s3,0005_0006,"tz allernådigste Förord- ningh af d. 1 Martij förledit Åhr ifrån den höglofl:e  Kongl: hoffrätten i Åbo d. 7 Januarij hujus Anni till denne  Rätt öfwersändt, om rangen, att ehoo som där emoot bry- ter el"
15,Sordavala/s3,0010_0011,s Hulckoin. Så publicerades Kongl: Maij:tz Allernådigste förordningh ifrån  den Kongl: HoffRätten i Åbo d. 28 sidstledne Februarij till denne  Rätt öfwersändt angående Cessiones bonorum och huruledes  dä
16,Sordavala/s3,0014_0015,"Aprilis daterat och till  denne Rätt öfwersändt Breeff, hwilcket förmäler at den  Kongl: HoffRätt i Åbo communicerat högbem:te hans Excell:s huru  som Kongl: Maij:t af den 10 passato i Nåder behagat föro"
17,Sordavala/s3,0024_0025,"llernådigste Placat och för- budh af d. 18 Maij hujus Anni ifrån den höglofl:e Kongl.  hoffrätten i Åbo d. 4 sidstledne Novembr: till dene Rätt  öfwersändt, förmälande, att ingen må widh Straff, hwar- ke"
